"","id","location","habitat_group_16s"
"sample_s1","1","Fal","woodland_oak"
"sample_s10","10","Fal","estuarine mud_low polyhaline"
"sample_s11","11","Fal","woodland_pine"
"sample_s12","12","Helford","reservoir"
"sample_s13","13","Helford","river"
"sample_s14","14","Helford","estuarine mud_oligohaline"
"sample_s15","15","Helford","estuarine mud_low polyhaline"
"sample_s16","16","Helford","estuarine mud_full saline"
"sample_s17","17","Helford","woodland_pine"
"sample_s19","19","Helford","beach_supratidal"
"sample_s2","2","Fal","pasture"
"sample_s20","20","Looe","estuarine mud_oligohaline"
"sample_s21","21","Looe","woodland_oak"
"sample_s22","22","Looe","river"
"sample_s23","23","Looe","estuarine mud_full saline"
"sample_s24","24","Looe","beach_subtidal"
"sample_s25","25","Looe","thrift_rhizosphere"
"sample_s27","27","Fal","beach_subtidal"
"sample_s28","28","Helford","beach_seaweed"
"sample_s3","3","Fal","thrift_rhizosphere"
"sample_s31","31","Fowey","woodland_pine"
"sample_s32","32","Fowey","woodland_oak"
"sample_s33","33","Looe","reservoir"
"sample_s34","34","Looe","pasture"
"sample_s35","35","Fowey","river"
"sample_s36","36","Fowey","field_wheat"
"sample_s37","37","Fowey","estuarine mud_oligohaline"
"sample_s38","38","Fowey","estuarine mud_full saline"
"sample_s39","39","Fowey","rock_samphire"
"sample_s4","4","Fal","field_wheat"
"sample_s40","40","Fowey","pasture"
"sample_s41","41","Fowey","estuarine mud_low polyhaline"
"sample_s42","42","Tamar","beach_subtidal"
"sample_s43","43","Tamar","rock_samphire"
"sample_s44","44","Tamar","beach_supratidal"
"sample_s46","46","Tamar","pasture"
"sample_s47","47","Tamar","estuarine mud_low polyhaline"
"sample_s48","48","Camel","field_wheat"
"sample_s49","49","Tamar","woodland_pine"
"sample_s5","5","Helford","pasture"
"sample_s50","50","Tamar","woodland_oak"
"sample_s51","51","Tamar","river"
"sample_s52","52","Tamar","estuarine mud_full saline"
"sample_s53","53","Tamar","estuarine mud_oligohaline"
"sample_s54","54","Fal","river"
"sample_s55","55","Fal","estuarine mud_oligohaline"
"sample_s56","56","Camel","river"
"sample_s57","57","Camel","pasture"
"sample_s58","58","Tamar","field_wheat"
"sample_s59","59","Camel","beach_subtidal"
"sample_s6","6","Helford","woodland_oak"
"sample_s60","60","Camel","beach_seaweed"
"sample_s61","61","Camel","woodland_oak"
"sample_s62","62","Camel","woodland_pine"
"sample_s63","63","Camel","estuarine mud_low polyhaline"
"sample_s64","64","Camel","estuarine mud_oligohaline"
"sample_s65","65","Camel","reservoir"
"sample_s65b","65b","Fal","marine mud_full saline"
"sample_s66","66","Fal","marine mud_full saline"
"sample_s67","67","Fal","marine mud_full saline"
"sample_s68","68","Fal","marine mud_full saline"
"sample_s69","69","Fal","reservoir"
"sample_s7","7","Helford","thrift_rhizosphere"
"sample_s70","70","Fal","beach_seaweed"
"sample_s71","71","Fal","rock_samphire"
"sample_s72","72","Helford","beach_seaweed"
"sample_s73","73","Helford","rock_samphire"
"sample_s8","8","Helford","field_wheat"
"sample_s9","9","Fal","reservoir"
"sample_s18","18","Helford","beach_subtidal"
"sample_s26","26","Looe","field_wheat"
"sample_s29","29","Helford","rock_samphire"
"sample_s30","30","Fal","estuarine mud_full saline"
