"sample","medoid_gap","medoid_nbclust","hier_gap","hier_nbclust"
"sample_s1","1","1","1","1"
"sample_s11","1","1","1","1"
"sample_s12","2","2","2","2"
"sample_s13","2","2","2","2"
"sample_s14","3","3","3","3"
"sample_s16","3","3","3","3"
"sample_s17","1","1","1","1"
"sample_s2","1","1","1","1"
"sample_s20","3","3","3","3"
"sample_s21","1","1","1","1"
"sample_s22","2","2","2","2"
"sample_s23","3","3","3","3"
"sample_s24","3","3","3","3"
"sample_s27","3","3","3","3"
"sample_s28","3","3","3","3"
"sample_s31","1","1","1","1"
"sample_s32","1","1","1","1"
"sample_s33","2","2","2","2"
"sample_s34","1","1","1","1"
"sample_s35","2","2","2","2"
"sample_s36","1","1","1","1"
"sample_s37","3","3","3","3"
"sample_s38","3","3","3","3"
"sample_s39","1","1","1","1"
"sample_s4","1","1","1","1"
"sample_s40","1","1","1","1"
"sample_s42","3","3","3","3"
"sample_s43","1","1","1","1"
"sample_s46","1","1","1","1"
"sample_s48","1","1","1","1"
"sample_s49","1","1","1","1"
"sample_s5","1","1","1","1"
"sample_s50","1","1","1","1"
"sample_s51","2","2","2","2"
"sample_s52","3","3","3","3"
"sample_s53","3","3","3","3"
"sample_s54","2","2","2","2"
"sample_s55","3","3","3","3"
"sample_s56","2","2","2","2"
"sample_s57","1","1","1","1"
"sample_s58","1","1","1","1"
"sample_s59","3","3","3","3"
"sample_s6","1","1","1","1"
"sample_s60","3","3","3","3"
"sample_s61","1","1","1","1"
"sample_s62","1","1","1","1"
"sample_s64","3","3","3","3"
"sample_s65","2","2","2","2"
"sample_s65b","3","3","3","3"
"sample_s66","3","3","3","3"
"sample_s67","3","3","3","3"
"sample_s68","3","3","3","3"
"sample_s69","2","2","2","2"
"sample_s70","3","3","1","1"
"sample_s71","1","1","1","1"
"sample_s72","3","3","3","3"
"sample_s73","1","1","1","1"
"sample_s8","1","1","1","1"
"sample_s9","2","2","2","2"
"sample_s18","3","3","3","3"
"sample_s26","1","1","1","1"
"sample_s29","1","1","1","1"
"sample_s30","3","3","3","3"
