"X1","X2","R2","pval","pvalFDR"
"beach_seaweed","beach_subtidal",0.377743567984251,0.0076,0.0128863636363636
"beach_seaweed","beach_supratidal",0.372631177737442,0.133333333333333,0.135922330097087
"beach_seaweed","estuarine mud_full saline",0.336854773603887,0.0076,0.0128863636363636
"beach_seaweed","estuarine mud_low polyhaline",0.350763236277359,0.0084,0.0131641791044776
"beach_seaweed","estuarine mud_oligohaline",0.378807095467564,0.0043,0.01125
"beach_seaweed","field_wheat",0.556043872520156,0.0052,0.0124090909090909
"beach_seaweed","marine mud_full saline",0.407306240266275,0.0312,0.0404444444444444
"beach_seaweed","pasture",0.587406963397277,0.0048,0.0117209302325581
"beach_seaweed","reservoir",0.488643919521786,0.006,0.0128863636363636
"beach_seaweed","river",0.563258483269688,0.0042,0.01125
"beach_seaweed","rock_samphire",0.3955826455453,0.008,0.0128863636363636
"beach_seaweed","thrift_rhizosphere",0.410931119670508,0.0571428571428571,0.0625
"beach_seaweed","woodland_oak",0.570006853699127,0.0055,0.012554347826087
"beach_seaweed","woodland_pine",0.567748431614902,0.0089,0.0135434782608696
"beach_subtidal","beach_supratidal",0.709528003509422,0.0476190476190476,0.0526315789473684
"beach_subtidal","estuarine mud_full saline",0.384060827442105,0.0152,0.0215675675675676
"beach_subtidal","estuarine mud_low polyhaline",0.611672219764508,0.0067,0.0128863636363636
"beach_subtidal","estuarine mud_oligohaline",0.590215142423845,0.0024,0.00954545454545454
"beach_subtidal","field_wheat",0.760563317253744,0.0024,0.00954545454545454
"beach_subtidal","marine mud_full saline",0.371266384884768,0.0079,0.0128863636363636
"beach_subtidal","pasture",0.802475034736737,0.0019,0.00954545454545454
"beach_subtidal","reservoir",0.644583892710068,0.008,0.0128863636363636
"beach_subtidal","river",0.770960495671947,0.0021,0.00954545454545454
"beach_subtidal","rock_samphire",0.631724574716329,0.0058,0.0128863636363636
"beach_subtidal","thrift_rhizosphere",0.660035173042241,0.0174,0.0240394736842105
"beach_subtidal","woodland_oak",0.794101610557551,0.0029,0.00954545454545454
"beach_subtidal","woodland_pine",0.793001991270236,0.0076,0.0128863636363636
"beach_supratidal","estuarine mud_full saline",0.705011722001376,0.0476190476190476,0.0526315789473684
"beach_supratidal","estuarine mud_low polyhaline",0.80727438316419,0.0476190476190476,0.0526315789473684
"beach_supratidal","estuarine mud_oligohaline",0.672937430626582,0.0361,0.0445941176470588
"beach_supratidal","field_wheat",0.51676356955642,0.0318,0.040719512195122
"beach_supratidal","marine mud_full saline",0.704055595853545,0.0666666666666667,0.0714285714285714
"beach_supratidal","pasture",0.635387282815329,0.0375,0.0452586206896552
"beach_supratidal","reservoir",0.61289098555178,0.0476190476190476,0.0526315789473684
"beach_supratidal","river",0.743900486842833,0.0388,0.0462954545454545
"beach_supratidal","rock_samphire",0.236902976307,0.19047619047619,0.192307692307692
"beach_supratidal","thrift_rhizosphere",0.395160412042948,0.1,0.103960396039604
"beach_supratidal","woodland_oak",0.567290547507541,0.0374,0.0452586206896552
"beach_supratidal","woodland_pine",0.61291895286514,0.0476190476190476,0.0526315789473684
"estuarine mud_full saline","estuarine mud_low polyhaline",0.346290863504928,0.0098,0.0146408450704225
"estuarine mud_full saline","estuarine mud_oligohaline",0.41623164437677,0.0045,0.01125
"estuarine mud_full saline","field_wheat",0.776941676636773,0.0019,0.00954545454545454
"estuarine mud_full saline","marine mud_full saline",0.433155386755386,0.026,0.0345569620253165
"estuarine mud_full saline","pasture",0.815316632738224,0.0026,0.00954545454545454
"estuarine mud_full saline","reservoir",0.634669442237421,0.0074,0.0128863636363636
"estuarine mud_full saline","river",0.758853460240968,0.0022,0.00954545454545454
"estuarine mud_full saline","rock_samphire",0.602471012534092,0.0068,0.0128863636363636
"estuarine mud_full saline","thrift_rhizosphere",0.650409075133171,0.018,0.0242307692307692
"estuarine mud_full saline","woodland_oak",0.803581998750002,0.003,0.00954545454545454
"estuarine mud_full saline","woodland_pine",0.801815980485714,0.0088,0.0135434782608696
