"X1","X2","R2","pval","pvalFDR"
"beach_seaweed","beach_supratidal",0.372631177737442,0.133333333333333,0.135922330097087
"beach_seaweed","thrift_rhizosphere",0.410931119670508,0.0571428571428571,0.0625
"beach_subtidal","beach_supratidal",0.709528003509422,0.0476190476190476,0.0526315789473684
"beach_supratidal","estuarine mud_full saline",0.705011722001376,0.0476190476190476,0.0526315789473684
"beach_supratidal","estuarine mud_low polyhaline",0.80727438316419,0.0476190476190476,0.0526315789473684
"beach_supratidal","marine mud_full saline",0.704055595853545,0.0666666666666667,0.0714285714285714
"beach_supratidal","reservoir",0.61289098555178,0.0476190476190476,0.0526315789473684
"beach_supratidal","rock_samphire",0.236902976307,0.19047619047619,0.192307692307692
"beach_supratidal","thrift_rhizosphere",0.395160412042948,0.1,0.103960396039604
"beach_supratidal","woodland_pine",0.61291895286514,0.0476190476190476,0.0526315789473684
"estuarine mud_low polyhaline","estuarine mud_oligohaline",0.161592427130724,0.1197,0.123220588235294
"field_wheat","pasture",0.203851785220602,0.0448,0.0522666666666667
"field_wheat","thrift_rhizosphere",0.250347406623717,0.0693,0.072765
"rock_samphire","thrift_rhizosphere",0.0757345987960734,0.9327,0.9327
"thrift_rhizosphere","woodland_oak",0.277808566208518,0.0607,0.0657061855670103
"thrift_rhizosphere","woodland_pine",0.336622688304441,0.0688,0.072765
