"sample","medoid_gap","medoid_nbclust","hier_gap","hier_nbclust"
"sample_s1",1,2,1,1
"sample_s11",1,2,1,1
"sample_s12",2,3,2,2
"sample_s13",2,3,2,2
"sample_s14",3,1,3,3
"sample_s16",4,1,3,3
"sample_s17",1,2,1,1
"sample_s2",5,2,1,1
"sample_s20",3,1,3,3
"sample_s21",6,2,1,1
"sample_s22",2,3,2,2
"sample_s23",4,1,3,3
"sample_s24",4,1,3,3
"sample_s27",7,1,3,3
"sample_s28",4,1,3,3
"sample_s31",1,2,1,1
"sample_s32",6,2,1,1
"sample_s33",2,3,2,2
"sample_s34",6,2,1,1
"sample_s35",2,3,2,2
"sample_s36",6,2,1,1
"sample_s37",3,1,3,3
"sample_s38",8,1,3,3
"sample_s39",6,2,1,1
"sample_s4",5,2,1,1
"sample_s40",5,2,1,1
"sample_s42",7,1,3,3
"sample_s43",9,2,1,1
"sample_s46",5,2,1,1
"sample_s48",5,2,1,1
"sample_s49",1,2,1,1
"sample_s5",5,2,1,1
"sample_s50",5,2,1,1
"sample_s51",2,3,2,2
"sample_s52",4,1,3,3
"sample_s53",3,1,3,3
"sample_s54",2,3,2,2
"sample_s55",3,1,3,3
"sample_s56",2,3,2,2
"sample_s57",5,2,1,1
"sample_s58",6,2,1,1
"sample_s59",7,1,3,3
"sample_s6",6,2,1,1
"sample_s60",10,1,3,3
"sample_s61",6,2,1,1
"sample_s62",6,2,1,1
"sample_s64",3,1,3,3
"sample_s65",2,3,2,2
"sample_s65b",8,1,3,3
"sample_s66",8,1,3,3
"sample_s67",4,1,3,3
"sample_s68",8,1,3,3
"sample_s69",2,3,2,2
"sample_s70",11,1,1,1
"sample_s71",9,2,1,1
"sample_s72",10,1,3,3
"sample_s73",9,2,1,1
"sample_s8",5,2,1,1
"sample_s9",2,3,2,2
"sample_s18",7,1,3,3
"sample_s26",6,2,1,1
"sample_s29",9,2,1,1
"sample_s30",4,1,3,3
