generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,otu_378_Polyangiaceae,otu_19799_SMWR01,0,0.032,0.0836552,0.005,0
20000,otu_378_Polyangiaceae,otu_19799_SMWR01,0,6.05228,0.0106457,0.033448,0
40000,otu_378_Polyangiaceae,otu_19799_SMWR01,0,5.44142,0.105368,0.0455401,0
60000,otu_378_Polyangiaceae,otu_19799_SMWR01,0,8.01483,-0.526977,0.0790499,0
60000,otu_378_Polyangiaceae,otu_5327_SG8-38,0.44958,8.59831,0.206811,0.491784,0
60000,otu_647_Polyangiaceae,otu_3494_Polyangiaceae,0.767328,26.1498,-2.15735,0.31662,0
60000,otu_9668_Haliangiaceae,NA,0.919386,35.798,-0.124123,28.2019,0
60000,otu_2408_Nannocystaceae,NA,0.362154,11.1493,0.608293,12.8976,0
60000,otu_4617_SG8-38,otu_291_SG8-38,0.668594,15.9226,-1.0344,0.164938,0
80000,otu_378_Polyangiaceae,otu_19799_SMWR01,0,6.75573,-0.270162,0.000842694,0
80000,otu_5327_SG8-38,otu_268_SG8-38,0.766096,29.5608,-0.598952,8.53855,0
80000,otu_1440_Sandaracinaceae,NA,0.685353,11.5095,1.11814,21.9005,0
80000,otu_647_Polyangiaceae,otu_5764,0.781929,20.2746,1.33493,3.84937,0
80000,otu_8076,otu_3192_Haliangiaceae,0.621129,17.8091,-1.19639,0.917764,0
80000,otu_4210_SG8-38,otu_3595_SG8-38,0.765275,19.4343,1.37953,8.83587,0
80000,otu_4617_SG8-38,otu_3714_Myxococcaceae,0.66181,20.8012,-1.40706,2.11844,0
80000,otu_12002,otu_511_Anaeromyxobacteraceae,0.699891,21.2417,-0.550515,6.58931,0
100000,otu_378_Polyangiaceae,otu_19799_SMWR01,0,7.32232,-0.429687,0.0236978,0
100000,otu_2340_Polyangiaceae,otu_6049_Polyangiaceae,0.661586,22.1204,-0.566575,6.73878,0
100000,otu_5327_SG8-38,otu_2515_SG8-38,0.833511,41.4161,-3.22599,6.7579,0
100000,otu_6154_Polyangiaceae,NA,0.89517,56.4425,-0.412385,8.95677,0
100000,otu_2892_SG8-38,NA,0.997053,8.16955,0.868515,18.9261,0
100000,otu_647_Polyangiaceae,otu_9261_Polyangiaceae,0.752795,28.827,-2.34504,0.823019,0
100000,otu_8076,otu_2720_Haliangiaceae,0.62872,19.9259,-1.59873,1.70975,0
100000,otu_4210_SG8-38,otu_2884_SG8-38,0.66592,13.3177,0.975495,2.67258,0
100000,otu_2308_GCA-2747355,otu_1658_Haliangiaceae,0.757863,13.9211,-0.195912,1.6955,0
100000,otu_6777_Haliangiaceae,NA,0.665499,2.09905,-3.20775,22.8057,0
100000,otu_4617_SG8-38,otu_291_SG8-38,0.676215,15.0821,-0.0965758,2.04845,0
100000,otu_797_Myxococcaceae,NA,0.435227,5.09257,-1.34023,5.32023,0
100000,otu_12002,otu_1425_Anaeromyxobacteraceae,0.734162,15.4174,0.9077,0.39953,0
120000,otu_378_Polyangiaceae,otu_19799_SMWR01,0,7.11882,-0.473324,0.0815432,0
120000,otu_2340_Polyangiaceae,otu_11843_Polyangiaceae,0.760406,17.3799,1.16797,0.670455,0
120000,otu_378_Polyangiaceae,otu_5327_SG8-38,0.457058,12.3767,-0.540731,0.57191,0
120000,otu_17667_Polyangiaceae,NA,0.922672,8.13023,-1.05415,23.9071,0
120000,otu_8076,otu_4210_SG8-38,0.542685,19.0256,-1.62193,0.84368,0
120000,otu_19799_SMWR01,otu_2076_40CM-4-68-19,0.597457,15.3055,-1.54255,0.777657,0
120000,otu_12002,otu_802_Anaeromyxobacteraceae,0.502685,18.0059,-1.48798,2.47962,0
140000,otu_378_Polyangiaceae,otu_19799_SMWR01,0,7.79753,-0.57896,0.0736335,0
140000,otu_2857_Polyangiaceae,NA,0.832908,23.1148,0.514464,53.2495,0
140000,otu_378_Polyangiaceae,otu_5327_SG8-38,0.458805,13.4763,-0.659327,1.13153,0
140000,otu_647_Polyangiaceae,otu_12963_Polyangiaceae,0.559034,20.1386,-2.00529,0.0318543,0
140000,otu_8076,otu_3192_Haliangiaceae,0.62128,17.2763,-1.53305,0.31767,0
140000,otu_4617_SG8-38,otu_11716_Myxococcaceae,0.646956,14.9012,-0.42036,1.67951,0
140000,otu_8609_SG8-38,otu_5376_GCA-2747355,0.647733,20.0016,-1.47847,4.30076,0
160000,otu_378_Polyangiaceae,otu_19799_SMWR01,0,8.26872,-0.677018,0.196335,0
160000,otu_378_Polyangiaceae,otu_5327_SG8-38,0.457586,14.1274,-0.712511,0.764,0
160000,otu_11045_Polyangiaceae,otu_16358_Polyangiaceae,0.389832,9.34137,-0.506326,0.134764,0
160000,otu_2995_Haliangiaceae,NA,0.672173,4.1761,1.44426,1.07688,0
160000,otu_8076,otu_4210_SG8-38,0.530541,14.7135,-0.892497,0.0119231,0
160000,otu_1643_Haliangiaceae,NA,0.993496,44.9027,-0.158726,30.2605,0
160000,otu_19799_SMWR01,otu_2076_40CM-4-68-19,0.600051,27.3236,-3.5689,0.149797,0
160000,otu_24_Anaeromyxobacteraceae,NA,0.967465,60.8677,0.507082,19.8667,0
160000,otu_12002,otu_24_Anaeromyxobacteraceae,0.448215,9.74129,0.397259,3.18078,0
180000,otu_378_Polyangiaceae,otu_19799_SMWR01,0,8.88075,-0.702365,0.280503,0
180000,otu_378_Polyangiaceae,otu_5327_SG8-38,0.447379,9.34359,0.203411,0.215251,0
180000,otu_647_Polyangiaceae,otu_12963_Polyangiaceae,0.570346,11.2903,-0.458835,0.686611,0
180000,otu_8076,otu_4210_SG8-38,0.547708,15.4303,-1.14587,0.249566,0
180000,otu_4617_SG8-38,otu_8858_PHBI01,0.611889,26.2579,-1.98683,4.52527,0
180000,otu_8609_SG8-38,otu_5376_GCA-2747355,0.6291,23.1408,-2.77134,0.234758,0
200000,otu_378_Polyangiaceae,otu_19799_SMWR01,0,8.6684,-0.729141,0.077509,0
200000,otu_378_Polyangiaceae,otu_12085,0.501852,16.0789,-1.02955,1.0719,0
200000,otu_9292_40CM-4-68-19,otu_1257_SG8-38,0.621273,21.2208,-1.18681,2.13576,0
200000,otu_11045_Polyangiaceae,otu_18004_Polyangiaceae,0.204184,12.5862,-1.07605,0.193369,0
200000,otu_8076,otu_4210_SG8-38,0.542601,15.8238,-1.13673,0.167298,0
200000,otu_19799_SMWR01,otu_2309_UBA4427,0.789109,41.1913,-3.09909,14.694,0
200000,otu_19799_SMWR01,otu_579_Myxococcaceae,0.569484,14.4693,-1.63258,0.00538928,0
220000,otu_378_Polyangiaceae,otu_19799_SMWR01,0,9.61508,-0.969544,0.391736,0
220000,otu_457_SG8-38,otu_35_SG8-38,0.922792,35.109,3.12981,41.3154,0
220000,otu_378_Polyangiaceae,otu_5327_SG8-38,0.459766,17.8528,-1.22304,1.74412,0
220000,otu_11045_Polyangiaceae,otu_15317_Polyangiaceae,0.277347,11.0361,-0.833859,1.23658,0
220000,otu_647_Polyangiaceae,otu_12297_Polyangiaceae,0.427945,13.5648,-1.20558,0.864864,0
220000,otu_8076,otu_3296_Haliangiaceae,0.469312,14.5392,-1.0472,0.973525,0
220000,otu_6777_Haliangiaceae,NA,0.86333,16.2875,1.02351,45.0594,0
220000,otu_19799_SMWR01,otu_2076_40CM-4-68-19,0.594515,21.1175,-2.4326,0.328193,0
220000,otu_12002,otu_5962,0.527689,21.1004,-1.61936,5.51157,0
220000,otu_8609_SG8-38,otu_5376_GCA-2747355,0.647564,23.7386,-2.44655,1.82407,0
240000,otu_378_Polyangiaceae,otu_19799_SMWR01,0,9.18488,-0.914422,0.0106143,0
240000,otu_378_Polyangiaceae,otu_1048_Polyangiaceae,0.527254,12.8871,-0.657765,0.100483,0
240000,otu_9292_40CM-4-68-19,otu_9067_SG8-38,0.644861,16.1936,-0.558996,1.71393,0
240000,otu_5327_SG8-38,otu_860_SG8-38,0.810418,45.6968,-3.11421,2.44716,0
240000,otu_20235_Haliangiaceae,NA,0.98876,36.1197,-0.932051,24.6961,0
240000,otu_1201_Polyangiaceae,otu_6073_Polyangiaceae,0.855598,17.3031,-0.0798932,8.5054,0
240000,otu_13259_Ga0077539,otu_4632_Polyangiaceae,0.560262,9.56684,0.184658,3.92078,0
240000,otu_647_Polyangiaceae,otu_12963_Polyangiaceae,0.566175,12.3934,-0.654682,0.847476,0
240000,otu_9105_Sandaracinaceae,NA,0.967316,6.5276,0.289452,66.8275,0
240000,otu_8076,otu_4210_SG8-38,0.545622,18.7247,-1.7211,0.410388,0
