generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-16.4374,-12989.6,500,0
20000,0,-16.2207,1353.18,0.408332,0.349
40000,1,-29.6771,1420.18,2.35364,0.512
60000,9,-120.823,1654.74,6.70458,0.534
80000,7,-101.257,1689.66,6.16706,0.512
100000,10,-141.086,1711.64,12.465,0.558
120000,8,-114.866,1751.27,7.86483,0.522
140000,7,-106.997,1674.5,4.86189,0.535
160000,12,-155.91,1777.67,18.6847,0.498
180000,5,-80.8878,1680.19,8.68188,0.5276
200000,11,-152.823,1772.76,9.3566,0.537
220000,10,-136.517,1787.12,7.22955,0.5
240000,10,-138.129,1774.42,11.3498,0.5106
260000,8,-116.214,1793.68,14.2109,0.487667
280000,11,-153.201,1775.07,11.7883,0.55
300000,12,-158.049,1816.27,12.723,0.518
320000,14,-178.394,1841.52,14.3486,0.526
340000,8,-110.878,1771.61,11.9293,0.438
360000,14,-186.739,1881.16,19.9602,0.497
380000,19,-245.606,1914.05,14.8676,0.511
400000,18,-226.438,1883.76,18.9104,0.5185
420000,11,-149.883,1830.79,14.2105,0.457
440000,31,-367.123,1934.47,35.25,0.578
460000,17,-211.039,1913.11,13.6787,0.5105
480000,16,-202.965,1837.12,14.9433,0.486857
500000,20,-259.44,1926.4,16.1675,0.5435
520000,18,-233.807,1925.44,17.3459,0.51
540000,21,-266.75,1926.93,27.9749,0.527
560000,18,-235.466,1920.76,19.074,0.508111
580000,24,-299.303,1932.94,32.361,0.524
600000,21,-278.228,1916.66,18.7562,0.52475
620000,26,-327.831,1932.62,35.2026,0.567
640000,15,-198.252,1872.91,21.5108,0.5022
660000,15,-204.455,1918.02,13.9753,0.491
680000,16,-216.724,1910.96,20.1613,0.505
700000,13,-167.566,1856.18,12.2769,0.529
720000,17,-222.826,1915.87,13.1845,0.533333
740000,16,-210.12,1902.84,16.0558,0.502
760000,20,-260.886,1970.84,25.0511,0.501235
780000,16,-222.622,1912.32,19.1852,0.539
800000,11,-146.879,1858.08,15.9628,0.516
820000,15,-184.72,1872.83,17.4391,0.488
840000,24,-305.271,1926.6,24.8914,0.550167
860000,22,-279.509,1971.24,22.9856,0.555
880000,20,-259.349,1977.98,16.9944,0.488
900000,13,-170.624,1854.9,12.2469,0.501
920000,24,-309.081,1989.88,30.0153,0.561
940000,20,-257.939,1973.35,26.4443,0.494
960000,17,-219.032,1872.97,18.445,0.522833
980000,28,-344.031,1982.58,22.7411,0.5246
1000000,21,-258.105,1974.18,21.9835,0.507
1020000,14,-187.042,1889.46,9.31589,0.519
1040000,22,-280.639,1961.88,20.7407,0.511
1060000,23,-293.562,1987.45,18.3912,0.517
1080000,16,-208.984,1880.96,13.0674,0.50713
1100000,25,-315.993,1997.56,25.1845,0.527
1120000,18,-233.118,1900.1,15.5916,0.506
1140000,22,-285.035,1967.54,20.5368,0.49
1160000,19,-257.778,1977.07,18.3996,0.48
1180000,19,-250.575,1981.67,17.8883,0.496
1200000,20,-252.38,1960.51,21.7302,0.526
1220000,22,-280.88,1973.2,22.5832,0.4815
1240000,23,-302.478,1997.96,30.0948,0.501857
1260000,28,-350.114,1977.29,19.5977,0.53625
1280000,22,-281.636,1984.84,18.4105,0.515
1300000,29,-368.465,2028.32,24.1344,0.525
1320000,23,-310.065,2022.45,18.3021,0.506
1340000,27,-327.259,1979.71,26.2049,0.5315
1360000,18,-232.387,1944.68,21.4929,0.509
1380000,19,-251.132,1989.91,23.7787,0.463
1400000,18,-224.231,1938.97,10.2781,0.537
1420000,26,-321.757,1997.73,19.8558,0.538
