generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,otu_378_Polyangiaceae,otu_19799_SMWR01,0,0.032,0,0.005,0
20000,otu_378_Polyangiaceae,otu_19799_SMWR01,0,11.2955,-1.50515,0.00978991,0
20000,otu_5327_SG8-38,otu_12416_SG8-38,0.699938,13.9317,-0.571574,0.512099,0
20000,otu_827_Anaeromyxobacteraceae,NA,0.988814,7.27578,0.505812,117.364,0
20000,otu_8076,otu_4210_SG8-38,0.539851,16.8687,-2.3197,0.81186,0
40000,otu_378_Polyangiaceae,otu_19799_SMWR01,0,12.4285,-1.70392,0.209525,0
40000,otu_378_Polyangiaceae,otu_1048_Polyangiaceae,0.52669,13.7686,-2.30765,0.0766696,0
40000,otu_9292_40CM-4-68-19,otu_1257_SG8-38,0.620693,14.5133,-2.32469,0.575051,0
40000,otu_13259_Ga0077539,otu_12054_Polyangiaceae,0.755598,8.95724,-0.815409,0.98277,0
40000,otu_6820_Polyangiaceae,NA,0.705923,3.28832,-2.96899,8.82323,0
40000,otu_8076,otu_4210_SG8-38,0.542128,27.6746,-4.05067,1.70417,0
60000,otu_378_Polyangiaceae,otu_19799_SMWR01,0,11.9921,-1.74735,0.0307984,0
60000,otu_378_Polyangiaceae,otu_1048_Polyangiaceae,0.524445,17.5928,-2.7514,0.441646,0
60000,otu_9292_40CM-4-68-19,otu_8327,0.609849,20.801,-3.24034,0.296294,0
60000,otu_5327_SG8-38,otu_8811_SG8-38,0.682241,11.3755,0.103775,0.321104,0
60000,otu_11045_Polyangiaceae,otu_16358_Polyangiaceae,0.40026,20.1973,-3.67559,0.571061,0
60000,otu_8076,otu_4210_SG8-38,0.548924,16.9758,-2.60728,0.367718,0
60000,otu_4617_SG8-38,otu_291_SG8-38,0.678879,10.0235,-1.55609,1.06948,0
80000,otu_378_Polyangiaceae,otu_19799_SMWR01,0,12.1543,-1.81125,0.0553338,0
80000,otu_378_Polyangiaceae,otu_1048_Polyangiaceae,0.523065,17.6565,-3.05111,0.667188,0
80000,otu_9292_40CM-4-68-19,otu_8327,0.608876,15.0337,-2.35409,1.31303,0
80000,otu_5327_SG8-38,otu_860_SG8-38,0.805725,21.1165,-1.50963,3.98335,0
80000,otu_11045_Polyangiaceae,otu_2190_Polyangiaceae,0.888401,31.8641,-0.419084,1.77999,0
80000,otu_11045_Polyangiaceae,otu_3953_Polyangiaceae,0.421159,21.8458,-4.12254,0.220319,0
80000,otu_33_Anaeromyxobacteraceae,NA,0.893916,6.39657,1.71039,24.1982,0
80000,otu_6000_Haliangiaceae,NA,0.993728,49.1247,-0.771065,62.8278,0
80000,otu_8076,otu_4210_SG8-38,0.53973,25.2901,-3.64855,0.0514276,0
80000,otu_4617_SG8-38,otu_2290_Myxococcaceae,0.539612,14.8563,-2.07543,1.76765,0
100000,otu_378_Polyangiaceae,otu_19799_SMWR01,0,13.2065,-1.85825,0.12685,0
100000,otu_378_Polyangiaceae,otu_9292_40CM-4-68-19,0.464043,25.3062,-3.35261,0.323125,0
100000,otu_5327_SG8-38,otu_89_SG8-38,0.77717,16.8969,-0.938521,0.600446,0
100000,otu_8076,otu_4210_SG8-38,0.541091,22.6415,-3.82334,0.216881,0
100000,otu_3256_Haliangiaceae,NA,0.279055,3.06702,-2.19194,1.48984,0
100000,otu_19799_SMWR01,otu_2076_40CM-4-68-19,0.606701,22.4688,-4.3039,0.297533,0
120000,otu_378_Polyangiaceae,otu_19799_SMWR01,0,12.7341,-1.82594,0.0227977,0
120000,otu_378_Polyangiaceae,otu_9292_40CM-4-68-19,0.473148,22.7497,-3.23189,0.170285,0
120000,otu_5327_SG8-38,otu_3959_Polyangiaceae,0.695111,24.7531,-3.55896,0.885581,0
120000,otu_8076,otu_4210_SG8-38,0.546925,19.8802,-3.21581,0.142043,0
120000,otu_13865_Haliangiaceae,NA,0.575521,7.29163,-0.978939,9.78529,0
120000,otu_19799_SMWR01,otu_2076_40CM-4-68-19,0.593504,29.3866,-5.09742,0.500984,0
140000,otu_378_Polyangiaceae,otu_19799_SMWR01,0,12.0718,-1.89787,0.0476294,0
140000,otu_378_Polyangiaceae,otu_1048_Polyangiaceae,0.52462,27.1051,-3.55508,3.07561,0
140000,otu_9292_40CM-4-68-19,otu_1257_SG8-38,0.618669,26.0484,-3.8049,0.092134,0
140000,otu_5327_SG8-38,otu_12416_SG8-38,0.700521,17.2038,-1.33092,1.24391,0
140000,otu_11045_Polyangiaceae,otu_647_Polyangiaceae,0.227033,18.6486,-2.52542,0.143867,0
140000,otu_8076,otu_9093_Haliangiaceae,0.527276,20.9536,-3.73762,0.654863,0
140000,otu_1887_Haliangiaceae,NA,0.951152,12.6975,1.2285,15.4697,0
