generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-16.4374,-12211.9,500,0
20000,3,-50.7062,1471.93,2.82087,0.5155
40000,5,-78.9548,1560.04,7.05961,0.5475
60000,6,-90.3249,1662.73,7.27678,0.502
80000,9,-128.957,1658.2,12.0774,0.536
100000,5,-84.6014,1653.91,7.47238,0.522
120000,5,-89.0296,1652.15,6.43724,0.523
140000,11,-147.838,1753.11,5.03139,0.500833
160000,14,-182.904,1755.67,12.261,0.544
180000,11,-147.899,1747.49,11.245,0.575
200000,11,-155,1775.35,8.47229,0.524
220000,12,-155.441,1734.32,22.1336,0.5445
240000,6,-99.5645,1711.73,7.79678,0.462
260000,14,-191.882,1813.59,15.8996,0.511
280000,12,-171.453,1817.16,9.77281,0.511
300000,12,-159.348,1742.8,10.4633,0.545
320000,13,-168.051,1745.59,12.5477,0.5534
340000,11,-144.773,1770.91,9.00478,0.508167
360000,12,-166.886,1814,10.6731,0.531
380000,13,-169.295,1827.76,7.8628,0.5615
400000,16,-205.878,1848.67,24.5252,0.527
420000,14,-199.496,1865.67,23.1567,0.514
440000,15,-199.182,1862.14,16.9184,0.516
460000,15,-204.115,1847.92,11.4146,0.5045
480000,13,-181.528,1857.37,11.0164,0.5345
500000,14,-183.499,1846.06,21.8464,0.534375
520000,13,-176.87,1850.9,12.317,0.504
540000,17,-212.991,1867.16,15.7992,0.516143
560000,18,-229.406,1897.55,13.8634,0.52
580000,15,-197.022,1885.83,16.2586,0.525
600000,13,-178.352,1879.44,16.4177,0.5118
620000,16,-215.04,1894.53,14.831,0.539
640000,20,-248.422,1880.39,18.059,0.535517
660000,22,-285.595,1921.8,28.4247,0.542
680000,16,-209.873,1880.07,16.5369,0.490286
700000,19,-250.607,1914.15,19.4914,0.522667
720000,14,-195.104,1855.97,16.2555,0.498
740000,15,-214.368,1875.43,13.3753,0.495
760000,18,-250.065,1926.59,21.6029,0.499
780000,17,-225.849,1904.42,15.641,0.507
800000,14,-191.229,1842.96,14.3193,0.543222
820000,21,-279.783,1935.1,28.0367,0.527
840000,16,-223.013,1919.61,17.279,0.481
860000,20,-254.361,1898.58,15.8221,0.538
880000,18,-231.14,1890.84,23.9628,0.497
900000,17,-230.361,1892.1,26.6977,0.491
920000,17,-227.233,1895.9,16.085,0.514263
940000,19,-242.792,1904.18,16.3967,0.541
960000,22,-283.829,1952.98,30.6535,0.52
980000,18,-230.613,1917.7,16.6319,0.529
1000000,22,-278.066,1959.37,26.1367,0.522
1020000,20,-262.47,1911.16,23.8604,0.521333
1040000,26,-328.565,1960.03,26.3977,0.547
1060000,18,-247.802,1937.94,22.1705,0.502
1080000,16,-213.549,1927.09,14.2998,0.521667
1100000,20,-253.352,1928.41,22.0403,0.525429
1120000,19,-260.795,1951.58,18.5788,0.5205
1140000,20,-257.858,1903.06,21.0478,0.54
1160000,18,-239.408,1962.98,18.423,0.525
1180000,23,-290.542,1951.96,19.564,0.518
1200000,24,-292.321,1941.24,22.9943,0.517
1220000,19,-252.582,1916.23,22.0054,0.517
1240000,21,-282.95,1944.53,21.1153,0.507
1260000,28,-346.221,1966.65,39.0455,0.538
1280000,22,-282.63,1934.29,22.976,0.542
1300000,22,-290.908,1955.08,21.0085,0.535
1320000,21,-283.033,1942.43,27.9359,0.532
1340000,23,-296.312,1952.27,31.2045,0.523889
1360000,19,-258.767,1944.22,18.4075,0.53
1380000,19,-252.532,1959.13,19.2152,0.507
1400000,23,-294.086,1928.28,19.411,0.5252
1420000,20,-261.053,1962.58,21.4155,0.524
1440000,25,-306.781,1936.97,31.3547,0.557
1460000,22,-275.356,1925.18,17.9682,0.539
1480000,18,-240.511,1942.93,27.6167,0.5256
1500000,22,-291.817,1954.44,32.6377,0.5188
1520000,20,-262.369,1952.68,38.1376,0.524
1540000,25,-313.441,1945.11,27.924,0.547
1560000,19,-263.497,1964.29,24.4509,0.496
1580000,20,-262.035,1956.29,20.694,0.485
1600000,27,-341.762,1943.17,23.1994,0.571
1620000,23,-299.144,1967.39,24.6623,0.496
1640000,25,-320.444,1975.82,24.2242,0.524
1660000,16,-225.676,1944.63,14.8071,0.521
1680000,23,-303.459,1983.47,20.8926,0.484
1700000,24,-305.394,1974.83,17.183,0.498
1720000,24,-316.572,1968.18,22.0308,0.513
1740000,21,-270.744,1984.96,17.7961,0.524
1760000,22,-286.987,1977.44,23.4986,0.503
1780000,33,-412.299,1977.88,23.4199,0.537
1800000,17,-235.091,1959.29,20.1381,0.538
1820000,28,-372.733,1963.94,40.2466,0.512208
1840000,22,-291.062,1982.07,20.2384,0.506
1860000,25,-326.628,2000.52,22.7765,0.53925
