generation,rank_1,rank_2,swapAccepted
1000,1,3,1
2000,2,3,1
3000,3,4,1
4000,3,4,1
5000,1,4,1
6000,1,3,1
7000,2,3,1
8000,2,3,1
9000,3,4,1
10000,1,2,1
11000,1,2,1
12000,1,4,1
13000,3,4,1
14000,2,3,1
15000,1,2,1
16000,2,3,1
17000,2,3,1
18000,1,3,1
19000,2,3,1
20000,1,2,1
21000,1,3,0
22000,2,3,1
23000,3,4,1
24000,3,4,1
25000,1,4,1
26000,1,4,0
27000,2,4,1
28000,3,4,1
29000,2,3,1
30000,2,3,1
31000,1,4,0
32000,1,4,0
33000,1,3,1
34000,1,4,1
35000,1,4,1
36000,1,2,1
37000,3,4,1
38000,2,3,1
39000,3,4,1
40000,1,3,0
41000,2,4,0
42000,2,3,1
43000,2,3,1
44000,1,2,1
45000,1,3,1
46000,2,4,1
47000,2,3,1
48000,3,4,1
49000,3,4,1
50000,3,4,1
51000,2,3,1
52000,2,4,1
53000,3,4,1
54000,1,3,1
55000,1,2,1
56000,1,3,0
57000,3,4,1
58000,1,4,0
59000,1,3,1
60000,3,4,0
61000,1,3,1
62000,3,4,1
63000,2,3,0
64000,1,2,1
65000,3,4,1
66000,2,4,0
67000,3,4,0
68000,1,2,1
69000,2,3,1
70000,2,3,0
71000,1,4,0
72000,1,2,1
73000,1,3,1
74000,1,3,1
75000,1,3,1
76000,1,2,1
77000,2,4,0
78000,1,2,1
79000,2,3,1
80000,1,4,0
81000,1,4,1
82000,1,2,1
83000,2,3,1
84000,3,4,1
85000,1,2,0
86000,1,2,0
87000,2,3,1
88000,2,3,1
89000,3,4,1
90000,3,4,1
91000,2,4,1
92000,3,4,1
93000,1,4,1
94000,2,4,1
95000,1,2,1
96000,3,4,0
97000,1,2,0
98000,3,4,0
99000,2,3,1
100000,1,2,1
101000,2,4,0
102000,1,4,0
103000,2,3,1
104000,2,4,0
105000,1,2,0
106000,2,4,0
107000,1,4,0
108000,3,4,0
109000,2,3,1
110000,2,3,1
111000,3,4,1
112000,3,4,1
113000,1,3,1
114000,3,4,1
115000,2,4,1
116000,1,4,1
117000,2,3,1
118000,1,4,1
119000,1,2,0
120000,2,4,1
121000,1,2,1
122000,1,3,1
123000,1,2,1
124000,1,2,1
125000,2,3,1
126000,2,3,1
127000,1,3,1
128000,2,4,0
129000,3,4,1
130000,3,4,1
131000,2,4,1
132000,3,4,1
133000,2,4,1
134000,1,3,1
135000,3,4,1
136000,3,4,1
137000,1,2,0
138000,3,4,1
139000,2,3,1
140000,1,3,0
141000,2,4,1
142000,1,4,0
143000,2,4,0
144000,2,4,1
145000,1,3,0
146000,1,3,0
147000,1,3,1
148000,3,4,1
149000,1,4,1
150000,2,4,0
151000,3,4,0
152000,2,3,1
153000,1,3,0
154000,1,4,0
155000,2,3,1
156000,2,4,1
157000,2,4,1
158000,1,4,0
159000,1,2,1
160000,1,2,0
161000,1,4,0
162000,1,3,1
163000,2,3,0
164000,2,3,1
165000,3,4,1
166000,3,4,1
167000,2,4,0
168000,1,3,1
169000,1,3,1
170000,2,4,0
171000,3,4,1
172000,2,4,1
173000,1,3,1
174000,1,4,1
175000,1,2,1
176000,1,3,1
177000,2,3,1
178000,1,4,0
179000,1,3,1
180000,2,3,1
181000,1,4,0
182000,1,3,1
183000,2,4,0
184000,2,4,0
185000,1,4,0
186000,1,3,1
187000,2,3,1
188000,1,4,0
189000,1,3,1
190000,1,2,1
191000,2,3,1
192000,1,2,1
193000,1,2,1
194000,2,3,1
195000,3,4,0
196000,2,3,1
197000,1,4,0
198000,3,4,1
199000,1,4,1
200000,1,4,1
201000,1,2,1
202000,1,4,1
203000,1,4,1
204000,1,4,1
205000,2,4,1
