generation,rank_1,rank_2,swapAccepted
1000,2,4,1
2000,3,4,1
3000,1,4,0
4000,2,4,0
5000,1,2,1
6000,2,4,0
7000,1,3,0
8000,2,3,0
9000,1,3,1
10000,1,4,0
11000,2,3,1
12000,3,4,0
13000,1,3,0
14000,3,4,0
15000,3,4,0
16000,1,2,1
17000,2,4,0
18000,1,3,0
19000,2,4,0
20000,3,4,0
21000,1,3,0
22000,2,4,0
23000,1,4,0
24000,1,3,0
25000,3,4,1
26000,1,2,0
27000,1,4,0
28000,2,3,0
29000,3,4,1
30000,1,2,1
31000,1,3,0
32000,2,4,0
33000,1,3,0
34000,3,4,0
35000,1,2,1
36000,1,4,0
37000,1,3,0
38000,1,4,0
39000,1,3,0
40000,3,4,1
41000,2,3,0
42000,2,3,0
43000,1,2,1
44000,1,3,0
45000,1,3,0
46000,1,2,0
47000,3,4,1
48000,3,4,0
49000,3,4,1
50000,2,3,0
51000,2,3,0
52000,1,2,0
53000,1,3,0
54000,1,3,0
55000,2,4,0
56000,1,4,0
57000,2,3,0
58000,3,4,1
59000,1,3,0
60000,1,4,0
61000,1,4,0
62000,1,4,0
63000,1,4,0
64000,2,3,0
65000,3,4,1
66000,3,4,1
67000,1,4,0
68000,3,4,1
69000,1,4,0
70000,1,4,0
71000,1,2,0
72000,2,4,0
73000,1,2,1
74000,1,2,1
75000,2,4,0
76000,2,3,0
77000,1,4,0
78000,1,3,0
79000,1,3,0
80000,2,3,0
81000,1,3,0
82000,3,4,1
83000,1,2,0
84000,1,4,0
85000,1,3,0
86000,1,2,0
87000,2,4,0
88000,2,3,0
89000,2,3,0
90000,2,3,0
91000,1,3,0
92000,1,4,0
93000,2,3,0
94000,1,3,0
95000,1,2,0
96000,2,4,0
97000,2,4,0
98000,1,2,0
99000,2,3,0
100000,2,3,1
101000,2,4,0
102000,1,4,0
103000,2,3,1
104000,1,3,0
105000,1,4,0
106000,2,3,0
107000,1,2,0
108000,2,3,0
109000,1,2,0
110000,1,4,0
111000,1,2,0
112000,1,2,0
113000,1,4,0
114000,2,3,0
115000,2,3,0
116000,2,3,0
117000,1,4,0
118000,1,3,0
119000,2,4,0
120000,3,4,0
121000,3,4,0
122000,1,3,0
123000,1,2,1
124000,2,4,0
125000,1,3,0
126000,3,4,0
127000,1,4,0
128000,3,4,0
129000,3,4,0
130000,1,3,0
131000,2,3,0
132000,1,4,0
133000,2,4,0
134000,2,4,0
135000,1,3,0
136000,2,3,0
137000,2,3,0
138000,2,3,0
139000,3,4,0
140000,1,4,0
141000,2,4,0
142000,2,4,0
143000,1,4,0
144000,2,3,0
145000,3,4,0
146000,1,2,1
147000,1,2,0
148000,2,3,0
149000,1,4,0
150000,1,4,0
151000,2,4,0
152000,1,2,0
153000,2,3,0
154000,2,3,0
155000,2,3,0
156000,1,2,0
157000,1,2,0
158000,2,3,0
159000,3,4,0
160000,1,4,0
161000,2,4,0
162000,2,3,0
163000,3,4,0
164000,1,4,0
165000,1,3,0
166000,1,2,0
167000,1,3,0
168000,1,4,0
169000,1,4,0
170000,1,4,0
171000,1,3,0
172000,3,4,0
173000,2,4,0
174000,1,4,0
175000,2,3,1
176000,2,3,1
177000,2,4,0
178000,1,2,0
179000,2,3,0
180000,1,4,0
181000,1,4,0
182000,3,4,0
183000,1,4,0
184000,2,3,0
185000,2,4,0
186000,1,4,0
187000,3,4,0
188000,3,4,0
189000,1,2,1
190000,2,3,0
191000,2,4,0
192000,1,3,0
193000,1,2,0
194000,2,4,0
195000,3,4,0
196000,1,2,0
197000,1,2,1
198000,3,4,0
199000,1,4,0
200000,2,4,0
201000,1,2,1
202000,3,4,0
203000,2,4,0
204000,2,3,0
205000,1,2,0
206000,2,4,0
207000,3,4,0
208000,3,4,0
209000,3,4,0
210000,3,4,0
211000,1,4,0
212000,1,3,0
213000,1,2,0
214000,1,4,0
215000,1,4,0
216000,1,4,0
217000,1,4,0
218000,1,2,0
219000,3,4,0
220000,2,3,0
221000,3,4,0
222000,2,4,0
223000,1,3,0
224000,2,3,0
225000,1,2,0
226000,2,4,0
227000,2,3,0
228000,1,3,0
229000,1,4,0
230000,1,3,0
231000,1,4,0
232000,2,4,0
233000,3,4,0
234000,2,4,0
235000,1,4,0
236000,1,2,0
237000,2,3,0
238000,2,3,0
239000,2,4,0
240000,2,4,0
241000,2,4,0
242000,1,3,0
243000,2,4,0
244000,1,4,0
245000,1,3,0
246000,1,2,0
247000,1,2,0
248000,1,3,0
249000,3,4,0
250000,1,3,0
251000,1,2,0
252000,1,3,0
253000,3,4,0
254000,1,4,0
255000,2,3,1
256000,3,4,0
257000,2,4,0
258000,1,4,0
259000,2,3,1
260000,1,3,0
261000,3,4,0
262000,3,4,0
263000,2,4,0
264000,1,2,0
265000,1,4,0
266000,2,4,0
267000,3,4,0
268000,3,4,0
269000,1,2,0
270000,1,2,0
271000,2,4,0
272000,2,3,0
273000,2,4,0
274000,2,3,0
275000,2,4,0
276000,3,4,0
277000,1,4,0
278000,1,3,0
279000,3,4,0
280000,1,4,0
281000,1,2,0
282000,1,4,0
283000,1,3,0
284000,2,3,1
285000,2,4,0
286000,1,2,0
287000,2,3,1
288000,2,3,0
289000,3,4,0
290000,3,4,0
291000,1,3,0
292000,2,3,0
293000,1,3,0
294000,2,3,1
295000,1,3,0
296000,1,4,0
297000,1,4,0
298000,2,3,1
299000,1,2,0
300000,1,3,0
301000,1,3,0
302000,2,3,1
303000,1,2,0
304000,1,4,0
305000,2,3,0
306000,2,3,0
307000,2,3,1
308000,1,4,0
309000,2,3,1
310000,2,3,0
311000,2,4,0
312000,2,4,0
313000,2,3,0
314000,2,4,0
315000,1,3,0
316000,1,2,0
317000,1,3,0
318000,1,4,0
319000,1,4,0
320000,3,4,0
321000,1,2,0
322000,1,3,0
323000,1,2,0
324000,1,2,0
325000,1,3,0
326000,1,4,0
327000,3,4,0
328000,2,3,0
329000,1,3,0
330000,2,4,0
331000,2,3,0
332000,2,4,0
333000,1,4,0
334000,1,3,0
335000,3,4,0
336000,2,4,0
337000,1,2,0
338000,3,4,0
339000,2,4,0
340000,3,4,0
341000,1,4,0
342000,1,4,0
343000,1,4,0
344000,3,4,0
345000,2,4,0
346000,1,3,0
347000,2,3,1
348000,1,2,0
349000,2,3,1
350000,2,4,0
351000,1,3,0
352000,1,2,0
353000,2,4,0
354000,1,3,0
355000,2,3,1
356000,1,2,0
357000,2,3,1
358000,1,2,0
359000,2,3,0
360000,1,3,0
361000,2,3,0
362000,2,3,0
363000,1,3,0
364000,3,4,0
365000,1,3,0
366000,1,3,0
367000,1,4,0
368000,2,4,0
369000,1,4,0
370000,3,4,0
371000,1,3,0
372000,3,4,0
373000,2,4,0
374000,1,3,0
375000,2,4,0
376000,1,3,0
377000,3,4,0
378000,3,4,0
379000,1,4,0
380000,1,2,0
381000,1,2,0
382000,3,4,0
383000,3,4,0
384000,1,4,0
385000,1,4,0
386000,1,4,0
387000,1,4,0
388000,1,3,0
389000,1,3,0
390000,1,3,0
391000,1,4,0
392000,2,3,0
393000,1,3,0
394000,2,4,0
395000,1,4,0
396000,2,3,0
397000,2,3,0
398000,1,3,0
399000,3,4,0
400000,2,4,0
401000,1,3,0
402000,1,2,0
403000,3,4,0
404000,1,3,0
405000,2,3,0
406000,3,4,0
407000,3,4,0
408000,1,4,0
409000,1,3,0
410000,1,2,0
411000,2,4,0
412000,2,3,0
413000,1,4,0
414000,1,2,0
415000,1,2,0
416000,1,4,0
417000,3,4,0
418000,3,4,0
419000,2,4,0
420000,3,4,0
421000,2,4,0
422000,1,3,0
423000,1,2,0
424000,2,4,0
425000,1,2,0
426000,2,4,0
427000,3,4,0
428000,1,2,0
429000,1,2,0
430000,1,3,0
431000,1,4,0
432000,2,3,0
433000,2,4,0
434000,1,3,0
435000,1,2,0
436000,1,4,0
437000,1,4,0
438000,1,3,0
439000,1,3,0
440000,2,3,0
441000,1,4,0
442000,2,3,0
443000,2,3,0
444000,1,3,0
445000,1,3,0
446000,1,3,0
447000,1,3,0
448000,3,4,0
449000,2,4,0
450000,1,3,0
451000,1,2,0
452000,2,4,0
453000,2,3,0
454000,1,3,0
455000,1,2,0
456000,1,4,0
457000,2,3,0
458000,1,3,0
459000,1,3,0
460000,2,4,0
461000,2,3,0
462000,2,4,0
463000,1,4,0
464000,2,3,0
465000,2,3,0
466000,3,4,0
467000,2,3,0
468000,2,3,0
469000,1,4,0
470000,3,4,0
471000,2,4,0
472000,1,3,0
473000,1,3,0
474000,2,4,0
475000,1,4,0
476000,1,2,0
477000,2,3,0
478000,2,3,0
479000,2,4,0
480000,1,4,0
481000,2,4,0
482000,2,4,0
483000,1,3,0
484000,1,4,0
485000,1,2,0
486000,1,3,0
487000,3,4,0
488000,3,4,0
489000,2,3,0
490000,1,4,0
491000,1,4,0
492000,2,3,0
493000,1,3,0
494000,1,4,0
495000,1,3,0
496000,1,3,0
497000,2,3,0
498000,3,4,0
499000,3,4,0
500000,3,4,0
501000,1,2,0
502000,2,3,0
503000,3,4,0
504000,2,4,0
505000,1,3,0
506000,3,4,0
507000,2,3,0
508000,1,2,0
509000,2,3,0
510000,2,3,0
511000,3,4,0
512000,2,4,0
513000,2,4,0
514000,1,3,0
515000,1,2,0
516000,2,3,0
517000,1,3,0
518000,1,4,0
519000,1,2,0
520000,1,3,0
521000,2,3,0
522000,1,2,0
523000,2,4,0
524000,1,3,0
525000,1,3,0
526000,1,3,0
527000,2,4,0
528000,2,4,0
529000,1,4,0
530000,1,4,0
531000,2,4,0
532000,1,4,0
533000,2,3,0
534000,3,4,0
535000,2,4,0
536000,3,4,0
537000,1,3,0
538000,2,3,0
539000,1,4,0
540000,1,4,0
541000,2,3,0
542000,2,3,0
543000,1,2,0
544000,1,3,0
545000,1,4,0
546000,1,2,1
547000,1,3,0
548000,1,3,0
549000,1,4,0
550000,3,4,0
551000,1,2,1
552000,1,4,0
553000,2,4,0
554000,2,4,0
555000,1,2,1
556000,2,3,0
557000,1,2,1
558000,1,3,0
559000,1,3,0
560000,2,3,0
561000,3,4,0
562000,1,4,0
563000,3,4,0
564000,2,4,0
565000,1,2,1
566000,2,3,0
567000,2,4,0
568000,1,4,0
569000,1,3,0
570000,1,3,0
571000,1,3,0
572000,3,4,0
573000,3,4,0
574000,2,3,0
575000,1,3,0
576000,3,4,0
577000,2,4,0
578000,1,2,1
579000,2,3,0
580000,1,3,0
581000,3,4,0
582000,1,3,0
583000,1,4,0
584000,2,4,0
585000,1,2,1
586000,2,4,0
587000,2,4,0
588000,3,4,0
589000,3,4,0
590000,1,2,1
591000,2,3,0
592000,1,4,0
593000,2,4,0
594000,2,4,0
595000,1,3,0
596000,1,3,0
597000,2,4,0
598000,2,4,0
599000,2,3,0
600000,2,3,0
601000,2,3,0
602000,1,3,0
603000,2,3,0
604000,2,3,0
605000,1,4,0
606000,2,3,0
607000,3,4,0
608000,1,4,0
609000,1,2,0
610000,2,4,0
611000,1,3,0
612000,1,4,0
613000,3,4,0
614000,3,4,0
615000,1,3,0
616000,2,3,0
617000,2,3,0
618000,1,4,0
619000,2,4,0
620000,2,4,0
621000,1,2,0
622000,1,4,0
623000,2,4,0
624000,3,4,0
625000,1,4,0
626000,2,3,0
627000,2,3,0
628000,2,3,0
629000,2,4,0
630000,1,2,0
631000,1,4,0
632000,1,3,0
633000,1,3,0
634000,1,3,0
635000,1,2,0
636000,2,3,0
637000,3,4,0
638000,1,4,0
639000,2,3,0
640000,2,3,0
641000,1,3,0
642000,1,3,0
643000,2,4,0
644000,1,4,0
645000,1,4,0
646000,2,4,0
647000,1,3,0
648000,2,3,0
649000,1,2,0
650000,1,3,0
651000,3,4,0
652000,1,4,0
653000,1,2,0
654000,2,3,0
655000,3,4,0
656000,2,3,0
657000,3,4,0
658000,1,3,0
659000,3,4,0
660000,2,4,0
661000,1,2,0
662000,1,2,0
663000,2,3,0
664000,2,4,0
665000,2,4,0
666000,1,2,0
667000,3,4,0
668000,2,4,0
669000,2,4,0
670000,1,2,0
671000,2,3,0
672000,3,4,0
673000,2,3,0
674000,3,4,0
675000,1,2,0
676000,1,4,0
677000,3,4,0
678000,1,4,0
679000,1,4,0
680000,2,3,0
681000,1,3,0
682000,1,2,0
683000,3,4,0
684000,2,4,0
685000,1,4,0
686000,1,2,0
687000,2,4,0
688000,1,3,0
689000,2,3,0
690000,2,3,0
691000,2,3,0
692000,2,4,0
693000,1,3,0
694000,2,3,0
695000,1,2,0
696000,2,4,0
697000,1,2,0
698000,1,2,0
699000,1,3,0
700000,3,4,0
701000,1,2,0
702000,1,3,0
703000,1,3,0
704000,1,4,0
705000,1,3,0
706000,1,3,0
707000,3,4,0
708000,1,2,0
709000,2,3,0
710000,1,4,0
711000,3,4,0
712000,3,4,0
713000,3,4,0
714000,3,4,0
715000,1,4,0
716000,1,2,0
717000,3,4,0
718000,2,4,0
719000,3,4,0
720000,1,3,0
721000,1,4,0
722000,1,2,0
723000,1,4,0
724000,1,4,0
725000,2,3,0
726000,1,2,0
727000,1,2,0
728000,2,4,0
729000,3,4,0
730000,3,4,0
731000,1,4,0
732000,1,3,0
733000,2,3,0
734000,3,4,0
735000,2,4,0
736000,1,4,0
737000,1,3,0
738000,2,3,0
739000,1,4,0
740000,1,2,0
741000,1,3,0
742000,2,3,0
743000,1,3,0
744000,1,3,0
745000,2,3,0
746000,1,2,0
747000,1,4,0
748000,1,2,0
749000,1,3,0
750000,1,2,0
751000,2,4,0
752000,3,4,0
753000,3,4,0
754000,3,4,0
755000,3,4,0
756000,3,4,0
757000,1,3,0
758000,1,4,0
759000,1,4,0
760000,2,4,0
761000,2,3,0
762000,1,4,0
763000,1,2,0
764000,2,4,0
765000,1,4,0
766000,1,3,0
767000,1,2,0
768000,1,3,0
769000,1,4,0
770000,1,4,0
771000,1,4,0
772000,1,2,0
773000,3,4,0
774000,3,4,0
775000,1,3,0
776000,1,2,0
777000,2,3,0
778000,2,3,0
779000,3,4,0
780000,2,3,0
781000,3,4,0
782000,1,4,0
783000,3,4,0
784000,2,4,0
785000,1,3,0
786000,1,4,0
787000,3,4,0
788000,3,4,0
789000,3,4,0
790000,1,4,0
791000,2,4,0
792000,2,3,0
793000,1,3,0
794000,1,4,0
795000,1,4,0
796000,1,2,0
797000,2,3,0
798000,1,3,0
799000,3,4,0
800000,3,4,0
801000,2,3,0
802000,1,4,0
803000,2,3,0
804000,1,2,1
805000,1,2,1
806000,1,2,0
807000,1,4,0
808000,2,3,0
809000,3,4,0
810000,1,2,0
811000,1,2,0
812000,1,4,0
813000,2,3,0
814000,2,4,0
815000,1,4,0
816000,1,4,0
817000,1,2,0
818000,3,4,0
819000,1,3,0
820000,2,3,0
821000,1,4,0
822000,2,3,0
823000,3,4,0
824000,2,3,0
825000,1,4,0
826000,2,4,0
827000,3,4,0
828000,2,3,0
829000,2,3,0
830000,3,4,0
831000,3,4,0
832000,1,2,1
833000,2,3,0
834000,2,4,0
835000,2,3,0
836000,2,4,0
837000,2,3,0
838000,1,3,0
839000,1,3,0
840000,2,3,0
841000,3,4,0
842000,2,4,0
843000,3,4,0
844000,1,2,0
845000,1,2,0
846000,1,2,1
847000,2,4,0
848000,2,3,0
849000,2,3,0
850000,1,3,0
851000,1,4,0
852000,1,2,1
853000,1,2,0
854000,3,4,0
855000,2,4,0
856000,1,3,0
857000,1,3,0
858000,2,3,0
859000,1,2,0
860000,3,4,0
861000,3,4,0
862000,2,4,0
863000,1,3,0
864000,2,4,0
865000,1,2,0
866000,1,3,0
867000,2,4,0
868000,1,3,0
869000,1,4,0
870000,3,4,0
871000,2,3,0
872000,1,3,0
873000,2,4,0
874000,1,4,0
875000,1,2,0
876000,1,4,0
877000,1,4,0
878000,1,2,0
879000,3,4,0
880000,1,2,0
881000,1,2,0
882000,3,4,0
883000,1,2,0
884000,1,4,0
885000,2,4,0
886000,1,3,0
887000,1,2,0
888000,1,2,0
889000,1,4,0
890000,1,4,0
891000,3,4,0
892000,1,3,0
893000,2,3,0
894000,1,2,0
895000,1,2,0
896000,1,4,0
897000,2,4,0
898000,3,4,0
899000,3,4,0
900000,1,2,0
901000,2,4,0
902000,2,3,0
903000,1,2,0
904000,1,3,0
905000,2,3,0
906000,3,4,0
907000,1,4,0
908000,1,3,0
909000,1,2,0
910000,1,4,0
911000,2,3,0
912000,2,3,0
913000,2,4,0
914000,1,4,0
915000,1,4,0
916000,2,3,0
917000,1,2,0
918000,2,3,0
919000,1,3,0
920000,2,3,0
921000,1,3,0
922000,2,3,0
923000,3,4,0
924000,1,4,0
925000,2,4,0
926000,3,4,0
927000,2,4,0
928000,1,2,0
929000,2,3,0
930000,1,2,0
931000,3,4,0
932000,2,3,0
933000,2,4,0
934000,2,3,0
935000,2,3,0
936000,2,3,0
937000,1,3,0
938000,2,3,0
939000,2,3,0
940000,1,2,0
941000,1,3,0
942000,2,3,0
943000,1,3,0
944000,2,4,0
945000,1,4,0
946000,1,4,0
947000,2,4,0
948000,2,4,0
949000,2,3,0
950000,1,4,0
951000,1,4,0
952000,3,4,0
953000,2,3,0
954000,1,2,0
955000,1,4,0
956000,2,4,0
957000,2,3,0
958000,3,4,0
959000,2,4,0
960000,1,4,0
961000,2,4,0
962000,1,4,0
963000,1,2,0
964000,3,4,0
965000,2,4,0
966000,1,4,0
967000,1,3,0
968000,2,4,0
969000,2,3,0
970000,2,3,0
971000,2,4,0
972000,2,4,0
973000,3,4,0
974000,1,3,0
975000,3,4,0
976000,2,3,0
977000,2,3,0
978000,3,4,0
979000,3,4,0
980000,2,4,0
981000,1,3,0
982000,1,3,0
983000,3,4,0
984000,2,3,0
985000,1,2,0
986000,3,4,0
987000,2,4,0
988000,1,4,0
989000,1,4,0
990000,1,3,0
991000,2,3,0
992000,2,4,0
993000,1,4,0
994000,1,3,0
995000,2,4,0
996000,3,4,0
997000,1,3,0
998000,2,4,0
999000,1,3,0
1000000,1,2,1
1001000,3,4,0
1002000,1,2,1
1003000,1,3,0
1004000,2,4,0
1005000,3,4,0
1006000,2,3,0
1007000,1,3,0
1008000,2,3,0
1009000,1,3,0
1010000,2,3,0
1011000,1,2,0
1012000,2,3,0
1013000,1,3,0
1014000,3,4,0
1015000,1,2,1
1016000,3,4,0
1017000,3,4,0
1018000,1,4,0
1019000,1,4,0
1020000,2,4,0
1021000,1,3,0
1022000,3,4,0
1023000,3,4,0
1024000,1,4,0
1025000,1,3,0
1026000,1,4,0
1027000,1,3,0
1028000,1,3,0
1029000,1,4,0
1030000,2,4,0
1031000,2,3,0
1032000,3,4,0
1033000,2,4,0
1034000,1,2,1
1035000,1,4,0
1036000,1,3,0
1037000,2,3,0
1038000,1,4,0
1039000,3,4,0
1040000,2,3,0
1041000,3,4,0
1042000,1,2,0
1043000,2,4,0
1044000,2,4,0
1045000,3,4,0
1046000,1,4,0
1047000,1,2,1
1048000,2,4,0
1049000,3,4,0
1050000,1,2,1
1051000,1,3,0
1052000,1,4,0
1053000,1,3,0
1054000,1,2,1
1055000,3,4,0
1056000,1,4,0
1057000,3,4,0
1058000,1,4,0
1059000,2,4,0
1060000,2,3,0
1061000,2,3,0
1062000,1,4,0
1063000,3,4,0
1064000,3,4,0
1065000,1,3,0
1066000,1,2,0
1067000,2,4,0
1068000,1,4,0
1069000,2,4,0
1070000,2,3,0
1071000,2,4,0
1072000,2,4,0
1073000,2,4,0
1074000,1,3,0
1075000,2,4,0
1076000,1,3,0
1077000,1,3,0
1078000,2,4,0
1079000,1,3,0
1080000,3,4,0
1081000,2,4,0
1082000,1,3,0
1083000,1,2,0
1084000,2,4,0
1085000,2,4,0
1086000,1,4,0
1087000,2,4,0
1088000,3,4,0
1089000,2,3,0
1090000,1,4,0
1091000,2,4,0
1092000,2,3,0
1093000,3,4,0
1094000,1,2,0
1095000,1,2,1
1096000,2,4,0
1097000,1,2,1
1098000,1,4,0
1099000,2,3,0
1100000,1,2,0
1101000,2,4,0
1102000,3,4,0
1103000,1,4,0
1104000,2,3,0
1105000,3,4,0
1106000,1,2,0
1107000,2,3,0
1108000,1,3,0
1109000,1,3,0
1110000,1,4,0
1111000,2,4,0
1112000,3,4,0
1113000,2,3,0
1114000,2,3,0
1115000,2,3,0
1116000,1,4,0
1117000,1,2,0
1118000,1,4,0
1119000,1,3,0
1120000,1,3,0
1121000,1,3,0
1122000,2,3,0
1123000,1,3,0
1124000,2,3,0
1125000,2,4,0
1126000,2,3,0
1127000,2,3,0
1128000,3,4,0
1129000,1,3,0
1130000,1,2,0
1131000,3,4,0
1132000,3,4,0
1133000,2,3,0
1134000,2,3,0
1135000,2,3,0
1136000,3,4,0
1137000,3,4,0
1138000,2,3,0
1139000,1,2,0
1140000,3,4,0
1141000,2,3,0
1142000,1,2,0
1143000,1,3,0
1144000,3,4,0
1145000,1,3,0
1146000,1,4,0
1147000,3,4,0
1148000,1,4,0
1149000,1,2,0
1150000,2,3,0
1151000,2,3,0
1152000,3,4,0
1153000,1,4,0
1154000,2,3,0
1155000,1,3,0
1156000,3,4,0
1157000,1,3,0
1158000,1,2,0
1159000,2,4,0
1160000,2,3,0
1161000,2,4,0
1162000,2,3,0
1163000,1,4,0
1164000,3,4,0
1165000,2,4,0
1166000,2,3,0
1167000,1,4,0
1168000,1,4,0
1169000,1,4,0
1170000,2,3,0
1171000,1,4,0
1172000,1,3,0
1173000,3,4,0
