generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-15.6805,-9019.39,121.546,1
20000,8,-122.153,5437.87,11.7219,0.704
40000,20,-254.433,5479.45,25.7647,0.679
60000,12,-171.065,5476.84,15.6804,0.651
80000,18,-243.799,5491.82,21.3165,0.681
100000,23,-293.502,5522.51,29.3037,0.691
120000,34,-428.069,5529.53,37.4739,0.684
140000,33,-416.333,5571.04,29.8518,0.648
160000,20,-285.952,5545.67,19.6323,0.613
180000,48,-599.115,5601.15,59.1236,0.698
200000,60,-723.742,5613.23,62.1358,0.67
220000,47,-577.53,5622.29,40.4544,0.703
240000,30,-394.308,5642.91,27.7741,0.639
260000,46,-574.543,5648.16,53.4615,0.647
280000,42,-551.39,5646.61,53.3188,0.649
300000,57,-710.511,5650.53,58.852,0.649
320000,46,-575.905,5644.12,54.974,0.669
340000,62,-749.16,5659.41,68.8473,0.654
360000,76,-897.766,5662.64,121.595,0.7
380000,84,-998.121,5670.17,80.2925,0.676
400000,86,-1028.16,5663.77,100.688,0.66
420000,82,-1006.58,5650.96,75.6644,0.651
440000,76,-945.676,5668.28,80.8668,0.669
460000,69,-849.085,5646.3,68.9557,0.672
480000,62,-754.864,5668.25,54.1506,0.699
500000,53,-672.305,5651.23,55.5851,0.668
520000,66,-816.528,5664.31,72.2535,0.686
540000,57,-710.693,5649.89,49.5458,0.654
560000,61,-764.79,5653.88,67.8753,0.682
580000,53,-669.583,5648.81,51.0672,0.663
600000,56,-696.191,5654.6,54.7139,0.671
620000,57,-706.807,5650.59,49.3029,0.684
640000,51,-642.645,5658.98,45.272,0.66
660000,65,-811.574,5659.45,65.486,0.672
680000,71,-865.602,5643.68,72.2703,0.665
700000,72,-889.023,5663.69,87.1011,0.662
720000,73,-899.32,5653.39,94.9258,0.672
740000,66,-816.314,5656.36,56.0275,0.649
760000,59,-729.05,5650.9,59.5398,0.621
780000,63,-773.848,5677.8,63.2473,0.631
800000,69,-846.938,5661,68.972,0.656
820000,48,-594.611,5664.05,49.9103,0.665
840000,60,-731.939,5643.38,62.2469,0.684
860000,67,-807.384,5632.8,71.5679,0.696
880000,88,-1056.83,5658.7,87.5299,0.699
900000,66,-799.636,5640.3,69.2647,0.69
920000,64,-768.816,5641.19,87.1805,0.685
940000,53,-677.564,5639.53,71.2518,0.671
960000,53,-652.649,5659.49,45.6259,0.632
980000,51,-637.195,5650.07,53.6356,0.633
1000000,57,-711.064,5671.42,59.5416,0.676054
1020000,81,-1017.6,5641.07,76.6594,0.651
1040000,76,-894.226,5659.29,81.9327,0.656
1060000,58,-726.136,5667.31,66.2139,0.665
1080000,51,-644.325,5675.72,43.9211,0.638
1100000,51,-663.966,5670.83,57.3703,0.659
1120000,43,-551.477,5655.89,42.4114,0.666
1140000,41,-527.943,5669.74,31.8153,0.614
1160000,46,-586.029,5659.14,55.1335,0.66
1180000,36,-470.02,5655.24,34.0955,0.624
1200000,60,-739.162,5672.34,54.8322,0.671
1220000,69,-844.604,5660.07,88.1497,0.701
1240000,68,-829.714,5667.12,66.1203,0.642
1260000,78,-923.564,5651.43,90.2224,0.669
1280000,79,-947.607,5653.37,75.1783,0.662
1300000,59,-733.01,5644.21,72.073,0.686
1320000,57,-715.295,5656.96,55.0586,0.652
1340000,46,-584.83,5654.49,46.5701,0.677
1360000,60,-738.747,5634.42,68.3115,0.674
1380000,55,-683.634,5648.68,46.6611,0.671
1400000,62,-761.876,5666.34,87.7901,0.677
1420000,70,-859.608,5670.1,73.9999,0.647
1440000,83,-1003.78,5674.09,78.3575,0.7
1460000,79,-959.891,5662.36,64.7099,0.672
1480000,59,-741.509,5652.67,68.5956,0.648
1500000,70,-844.741,5665.95,67.9737,0.676
1520000,54,-693.646,5660.41,58.5647,0.644
1540000,56,-702.792,5659.78,51.1054,0.663
1560000,69,-848.733,5666.73,57.604,0.647
1580000,63,-777.868,5654.07,68.6227,0.715
1600000,43,-560.799,5645.52,44.5564,0.664
1620000,56,-677.362,5657.39,46.7548,0.688
1640000,49,-612.518,5662.03,50.5406,0.666
1660000,42,-538.373,5658.17,46.6657,0.648
1680000,37,-475.028,5644.09,34.8913,0.61
1700000,53,-667.173,5662.78,58.6821,0.655
1720000,82,-986.708,5661.11,85.9787,0.692
1740000,51,-640.703,5656.11,53.8178,0.645
1760000,55,-673.656,5670.53,60.3082,0.66
1780000,66,-807.344,5659.45,90.0775,0.656
1800000,39,-507.755,5651.94,34.8804,0.645
1820000,49,-617.04,5662.84,55.9232,0.698
1840000,50,-650.68,5652.7,34.6927,0.665
1860000,44,-556.07,5652.4,45.2846,0.644
1880000,50,-627.87,5639.63,56.4709,0.686
1900000,60,-754.703,5656.95,53.407,0.693
1920000,48,-632.843,5651.58,50.1947,0.647
1940000,76,-910.283,5667.94,72.5124,0.667
1960000,59,-726.742,5643.98,52.4891,0.692
1980000,58,-721.104,5656.25,75.58,0.641
2000000,69,-840.019,5658.82,77.79,0.679
2020000,60,-768.666,5678.61,69.2335,0.681
2040000,47,-603.482,5654.47,39.0579,0.65
2060000,63,-783.181,5666.78,53.5163,0.678
2080000,65,-801.561,5635.14,63.5649,0.655
2100000,65,-783.011,5645.85,63.8779,0.648
2120000,97,-1174.31,5661.54,99.2943,0.655
2140000,63,-764.338,5654.89,58.1306,0.68
2160000,73,-894.225,5653.52,70.4865,0.661
2180000,82,-1001,5681.72,78.2685,0.652
2200000,57,-699.532,5647.6,49.9472,0.69
2220000,58,-721.049,5657.21,56.6112,0.653
2240000,59,-733.32,5666,53.3966,0.676
2260000,54,-677.039,5667.32,62.9017,0.664
2280000,52,-650.76,5680.07,57.6095,0.631
2300000,66,-811.928,5681.53,64.6404,0.649
