generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-16.4401,-15212.7,500,1
20000,0,-15.6008,1367.99,0.775879,0.344
40000,0,-15.5907,1368.14,1.66746,0.3
60000,5,-67.9322,1552.49,4.50821,0.528
80000,7,-88.7707,1594.14,1.82831,0.533
100000,12,-147.646,1634,12.1776,0.546471
120000,6,-78.0323,1670.24,11.8352,0.467
140000,6,-79.2153,1701.89,8.2636,0.471
160000,8,-102.415,1675.43,11.4347,0.46
180000,5,-69.4023,1707.56,2.75337,0.495733
200000,6,-81.435,1656.98,7.5903,0.419
220000,9,-117.733,1776.89,7.11624,0.411
240000,16,-187.673,1890.23,19.7689,0.505
260000,8,-99.2709,1746.76,8.57529,0.510167
280000,18,-209.644,1872.6,13.4438,0.468571
300000,14,-171.951,1900.1,21.043,0.464
320000,9,-111.069,1784.65,8.6109,0.51
340000,16,-188.425,1946.23,17.2533,0.482
360000,13,-152.851,1854,23.6398,0.47575
380000,23,-262.772,1957.47,33.5619,0.49375
400000,23,-257.756,1936.36,19.945,0.517333
420000,16,-186.159,1959.69,15.0142,0.493
440000,18,-210.195,1959.79,15.2779,0.514667
460000,18,-211.114,1979.75,14.6513,0.497
480000,14,-168.117,1850.18,19.0826,0.523
500000,20,-234.438,1987.24,17.8152,0.481
520000,15,-176.993,1879.67,16.5197,0.490273
540000,19,-221.838,1936.97,24.2821,0.492
560000,24,-270.265,1983.8,22.1353,0.495
580000,28,-325.949,1984.6,30.5404,0.518889
600000,24,-285.568,1969.17,25.3001,0.504
620000,19,-217.459,1958.33,21.1416,0.512
640000,15,-176.201,1958.89,14.9784,0.435
660000,28,-316.954,2029.16,34.6266,0.511889
680000,24,-278.571,2056.43,20.7331,0.52
700000,18,-213.069,1967.48,14.393,0.4595
720000,28,-311.512,1979.62,32.2716,0.544
740000,29,-343.002,2042.34,35.0511,0.504
760000,22,-247.128,1992.19,22.3791,0.508
780000,23,-265.097,2040.77,21.4091,0.491
800000,17,-202.605,2002.1,17.2562,0.476
820000,21,-239.041,2001.59,30.1712,0.484
840000,20,-237.507,2000.69,17.8745,0.467
860000,21,-246.182,1997.26,19.5564,0.482
880000,31,-358.102,2065.72,35.9188,0.4965
900000,18,-204.817,1951.85,13.6067,0.499
920000,17,-202.787,1944.01,20.8358,0.462
940000,29,-336.249,2087.25,39.4146,0.484
960000,33,-382.548,2031.78,37.348,0.537
980000,23,-266.142,1988.39,23.5266,0.51525
1000000,25,-284.282,2012.6,24.5055,0.508333
1020000,22,-249.489,1984.67,24.2203,0.498
1040000,24,-268.513,2000.64,34.9295,0.501
1060000,24,-267.546,2011.09,32.0918,0.49
1080000,30,-349.507,2088.56,27.0732,0.497
