generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,otu_378_Polyangiaceae,otu_19799_SMWR01,0,0.032,0,0.005,0
20000,otu_378_Polyangiaceae,otu_19799_SMWR01,0,10.6129,-1.14869,0.0717371,0
40000,otu_378_Polyangiaceae,otu_19799_SMWR01,0,9.23881,-1.00566,0.0355329,0
40000,otu_9292_40CM-4-68-19,otu_9067_SG8-38,0.642212,19.1225,-3.19839,0.536653,0
60000,otu_378_Polyangiaceae,otu_19799_SMWR01,0,10.6789,-1.46175,0.0221474,0
60000,otu_308_Haliangiaceae,NA,0.88892,16.3589,0.900108,13.1615,0
60000,otu_378_Polyangiaceae,otu_5327_SG8-38,0.458979,21.9296,-2.58681,1.03373,0
60000,otu_647_Polyangiaceae,otu_15437_Polyangiaceae,0.486723,13.369,-2.05621,0.297811,0
60000,otu_1222_Polyangiaceae,NA,0.778299,0.880857,0.433449,7.02554,0
60000,otu_8076,otu_3192_Haliangiaceae,0.612299,34.5794,-4.70343,2.24795,0
60000,otu_4617_SG8-38,otu_11716_Myxococcaceae,0.626916,5.83488,1.20126,0.668204,0
60000,otu_4049_Vulgatibacteraceae,NA,0.776096,3.44314,-2.77931,10.23,0
60000,otu_19799_SMWR01,otu_11931_UBA4427,0.800797,8.5322,0.622863,0.334911,0
60000,otu_2186_Myxococcaceae,NA,0.811281,9.53276,-0.459502,28.5327,0
80000,otu_378_Polyangiaceae,otu_19799_SMWR01,0,12.7871,-1.74077,0.0417984,0
80000,otu_378_Polyangiaceae,otu_5327_SG8-38,0.4571,15.1678,-1.77157,0.145894,0
80000,otu_647_Polyangiaceae,otu_12963_Polyangiaceae,0.570215,9.59535,-1.21263,0.088898,0
80000,otu_6188_Polyangiaceae,NA,0.895456,4.26078,2.0476,6.79333,0
80000,otu_8076,otu_3192_Haliangiaceae,0.622259,24.4179,-3.50882,0.611951,0
80000,otu_19799_SMWR01,otu_2359_Myxococcaceae,0.548766,22.1092,-3.71793,0.36195,0
80000,otu_4617_SG8-38,otu_11716_Myxococcaceae,0.642081,18.8761,-2.96425,0.998671,0
80000,otu_3954_SMWR01,NA,0.877508,0.788814,-0.677979,11.7885,0
100000,otu_378_Polyangiaceae,otu_19799_SMWR01,0,11.5497,-1.68421,0.0413157,0
100000,otu_378_Polyangiaceae,otu_5327_SG8-38,0.451711,12.1171,-1.26066,0.0342499,0
100000,otu_617_Polyangiaceae,NA,0.9958,45.3327,-0.0312132,17.6228,0
100000,otu_647_Polyangiaceae,otu_14037_Polyangiaceae,0.52712,18.8085,-1.93201,3.38675,0
100000,otu_8076,otu_4210_SG8-38,0.54984,21.0029,-2.91012,1.27983,0
100000,otu_2036_Haliangiaceae,NA,0.972561,94.2973,-0.863952,44.2229,0
100000,otu_19799_SMWR01,otu_2076_40CM-4-68-19,0.609028,24.274,-3.75686,0.173362,0
100000,otu_4617_SG8-38,otu_291_SG8-38,0.67053,24.1968,-3.96839,1.35006,0
100000,otu_25879_Haliangiaceae,NA,0.939466,64.3959,-0.899132,46.5755,0
100000,otu_2470_GCA-2747355,NA,0.995373,47.3019,-2.03165,20.8198,0
100000,otu_8609_SG8-38,otu_4620_PHBI01,0.80644,10.8359,0.433526,1.00412,0
120000,otu_378_Polyangiaceae,otu_19799_SMWR01,0,11.0746,-1.6112,0.110727,0
120000,otu_378_Polyangiaceae,otu_5327_SG8-38,0.461773,12.7815,-1.59953,0.0262838,0
120000,otu_647_Polyangiaceae,otu_7419_Polyangiaceae,0.479386,14.5425,-2.28899,0.629291,0
120000,otu_10802_Polyangiaceae,NA,0.97837,42.435,-1.23386,44.6365,0
120000,otu_2447_Polyangiaceae,otu_2450_Polyangiaceae,0.897753,4.05098,-1.81056,2.64358,0
120000,otu_8076,otu_4210_SG8-38,0.536258,21.7812,-3.03547,0.0539207,0
120000,otu_19799_SMWR01,otu_2076_40CM-4-68-19,0.590602,22.9719,-3.78545,1.20149,0
120000,otu_4617_SG8-38,otu_291_SG8-38,0.672426,13.3705,-1.68912,0.0114965,0
120000,otu_8609_SG8-38,otu_1034_Anaeromyxobacteraceae,0.603453,22.3851,-3.31457,2.39385,0
140000,otu_378_Polyangiaceae,otu_19799_SMWR01,0,11.674,-1.52112,0.0101686,0
140000,otu_378_Polyangiaceae,otu_1048_Polyangiaceae,0.518421,21.7366,-3.18082,0.471711,0
140000,otu_9292_40CM-4-68-19,otu_1257_SG8-38,0.633291,19.5089,-2.51324,1.33379,0
140000,otu_5327_SG8-38,otu_1752_SG8-38,0.799048,31.7696,-3.8222,1.38918,0
140000,otu_8076,otu_2053_Haliangiaceae,0.505861,16.6485,-2.16444,1.59424,0
140000,otu_1964_Haliangiaceae,NA,0.939253,41.0859,-3.16976,29.6866,0
140000,otu_19799_SMWR01,otu_2076_40CM-4-68-19,0.603137,14.189,-2.13238,0.154787,0
140000,otu_2124_Anaeromyxobacteraceae,otu_16911,0.939918,31.9748,1.58749,8.31086,0
160000,otu_378_Polyangiaceae,otu_19799_SMWR01,0,11.477,-1.64436,0.0112226,0
160000,otu_378_Polyangiaceae,otu_1048_Polyangiaceae,0.525704,16.824,-2.53422,0.557894,0
160000,otu_9292_40CM-4-68-19,otu_1257_SG8-38,0.626662,20.8968,-2.82278,0.0299727,0
160000,otu_5327_SG8-38,otu_11530_SG8-38,0.751228,17.5985,-0.995311,0.146746,0
160000,otu_647_Polyangiaceae,otu_14037_Polyangiaceae,0.520435,15.8666,-2.68318,0.220925,0
160000,otu_4806_SG8-38,NA,0.820017,10.9979,1.60117,17.9985,0
160000,otu_8076,otu_2628_Haliangiaceae,0.464775,16.9153,-2.4505,0.0946386,0
160000,otu_8868_Sandaracinaceae,NA,0.935947,11.6889,-1.64247,7.26252,0
160000,otu_6205_Nannocystaceae,NA,0.973193,17.0465,-0.45205,0.378273,0
160000,otu_19799_SMWR01,otu_2403_Myxococcaceae,0.485561,25.6396,-2.9391,3.18693,0
160000,otu_5305_Myxococcaceae,NA,0.976521,61.0012,-1.0842,6.99975,0
160000,otu_4617_SG8-38,otu_591_Myxococcaceae,0.58082,16.1433,-2.07768,0.468913,0
160000,otu_8609_SG8-38,otu_1034_Anaeromyxobacteraceae,0.599017,21.1782,-2.5507,3.20246,0
180000,otu_378_Polyangiaceae,otu_19799_SMWR01,0,11.8724,-1.53565,0.0271157,0
180000,otu_378_Polyangiaceae,otu_1048_Polyangiaceae,0.518303,17.6783,-2.39721,0.677814,0
180000,otu_9292_40CM-4-68-19,otu_1257_SG8-38,0.610915,27.2338,-3.28385,2.09262,0
180000,otu_5327_SG8-38,otu_268_SG8-38,0.765245,20.5298,-1.96696,0.028871,0
180000,otu_8076,otu_4210_SG8-38,0.531168,24.8501,-3.04932,1.77386,0
180000,otu_19799_SMWR01,otu_2076_40CM-4-68-19,0.599947,16.8202,-3.21982,0.636146,0
200000,otu_378_Polyangiaceae,otu_19799_SMWR01,0,11.8753,-1.71916,0.0432138,0
200000,otu_378_Polyangiaceae,otu_5327_SG8-38,0.456068,16.3529,-1.89767,0.154956,0
200000,otu_4248_Polyangiaceae,NA,0.978281,105.244,2.04119,32.5557,0
200000,otu_647_Polyangiaceae,otu_7419_Polyangiaceae,0.475723,15.9979,-2.38698,0.669864,0
200000,otu_8076,otu_2720_Haliangiaceae,0.63044,18.3582,-3.06274,0.192477,0
200000,otu_4210_SG8-38,otu_2884_SG8-38,0.666899,14.5476,-1.18636,2.76209,0
200000,otu_228_Haliangiaceae,NA,0.915012,2.90596,-1.33883,43.2907,0
200000,otu_19799_SMWR01,otu_2076_40CM-4-68-19,0.609811,35.0585,-4.58254,3.72452,0
200000,otu_4617_SG8-38,otu_291_SG8-38,0.688335,14.1382,-1.94854,2.69842,0
200000,otu_1173_Myxococcaceae,otu_13517_Myxococcaceae,0.638844,14.4177,-1.92401,4.38193,0
200000,otu_8609_SG8-38,otu_5376_GCA-2747355,0.647455,15.0766,-2.52847,0.623593,0
200000,otu_2991_SMWR01,NA,0.905077,10.7711,1.90998,24.94,0
220000,otu_378_Polyangiaceae,otu_19799_SMWR01,0,15.0324,-2.09657,0.100894,0
220000,otu_10522_Polyangiaceae,NA,0.907869,65.304,0.244894,32.1341,0
220000,otu_378_Polyangiaceae,otu_5327_SG8-38,0.458551,16.2781,-1.85146,0.728416,0
220000,otu_647_Polyangiaceae,otu_12297_Polyangiaceae,0.418545,14.7809,-2.16145,0.274838,0
220000,otu_8076,otu_3192_Haliangiaceae,0.614745,15.3285,-1.82367,0.293789,0
220000,otu_8076,otu_4362_Haliangiaceae,0.371315,13.7266,-2.39545,0.145966,0
220000,otu_19799_SMWR01,otu_2076_40CM-4-68-19,0.604479,22.8281,-3.63476,1.52948,0
220000,otu_4617_SG8-38,otu_291_SG8-38,0.680538,16.9451,-1.88809,1.46282,0
220000,otu_12002,otu_5962,0.528508,23.2266,-3.22984,3.02367,0
220000,otu_8609_SG8-38,otu_5376_GCA-2747355,0.637434,18.5583,-2.76171,0.0769308,0
220000,otu_536_SMWR01,otu_8816_SMWR01,0.77404,18.0552,-0.395003,0.365313,0
240000,otu_378_Polyangiaceae,otu_19799_SMWR01,0,12.9773,-1.901,0.0975237,0
