generation,rank_1,rank_2,swapAccepted
1000,3,4,1
2000,1,4,0
3000,1,4,1
4000,2,4,1
5000,2,4,1
6000,1,2,1
7000,2,4,1
8000,1,3,1
9000,1,2,1
10000,1,4,1
11000,1,4,1
12000,2,3,1
13000,2,4,0
14000,2,4,0
15000,1,3,1
16000,1,3,1
17000,1,3,1
18000,1,2,1
19000,1,3,1
20000,1,2,1
21000,2,3,1
22000,3,4,1
23000,1,2,1
24000,1,4,0
25000,2,4,1
26000,1,3,1
27000,1,3,1
28000,2,4,1
29000,1,2,1
30000,1,3,1
31000,2,4,1
32000,2,4,1
33000,1,3,1
34000,1,3,1
35000,1,3,1
36000,1,3,0
37000,1,2,1
38000,1,2,1
39000,3,4,1
40000,1,4,1
41000,1,2,1
42000,3,4,1
43000,1,3,1
44000,2,4,1
45000,2,3,0
46000,2,4,0
47000,3,4,1
48000,1,2,1
49000,2,3,0
50000,2,3,1
51000,2,3,1
52000,2,3,0
53000,2,4,0
54000,1,3,0
55000,2,4,0
56000,2,4,0
57000,2,3,0
58000,2,3,1
59000,1,2,0
60000,1,3,0
61000,2,3,1
62000,3,4,1
63000,3,4,0
64000,1,4,0
65000,3,4,1
66000,1,2,1
67000,1,4,0
68000,1,3,0
69000,2,4,0
70000,1,2,1
71000,2,4,0
72000,1,2,0
73000,1,2,1
74000,2,3,0
75000,2,4,0
76000,1,2,1
77000,1,2,1
78000,1,2,1
79000,2,3,0
80000,2,4,0
81000,2,3,1
82000,2,3,1
83000,1,3,0
84000,2,3,0
85000,2,3,0
86000,1,2,1
87000,2,4,0
88000,1,4,0
89000,2,3,0
90000,1,2,1
91000,2,3,1
92000,2,3,1
93000,1,3,0
94000,3,4,1
95000,3,4,0
96000,3,4,1
97000,2,4,0
98000,3,4,1
99000,1,2,1
100000,2,3,0
101000,2,3,0
102000,1,4,0
103000,1,4,0
104000,2,3,0
105000,1,2,1
106000,1,3,1
107000,2,4,1
108000,2,3,1
109000,1,4,1
110000,2,3,1
111000,1,3,1
112000,1,4,0
113000,2,4,0
114000,1,2,1
115000,3,4,1
116000,3,4,1
117000,1,4,0
118000,2,4,0
119000,1,4,0
120000,2,4,0
121000,2,4,0
122000,2,3,1
123000,1,4,0
124000,1,2,0
125000,1,3,0
126000,2,3,1
127000,1,2,0
128000,1,4,0
129000,1,4,0
130000,1,3,1
131000,2,4,0
132000,2,4,0
133000,1,3,1
134000,2,4,0
135000,2,4,0
136000,1,4,0
137000,3,4,1
138000,1,4,0
139000,1,2,1
140000,1,3,1
141000,1,4,1
142000,2,4,1
143000,1,4,1
144000,3,4,1
145000,1,3,0
146000,1,2,0
147000,1,2,1
148000,2,4,1
149000,1,3,1
150000,1,4,1
151000,2,4,1
152000,1,3,0
153000,2,3,1
154000,1,2,1
155000,1,2,1
156000,1,2,0
157000,1,4,1
158000,2,3,1
159000,3,4,1
160000,3,4,0
161000,1,2,1
162000,1,2,1
163000,2,3,1
164000,1,2,0
165000,3,4,1
166000,1,2,1
167000,1,2,1
168000,1,2,1
169000,1,2,1
170000,3,4,1
171000,2,3,0
172000,2,4,0
173000,1,2,0
174000,1,3,0
175000,2,3,1
176000,2,3,1
177000,2,4,1
178000,1,4,0
179000,2,3,1
180000,2,4,0
181000,1,2,1
182000,1,4,0
183000,2,4,1
184000,2,4,1
185000,2,4,1
186000,3,4,1
187000,2,4,0
188000,1,2,1
189000,2,3,1
190000,3,4,0
191000,1,3,0
192000,3,4,0
193000,1,3,1
194000,1,3,1
195000,1,4,0
196000,1,2,1
197000,1,4,0
198000,2,4,0
199000,1,3,1
200000,1,4,0
201000,2,3,1
202000,2,3,1
203000,1,4,0
204000,1,4,0
205000,2,3,0
206000,2,3,0
207000,1,4,0
208000,2,3,0
209000,1,3,1
210000,1,3,1
211000,2,3,1
212000,1,3,0
213000,1,4,0
214000,1,3,1
215000,1,4,0
216000,2,4,0
217000,3,4,0
218000,3,4,0
219000,3,4,1
220000,2,4,1
221000,2,3,0
222000,1,2,1
223000,1,3,0
224000,2,4,1
225000,1,2,1
226000,1,3,0
227000,1,2,1
228000,2,3,0
229000,2,3,0
230000,1,3,0
231000,1,3,1
232000,3,4,1
233000,2,3,1
234000,1,2,1
235000,2,4,1
236000,1,3,1
237000,2,3,1
238000,3,4,0
239000,1,3,0
240000,1,2,1
241000,1,4,0
242000,1,3,1
243000,1,3,1
244000,1,4,0
245000,2,3,1
246000,3,4,0
247000,1,2,1
248000,1,3,1
249000,3,4,0
250000,1,4,0
251000,1,4,0
252000,1,2,1
253000,2,4,0
254000,1,4,0
255000,3,4,0
256000,1,3,1
257000,2,3,0
258000,2,4,0
259000,2,3,0
260000,1,4,0
261000,2,4,1
262000,3,4,0
263000,1,3,1
264000,1,3,1
265000,1,4,0
266000,1,3,1
267000,2,4,1
268000,1,3,1
269000,3,4,1
270000,1,2,1
271000,3,4,1
272000,2,3,1
273000,1,4,1
274000,1,4,1
275000,3,4,1
276000,1,4,1
277000,2,4,1
278000,2,4,1
279000,3,4,1
280000,2,4,0
281000,1,2,1
282000,1,4,0
283000,1,4,0
284000,1,3,0
285000,1,2,1
286000,1,3,1
287000,2,4,0
288000,1,4,0
289000,2,4,0
290000,2,3,1
291000,1,3,1
292000,3,4,1
293000,3,4,1
294000,2,4,0
295000,2,3,1
296000,1,2,1
297000,1,3,1
298000,1,2,1
299000,1,2,1
300000,1,3,0
301000,3,4,0
302000,1,2,1
303000,1,3,1
304000,2,4,0
305000,3,4,1
306000,1,3,1
307000,1,3,1
308000,3,4,1
309000,3,4,1
310000,1,4,0
311000,1,3,0
312000,3,4,1
313000,3,4,0
314000,1,4,0
315000,1,2,0
316000,1,4,0
317000,1,4,0
318000,3,4,1
319000,2,4,1
320000,2,4,1
321000,2,3,1
322000,1,2,0
323000,1,4,0
324000,1,3,0
325000,1,3,1
326000,1,3,1
327000,1,2,1
328000,2,3,1
329000,1,3,1
330000,2,4,1
331000,2,4,1
332000,1,3,0
333000,2,3,1
334000,1,3,0
335000,1,2,1
336000,1,3,1
337000,1,4,1
338000,2,3,0
339000,2,3,0
340000,1,3,0
341000,2,3,1
342000,1,3,1
343000,2,3,1
344000,2,4,1
345000,1,3,0
346000,2,4,1
347000,1,3,0
348000,2,4,1
349000,2,3,0
350000,1,2,1
351000,1,2,1
352000,2,3,0
353000,2,4,1
354000,2,4,1
355000,1,2,1
356000,1,3,1
357000,2,3,1
358000,1,4,1
359000,1,4,1
360000,1,3,1
361000,3,4,1
362000,2,3,0
363000,1,2,1
364000,2,3,1
365000,1,3,0
366000,3,4,0
367000,2,4,0
368000,3,4,1
369000,2,3,1
370000,1,2,0
371000,2,4,1
372000,2,3,1
373000,1,4,0
374000,1,4,0
375000,3,4,0
376000,1,2,1
377000,1,4,1
378000,2,4,1
379000,1,4,1
380000,1,3,1
381000,1,2,1
382000,3,4,0
383000,1,4,0
384000,1,3,1
385000,3,4,0
386000,2,3,1
387000,3,4,1
388000,1,3,0
389000,1,4,0
390000,1,2,0
391000,3,4,1
392000,1,2,1
393000,1,2,1
394000,1,2,1
395000,1,3,1
396000,2,3,1
397000,1,4,1
398000,2,4,1
399000,1,4,1
400000,3,4,1
401000,2,4,1
402000,1,4,1
403000,3,4,1
404000,1,3,1
405000,2,3,1
406000,1,2,1
407000,1,3,1
408000,1,4,1
409000,1,2,1
410000,1,4,1
411000,2,3,1
412000,2,4,1
413000,2,4,1
414000,2,4,1
415000,1,2,1
416000,1,4,0
417000,2,4,1
418000,1,2,0
419000,3,4,1
420000,2,4,0
421000,1,4,0
422000,1,2,0
423000,2,3,1
424000,3,4,0
425000,1,2,1
426000,2,3,1
427000,3,4,0
428000,1,2,1
429000,1,3,1
430000,2,4,0
431000,1,2,1
432000,1,2,1
433000,2,3,1
434000,3,4,0
435000,2,3,1
436000,2,3,1
437000,1,2,0
438000,2,4,1
439000,2,3,1
440000,2,3,1
441000,1,4,0
442000,1,4,1
443000,1,3,1
444000,1,4,0
445000,2,3,1
446000,1,4,1
447000,1,2,0
448000,1,2,1
449000,1,4,0
450000,2,3,1
451000,2,3,1
452000,2,3,1
453000,1,2,1
454000,3,4,1
455000,1,4,0
456000,2,3,1
457000,1,4,0
458000,1,2,1
459000,2,3,1
460000,1,2,1
461000,3,4,1
462000,2,4,1
463000,1,2,1
464000,3,4,1
465000,1,2,1
466000,1,2,1
467000,2,3,1
468000,1,4,1
469000,2,4,1
470000,2,4,1
471000,2,4,1
472000,3,4,1
473000,1,3,0
474000,1,2,1
475000,1,4,0
476000,1,3,1
477000,2,4,1
478000,2,4,1
479000,1,2,1
480000,2,3,1
481000,1,2,1
482000,2,4,0
483000,3,4,0
484000,2,4,1
485000,1,4,0
486000,3,4,0
487000,3,4,1
488000,3,4,1
489000,1,4,1
490000,2,3,1
491000,3,4,1
492000,3,4,1
493000,3,4,1
494000,1,3,1
495000,3,4,1
496000,2,3,1
497000,2,3,1
498000,3,4,1
499000,3,4,1
500000,2,4,1
501000,3,4,1
502000,2,4,1
503000,1,2,1
504000,1,4,0
505000,2,4,1
506000,1,2,0
507000,2,3,1
508000,1,2,1
509000,1,3,1
510000,2,4,1
511000,3,4,1
512000,2,3,1
513000,2,4,1
514000,1,2,1
515000,1,3,1
516000,3,4,1
517000,2,3,1
518000,1,4,1
519000,1,2,1
520000,1,2,1
521000,2,4,0
522000,1,2,1
523000,2,3,0
524000,1,2,1
525000,3,4,1
526000,1,4,0
527000,1,3,0
528000,1,4,0
529000,3,4,1
530000,1,3,1
531000,1,2,1
532000,2,4,1
533000,3,4,1
534000,2,4,1
535000,3,4,1
536000,2,4,0
537000,1,2,1
538000,1,2,0
539000,1,3,0
540000,1,4,0
541000,1,4,0
542000,1,3,1
543000,3,4,0
544000,1,4,1
545000,3,4,0
546000,1,4,1
547000,1,3,1
548000,1,2,1
549000,1,3,0
550000,1,2,1
551000,1,2,1
552000,3,4,1
553000,2,3,1
554000,2,4,1
555000,1,3,1
556000,3,4,1
557000,2,4,0
558000,2,4,1
559000,2,3,1
560000,1,2,1
561000,3,4,1
562000,1,2,1
563000,1,4,0
564000,1,4,0
565000,3,4,0
566000,2,3,1
