generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,otu_378_Polyangiaceae,otu_19799_SMWR01,0,0.032,0,0.00205167,0
20000,otu_378_Polyangiaceae,otu_19799_SMWR01,0,9.59665,-1.17107,0.0296736,0
40000,otu_378_Polyangiaceae,otu_19799_SMWR01,0,11.544,-1.46525,0.124988,0
40000,otu_5327_SG8-38,otu_860_SG8-38,0.816432,20.3767,-3.12022,2.82876,0
40000,otu_8076,otu_4210_SG8-38,0.543936,17.2264,-2.50711,1.05774,0
60000,otu_378_Polyangiaceae,otu_19799_SMWR01,0,13.1508,-1.86873,0.0937552,0
60000,otu_378_Polyangiaceae,otu_5327_SG8-38,0.456162,17.0645,-2.37335,0.696235,0
60000,otu_5327_SG8-38,otu_2515_SG8-38,0.832102,21.2573,-1.13239,5.4245,0
60000,otu_8076,otu_4210_SG8-38,0.541976,21.7828,-3.24267,0.305029,0
60000,otu_19799_SMWR01,otu_8509,0.539796,18.1858,-3.02354,0.695105,0
80000,otu_378_Polyangiaceae,otu_19799_SMWR01,0,11.7727,-1.71508,0.0142844,0
80000,otu_378_Polyangiaceae,otu_9292_40CM-4-68-19,0.465749,22.1761,-2.84079,0.0357837,0
80000,otu_5327_SG8-38,otu_8384_SG8-38,0.74124,20.4726,-2.28371,0.719779,0
80000,otu_8076,otu_2435_Haliangiaceae,0.529056,21.9018,-3.3416,0.751312,0
80000,otu_19799_SMWR01,otu_579_Myxococcaceae,0.577497,16.6976,-3.33814,0.711739,0
100000,otu_378_Polyangiaceae,otu_19799_SMWR01,0,13.0488,-1.78992,0.00225697,0
100000,otu_378_Polyangiaceae,otu_1048_Polyangiaceae,0.519075,22.0996,-3.27186,0.255051,0
100000,otu_9292_40CM-4-68-19,otu_1257_SG8-38,0.629005,22.4614,-3.30841,0.505147,0
100000,otu_5327_SG8-38,otu_860_SG8-38,0.809723,27.1596,-3.60524,2.53995,0
100000,otu_8076,otu_4210_SG8-38,0.531749,22.4111,-3.64692,0.561487,0
100000,otu_9668_Haliangiaceae,NA,0.984976,13.1493,-0.366767,175.106,0
120000,otu_378_Polyangiaceae,otu_19799_SMWR01,0,12.5075,-1.88154,0.0296205,0
120000,otu_378_Polyangiaceae,otu_9292_40CM-4-68-19,0.473858,18.2112,-2.55103,0.303322,0
120000,otu_5327_SG8-38,otu_8384_SG8-38,0.740699,16.2096,-0.630339,0.51691,0
120000,otu_647_Polyangiaceae,otu_7818_Polyangiaceae,0.434899,17.5419,-2.22057,3.61882,0
120000,otu_8076,otu_4210_SG8-38,0.549533,14.5907,-2.16212,0.850832,0
120000,otu_3189_Nannocystaceae,NA,0.991698,4.3107,0.428151,61.2141,0
