generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-16.3554,-14452.7,500,0
20000,1,-30.9702,2261.34,0.850743,0.427
40000,1,-31.4282,2258.8,1.19137,0.4158
60000,2,-40.6713,2279.39,1.7581,0.4292
80000,2,-40.5714,2266.13,3.25717,0.449
100000,2,-44.3143,2279.65,2.26423,0.462
120000,4,-66.162,2322.96,4.39195,0.429
140000,2,-49.2442,2301.38,4.22202,0.38
160000,2,-46.817,2280.55,2.04155,0.423
180000,2,-41.7051,2292.72,3.91194,0.357
200000,5,-84.1595,2357.48,6.81711,0.282
220000,2,-47.7893,2291.23,1.57846,0.3088
240000,2,-42.0121,2298.26,3.73672,0.275
260000,6,-90.3674,2351.45,5.20359,0.333143
280000,5,-76.7944,2355.56,5.60129,0.33
300000,4,-71.0433,2343.95,7.03781,0.2235
320000,4,-62.7301,2327.17,7.64625,0.414312
340000,6,-89.5462,2347.95,4.38013,0.336
360000,2,-41.7563,2289.65,1.76238,0.283
380000,4,-65.0333,2328.36,4.97829,0.404
400000,6,-89.4677,2360.22,5.6674,0.409
420000,7,-94.1283,2377.61,7.17464,0.323
440000,8,-105.848,2385.4,13.0391,0.339
460000,3,-53.193,2319.41,5.27615,0.366
480000,15,-196.598,2463.93,13.0231,0.41
500000,5,-73.3341,2341.3,10.7593,0.3721
520000,5,-79.6525,2350.34,4.29052,0.346
540000,12,-158.73,2457.79,18.5137,0.3844
560000,11,-154.229,2466.06,10.3851,0.338
580000,4,-65.5885,2347.77,3.23781,0.283
600000,11,-142.207,2464.19,11.4926,0.422
620000,16,-189.425,2456.18,21.1611,0.4555
640000,6,-80.0388,2343.74,4.92638,0.404
660000,15,-176.868,2469.28,14.5618,0.412
680000,17,-204.138,2469.09,14.096,0.473
700000,7,-96.974,2379,7.23696,0.389667
720000,15,-187.882,2487.94,17.3649,0.466228
740000,6,-89.415,2376.87,11.3296,0.378
760000,16,-199.918,2496.29,13.3287,0.469818
780000,16,-194.104,2506.61,19.8784,0.396
800000,20,-255.533,2549.71,19.4909,0.438
820000,9,-115.551,2391.68,7.33306,0.459
840000,22,-272,2552.78,25.7036,0.443
860000,23,-289.939,2548.09,20.8013,0.476
880000,15,-187.094,2464.42,17.9376,0.476
900000,14,-174.648,2475.88,22.3464,0.419
920000,16,-196.48,2472.44,10.4212,0.390429
940000,21,-258.127,2555.9,21.7167,0.43
960000,19,-240.166,2542.31,17.0867,0.443
980000,19,-237.908,2543.74,17.7298,0.405
1000000,10,-127.022,2426.98,6.71272,0.405
1020000,17,-217.508,2546.17,19.9016,0.399
1040000,30,-355.164,2596.48,39.2862,0.481
1060000,20,-242.791,2556.22,17.1192,0.439
1080000,21,-258.406,2554.27,15.1203,0.401
1100000,23,-280.196,2563.81,24.9195,0.404333
1120000,15,-184.65,2477.55,15.0112,0.436
1140000,23,-280.893,2571.08,26.8287,0.432
1160000,11,-142.14,2450.87,12.246,0.371
1180000,26,-319.266,2571.37,27.01,0.408143
1200000,14,-184.527,2467.7,15.9819,0.372
1220000,16,-198.445,2500.93,16.4736,0.401
1240000,18,-217.331,2491.98,13.6092,0.429
1260000,17,-211.74,2493.05,19.9398,0.414
1280000,27,-332.704,2578.4,34.2232,0.442
1300000,19,-237.391,2494.85,22.6593,0.444
1320000,19,-238.797,2504.17,24.9318,0.393
1340000,18,-220.877,2518.17,14.3185,0.421
1360000,16,-201.832,2483.77,13.4658,0.408
1380000,15,-183.752,2475.72,11.4963,0.367
1400000,18,-213.716,2486.08,18.9266,0.469
1420000,19,-232.246,2519.14,16.7444,0.427
1440000,21,-243.665,2518.33,18.9207,0.462
1460000,19,-224.952,2517.77,17.9214,0.465
1480000,23,-270.188,2516.07,24.7719,0.454625
1500000,29,-342.677,2573.47,31.0626,0.451667
1520000,27,-319.899,2588.09,25.2962,0.472
1540000,19,-230.678,2516.78,16.3697,0.4326
1560000,29,-346.691,2519.2,30.7818,0.463
1580000,29,-350.696,2611.49,37.2206,0.402
1600000,26,-311.132,2514.39,28.9963,0.487444
1620000,21,-248.6,2523.43,33.8741,0.44
1640000,24,-274.229,2511.95,26.0732,0.456
1660000,18,-218.339,2525.7,21.5134,0.446
1680000,17,-201.989,2510.4,20.8827,0.398
1700000,22,-261.324,2537.14,20.4518,0.426
1720000,18,-224.005,2528.05,18.0312,0.414889
1740000,17,-203.132,2520.18,18.1526,0.398
1760000,23,-269.3,2556.52,22.3375,0.4684
1780000,22,-255.637,2534.07,18.4906,0.4468
1800000,29,-340.631,2598.97,23.7565,0.444
1820000,20,-240.199,2529.39,14.2107,0.438
1840000,28,-329.338,2570.37,36.5912,0.474
1860000,30,-348.284,2575.7,43.3986,0.4915
1880000,32,-366.974,2573.85,28.8466,0.478714
1900000,24,-294.111,2617.57,33.4079,0.43575
1920000,28,-356.344,2621.13,29.3397,0.429
1940000,27,-315.475,2537.54,24.5959,0.473
1960000,25,-310.785,2602.89,33.1579,0.45
1980000,28,-326.356,2546.58,28.0862,0.454
2000000,23,-273.725,2549.26,28.2619,0.428
2020000,35,-392.026,2584.28,32.3878,0.467
2040000,25,-310.179,2594.1,25.7402,0.413
2060000,28,-338.976,2599.45,32.9905,0.42
2080000,33,-396.358,2613.43,43.1532,0.473
2100000,33,-374.658,2568.18,32.9259,0.491
2120000,29,-359.254,2625.8,24.5592,0.458667
2140000,34,-397.718,2573.91,37.7562,0.477
2160000,33,-395.695,2619.79,27.1642,0.462
2180000,27,-322.654,2564.5,23.8021,0.46
2200000,24,-280.9,2562.87,21.8363,0.437
2220000,28,-335.609,2617.54,25.5915,0.4356
2240000,32,-385.262,2629.04,35.6017,0.454
2260000,29,-344.935,2573.7,44.034,0.452
2280000,27,-325.938,2585.72,27.8253,0.402
2300000,29,-355.073,2596.33,33.4847,0.422
2320000,28,-326.075,2576.8,24.2592,0.42
2340000,36,-420.659,2628.75,38.4737,0.4505
2360000,26,-311.601,2587.27,23.2801,0.403
2380000,28,-330.811,2587.47,19.2886,0.47375
2400000,28,-335.593,2574.09,25.507,0.458
2420000,33,-380.079,2614.2,36.1792,0.451
2440000,30,-344.848,2598.38,25.4816,0.499
2460000,31,-355.21,2596.05,24.194,0.452
2480000,27,-314.477,2541.19,20.0284,0.479
2500000,27,-321.387,2590.96,28.9669,0.457
2520000,29,-338.677,2588.98,28.0856,0.493
2540000,29,-339.259,2597.71,30.6554,0.446
2560000,23,-275.648,2530.92,36.599,0.473
2580000,23,-277.799,2597.41,26.1156,0.451
2600000,24,-283.77,2599.43,24.0751,0.448
2620000,24,-281.345,2550.24,23.6481,0.435
2640000,26,-304.886,2560.21,17.5775,0.43775
2660000,27,-311.978,2533.74,20.6482,0.467
2680000,24,-281.206,2528.93,31.7036,0.458
2700000,36,-428.543,2622.11,31.4415,0.485
2720000,30,-351.187,2619.61,38.2748,0.476
2740000,37,-428.333,2615.62,43.1311,0.522
2760000,32,-379.193,2626.73,30.4807,0.489
2780000,27,-324.057,2598.67,25.3863,0.45
2800000,23,-274.583,2547.31,30.5408,0.441
2820000,28,-333.755,2635.46,25.6021,0.428
2840000,27,-308.666,2597.44,27.566,0.439
2860000,38,-443.74,2631.82,29.9285,0.505
2880000,25,-298.503,2576.74,24.6903,0.453
2900000,26,-309.487,2589.11,25.4778,0.472
2920000,28,-340.215,2581.9,23.2493,0.452
2940000,28,-323.287,2594.43,30.411,0.419
2960000,27,-318.71,2587.86,24.5515,0.439
2980000,38,-449.561,2635.51,43.4787,0.47
3000000,36,-423.09,2643.08,37.4913,0.496579
