generation,rank_1,rank_2,swapAccepted
1000,2,4,1
2000,1,3,1
3000,1,3,1
4000,2,3,1
5000,1,2,1
6000,2,4,1
7000,1,2,1
8000,2,4,1
9000,1,2,1
10000,1,3,0
11000,1,2,1
12000,2,4,1
13000,1,4,1
14000,1,2,1
15000,1,3,1
16000,1,3,1
17000,1,2,1
18000,2,3,1
19000,1,4,1
20000,2,3,1
21000,3,4,1
22000,2,4,1
23000,2,4,1
24000,2,3,1
25000,3,4,1
26000,2,4,1
27000,1,4,1
28000,1,2,1
29000,1,2,1
30000,1,3,1
31000,1,3,1
32000,2,3,1
33000,2,3,1
34000,1,2,1
35000,1,4,1
36000,1,3,1
37000,2,4,1
38000,1,3,1
39000,1,4,1
40000,1,4,1
41000,2,3,1
42000,2,3,1
43000,2,4,1
44000,1,4,1
45000,2,3,1
46000,1,2,1
47000,1,4,1
48000,1,3,1
49000,1,2,1
50000,3,4,1
51000,2,3,1
52000,2,3,1
53000,1,3,0
54000,3,4,1
55000,1,3,1
56000,2,4,1
57000,1,2,1
58000,2,4,1
59000,2,4,1
60000,1,4,1
61000,1,4,1
62000,1,3,0
63000,1,3,1
64000,1,3,1
65000,1,2,1
66000,2,3,1
67000,1,3,1
68000,1,2,1
69000,2,4,1
70000,2,3,1
71000,2,4,1
72000,1,4,1
73000,2,4,1
74000,1,4,1
75000,1,3,1
76000,3,4,1
77000,1,4,1
78000,3,4,1
79000,2,4,1
80000,1,3,1
81000,1,4,1
82000,2,3,1
83000,2,3,1
84000,1,4,1
85000,1,4,0
86000,1,4,0
87000,3,4,0
88000,1,3,1
89000,1,3,1
90000,1,4,0
91000,1,3,1
92000,2,4,1
93000,1,2,1
94000,2,3,1
95000,3,4,1
96000,2,4,1
97000,1,2,1
98000,2,3,1
99000,1,3,1
100000,2,4,1
101000,1,2,1
102000,3,4,1
103000,3,4,1
104000,1,3,1
105000,3,4,1
106000,2,4,1
107000,3,4,0
108000,1,2,1
109000,1,4,1
110000,2,3,1
111000,2,3,1
112000,1,3,1
113000,1,3,1
114000,3,4,1
115000,2,4,1
116000,1,2,1
117000,2,3,1
118000,2,4,1
119000,2,4,1
120000,1,3,0
121000,1,4,1
122000,2,4,1
123000,1,4,1
124000,2,3,1
125000,2,3,1
126000,2,3,1
127000,1,3,1
128000,2,4,1
129000,1,4,1
130000,1,2,1
131000,2,4,1
132000,2,4,1
133000,1,2,1
134000,1,3,1
135000,1,3,1
136000,1,2,1
137000,2,3,1
138000,1,2,1
139000,1,2,1
140000,3,4,1
141000,3,4,1
142000,2,4,1
143000,2,3,1
144000,3,4,1
145000,2,4,1
146000,1,4,0
147000,1,4,1
148000,1,2,1
149000,1,2,1
150000,1,4,1
151000,1,4,1
152000,2,3,1
153000,2,3,1
154000,1,4,1
155000,2,3,1
156000,1,2,1
157000,2,3,1
158000,3,4,1
159000,2,3,1
160000,3,4,1
161000,2,3,1
162000,2,4,1
163000,1,3,0
164000,1,2,1
165000,1,3,1
166000,1,3,1
167000,1,2,1
168000,1,3,0
169000,3,4,0
170000,1,2,0
171000,2,3,1
172000,2,4,0
173000,1,2,0
174000,3,4,1
175000,2,3,1
176000,3,4,1
177000,1,2,0
178000,1,4,0
179000,1,2,0
180000,2,4,1
181000,1,4,0
182000,3,4,1
183000,1,3,0
184000,1,2,1
185000,1,4,0
186000,1,2,1
187000,1,2,1
188000,2,3,1
189000,3,4,1
190000,1,3,0
191000,2,4,1
192000,3,4,1
193000,2,4,1
194000,1,4,0
195000,3,4,1
196000,2,4,1
197000,1,3,1
198000,2,3,1
199000,1,4,0
200000,3,4,1
201000,1,2,0
202000,2,3,1
203000,2,3,1
204000,2,3,1
205000,2,3,1
206000,1,2,1
207000,3,4,1
208000,2,3,1
209000,2,4,1
210000,2,4,1
211000,2,4,1
212000,3,4,0
213000,1,4,0
214000,3,4,0
215000,1,4,1
216000,2,4,1
217000,1,3,1
218000,2,4,1
219000,2,3,1
220000,2,3,1
221000,2,4,1
222000,3,4,1
223000,1,2,0
224000,1,3,1
225000,3,4,1
226000,1,3,0
227000,2,3,1
228000,1,4,1
229000,3,4,1
230000,2,4,1
231000,1,4,1
232000,1,3,1
233000,2,4,1
234000,2,4,1
235000,1,3,1
236000,2,3,1
237000,1,4,1
238000,3,4,0
239000,1,4,1
240000,1,4,1
241000,1,2,1
242000,2,4,0
243000,1,3,1
244000,1,3,1
245000,1,3,1
246000,3,4,0
247000,2,4,0
248000,1,2,1
249000,2,3,1
250000,2,3,0
251000,1,3,1
252000,1,3,1
253000,1,2,1
254000,1,2,1
255000,2,4,1
256000,1,2,0
257000,2,4,1
258000,1,3,0
259000,2,3,1
260000,2,3,1
261000,1,3,1
262000,2,4,0
263000,2,4,0
264000,2,3,1
265000,2,4,1
266000,1,2,1
267000,1,4,1
268000,2,3,1
269000,2,4,0
270000,1,3,1
271000,1,4,1
272000,2,3,1
273000,1,4,0
274000,1,3,1
275000,2,4,0
276000,1,4,1
277000,1,2,1
278000,1,3,1
279000,2,3,1
280000,1,2,0
281000,2,4,1
282000,1,2,1
283000,1,4,1
284000,1,2,1
285000,3,4,1
286000,2,3,1
287000,2,4,1
288000,1,2,1
289000,1,3,1
290000,2,4,1
291000,2,4,0
292000,2,3,1
293000,1,3,1
294000,3,4,0
295000,3,4,1
296000,3,4,1
297000,2,4,0
298000,2,4,0
299000,3,4,1
300000,1,3,1
301000,1,2,1
302000,1,2,1
303000,2,4,1
304000,1,2,1
305000,1,2,1
306000,3,4,1
307000,1,2,0
308000,1,2,1
309000,1,3,1
310000,1,2,1
311000,1,3,1
312000,1,2,1
313000,1,3,0
314000,1,4,0
315000,1,3,0
316000,3,4,1
317000,2,4,0
318000,1,2,1
319000,1,2,1
320000,2,3,1
321000,1,3,1
322000,2,3,1
323000,2,4,0
324000,3,4,1
325000,2,4,1
326000,1,4,1
327000,2,3,0
328000,2,4,1
329000,1,3,0
330000,1,2,0
331000,1,2,0
332000,2,3,1
333000,2,3,0
334000,2,3,1
335000,1,2,1
336000,2,4,0
337000,3,4,0
338000,3,4,1
339000,1,2,1
340000,1,2,0
341000,3,4,1
342000,3,4,0
343000,1,2,1
344000,1,3,0
345000,1,2,1
346000,1,4,0
347000,1,4,1
348000,1,3,1
349000,1,2,0
350000,1,3,1
351000,2,4,1
352000,2,4,0
353000,3,4,0
354000,1,2,1
355000,2,3,1
356000,1,3,1
357000,1,2,1
358000,2,4,0
359000,2,3,1
360000,1,2,1
361000,2,4,0
362000,2,4,0
363000,3,4,1
364000,2,4,1
365000,1,3,1
366000,1,3,1
367000,1,2,1
368000,1,3,0
369000,2,3,1
370000,2,4,1
371000,1,2,1
372000,3,4,1
373000,2,4,1
374000,1,3,0
375000,3,4,1
376000,1,3,1
377000,1,4,0
378000,1,3,1
379000,1,3,1
380000,2,4,0
381000,3,4,0
382000,2,4,0
383000,1,3,1
384000,3,4,1
385000,3,4,1
386000,2,4,1
387000,1,3,1
388000,1,3,0
389000,1,3,1
390000,1,3,1
391000,2,4,1
392000,2,3,1
393000,3,4,0
394000,1,4,0
395000,2,4,0
396000,1,3,0
397000,3,4,0
398000,1,3,0
399000,3,4,1
400000,1,2,0
401000,2,3,1
402000,1,3,0
403000,1,4,1
404000,1,2,1
405000,2,4,1
406000,1,2,1
407000,1,2,0
408000,1,4,0
409000,1,4,0
410000,1,4,0
411000,2,3,1
412000,3,4,1
413000,3,4,1
414000,2,3,0
415000,1,3,0
416000,2,3,1
417000,2,3,1
418000,3,4,1
419000,3,4,1
420000,1,3,0
421000,1,4,0
422000,1,4,0
423000,1,2,1
424000,1,4,0
425000,2,4,0
426000,1,3,0
427000,1,3,0
428000,2,3,0
429000,3,4,1
430000,1,2,1
431000,1,4,0
432000,1,2,1
433000,1,4,0
434000,3,4,0
435000,3,4,0
436000,1,3,1
437000,2,4,1
438000,1,4,0
439000,1,3,0
440000,2,3,1
441000,1,4,0
442000,1,4,1
443000,3,4,1
444000,3,4,1
445000,1,3,1
446000,1,2,1
447000,1,4,1
448000,1,2,0
449000,1,2,1
450000,1,4,1
451000,1,3,0
452000,1,3,0
453000,1,3,0
454000,2,3,0
455000,1,4,1
456000,1,4,1
457000,1,4,1
458000,1,4,1
459000,3,4,1
460000,1,3,0
461000,1,2,1
462000,2,4,0
463000,1,2,1
464000,2,4,0
465000,3,4,0
466000,1,3,1
467000,2,4,0
468000,1,2,1
469000,2,4,0
470000,1,4,0
471000,1,3,1
472000,3,4,0
473000,1,4,0
474000,2,3,1
475000,1,2,1
476000,3,4,0
477000,1,4,0
478000,3,4,0
479000,2,4,0
480000,3,4,0
481000,2,4,0
482000,2,3,1
483000,3,4,1
484000,1,4,0
485000,2,3,0
486000,1,4,1
487000,1,3,0
488000,3,4,1
489000,2,4,0
490000,3,4,1
491000,2,4,1
492000,2,3,1
493000,1,4,0
494000,1,4,0
495000,1,3,1
496000,1,4,0
497000,1,4,0
498000,2,3,1
499000,2,3,0
500000,3,4,1
501000,3,4,1
502000,2,3,0
503000,1,2,0
504000,3,4,1
505000,1,2,1
506000,1,2,0
507000,2,3,1
508000,2,4,0
509000,2,4,0
510000,1,3,0
511000,1,3,0
512000,1,3,0
513000,1,2,1
514000,3,4,1
515000,2,4,1
516000,1,4,1
517000,1,3,0
518000,1,4,1
519000,1,2,1
520000,2,4,1
521000,1,4,0
522000,3,4,1
523000,2,3,1
524000,1,3,1
525000,1,3,1
526000,3,4,0
527000,1,3,1
528000,1,4,0
529000,3,4,0
530000,3,4,0
531000,3,4,0
532000,1,3,1
533000,2,3,1
534000,3,4,0
535000,3,4,0
536000,1,4,0
537000,1,4,0
538000,1,4,0
539000,2,3,0
540000,3,4,1
541000,1,3,0
542000,1,4,0
543000,2,3,1
544000,2,3,1
545000,1,2,1
546000,1,2,0
547000,3,4,0
548000,2,3,1
549000,2,3,1
550000,2,4,0
551000,1,4,0
552000,3,4,1
553000,1,4,0
554000,2,3,1
555000,1,4,0
556000,2,4,1
557000,1,3,1
558000,1,2,0
559000,1,4,0
560000,2,3,1
561000,3,4,1
562000,1,2,1
563000,2,4,0
564000,1,3,0
565000,2,3,1
566000,1,4,0
567000,2,3,1
568000,2,3,1
569000,3,4,0
570000,1,4,0
571000,3,4,1
572000,1,2,1
573000,1,2,1
574000,2,4,1
575000,1,4,0
576000,1,2,1
577000,1,3,1
578000,1,3,1
579000,1,3,1
580000,1,2,1
581000,2,3,1
582000,2,3,0
583000,1,2,1
584000,2,4,0
585000,1,3,0
586000,1,3,1
587000,3,4,0
588000,1,4,0
589000,1,3,0
590000,1,4,0
591000,2,3,1
592000,2,3,0
593000,2,4,0
594000,2,3,1
595000,1,4,0
596000,2,3,1
597000,1,2,1
598000,1,2,1
599000,1,4,1
600000,1,4,1
601000,1,3,1
602000,3,4,1
603000,3,4,1
604000,2,4,1
605000,1,4,1
606000,1,2,1
607000,3,4,1
608000,3,4,0
609000,1,3,1
610000,2,3,1
611000,2,4,0
612000,1,2,1
613000,3,4,1
614000,1,2,0
615000,1,2,0
616000,1,3,0
617000,1,3,0
618000,1,2,0
619000,1,4,1
620000,1,2,1
621000,1,4,1
622000,3,4,1
623000,2,4,0
624000,2,3,0
625000,1,4,0
626000,1,2,1
627000,1,3,0
628000,3,4,1
629000,2,4,1
630000,1,3,1
631000,3,4,1
632000,1,2,1
633000,3,4,0
634000,3,4,1
635000,2,3,1
636000,2,3,1
637000,3,4,1
638000,1,2,0
639000,2,3,1
640000,2,4,1
641000,1,2,1
642000,1,3,0
643000,2,3,0
644000,1,4,1
645000,1,2,0
646000,1,3,0
647000,2,4,1
648000,1,4,1
649000,1,3,0
650000,1,3,0
651000,1,2,0
652000,2,3,1
653000,3,4,1
654000,1,2,0
655000,2,4,1
656000,2,3,1
657000,1,3,0
658000,1,3,0
659000,1,3,1
660000,2,4,0
661000,2,3,1
662000,1,3,1
663000,1,2,1
664000,2,3,1
665000,2,3,0
666000,1,2,1
667000,1,4,0
668000,1,3,1
669000,2,3,1
670000,1,2,1
671000,1,2,1
672000,3,4,1
673000,2,3,1
674000,2,4,1
675000,1,3,0
676000,1,2,1
677000,3,4,0
678000,1,4,0
679000,2,4,0
680000,2,4,0
681000,1,4,1
682000,1,2,1
683000,3,4,1
684000,1,3,0
685000,2,3,1
686000,3,4,1
687000,1,4,0
688000,1,2,0
689000,1,4,0
690000,3,4,1
691000,1,3,1
692000,1,4,0
693000,1,3,1
694000,1,4,0
695000,2,4,1
696000,1,2,1
697000,2,3,1
698000,3,4,0
699000,2,3,1
700000,2,3,1
701000,2,4,1
702000,1,3,1
703000,1,3,1
704000,2,3,1
705000,1,2,1
706000,1,3,1
707000,2,3,1
708000,1,2,1
709000,2,3,1
710000,2,4,1
711000,2,4,0
712000,1,3,1
713000,2,4,1
714000,1,4,1
715000,1,2,0
716000,1,2,0
717000,3,4,0
718000,3,4,1
719000,1,4,1
720000,3,4,1
721000,1,2,0
722000,2,4,0
723000,3,4,1
724000,1,3,0
725000,1,4,1
726000,2,3,1
727000,1,3,0
728000,1,3,1
729000,3,4,1
730000,1,2,1
731000,2,4,1
732000,2,4,1
733000,1,2,1
734000,3,4,0
735000,2,4,1
736000,2,3,1
737000,2,3,0
738000,1,3,1
739000,1,3,1
740000,1,2,1
741000,3,4,1
742000,1,3,0
743000,3,4,1
744000,2,3,1
745000,2,4,1
746000,3,4,1
747000,1,3,0
748000,2,4,0
749000,1,2,0
750000,3,4,1
751000,3,4,1
752000,1,3,0
753000,3,4,1
754000,2,4,0
755000,1,2,1
756000,3,4,1
757000,3,4,1
758000,1,3,0
759000,2,3,1
760000,1,3,0
761000,2,3,1
762000,1,4,0
763000,1,3,0
764000,2,3,1
765000,3,4,1
766000,2,4,0
767000,2,3,1
768000,1,4,0
769000,1,4,0
770000,2,3,0
771000,1,3,0
772000,2,4,0
773000,1,3,0
774000,1,3,0
775000,3,4,1
776000,2,3,1
777000,3,4,1
778000,2,3,1
779000,1,4,1
780000,2,4,1
781000,3,4,1
782000,2,4,1
783000,1,3,0
784000,1,4,1
