generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,otu_1003_Polyangiaceae,otu_1360_Anaeromyxobacteraceae,0,0.032,0,0.005,0
20000,otu_1003_Polyangiaceae,otu_1360_Anaeromyxobacteraceae,0,6.37272,0.357448,0.00569932,0
20000,otu_495_Polyangiaceae,otu_1584_Polyangiaceae,0.94948,53.8117,0.944394,12.8201,0
20000,otu_410,NA,0.930183,3.83067,-0.522264,15.6022,0
20000,otu_3631_Ga0077539,otu_7635_Haliangiaceae,0.652776,29.1401,-2.17852,2.99517,0
20000,otu_1360_Anaeromyxobacteraceae,otu_3201_Anaeromyxobacteraceae,0.856285,27.0197,-0.501176,0.54829,0
20000,otu_123_SG8-38,otu_3_SG8-38,0.767972,38.8523,0.1212,29.6456,0
20000,otu_1821_Myxococcaceae,NA,0.918248,17.2155,1.62545,2.7555,0
20000,otu_800_Myxococcaceae,otu_8679_Myxococcaceae,0.805081,28.2116,-0.589238,10.1726,0
20000,otu_1563_Myxococcaceae,NA,0.998948,40.4603,-0.449569,16.9965,0
40000,otu_1003_Polyangiaceae,otu_1360_Anaeromyxobacteraceae,0,8.93496,-0.161241,0.0034366,0
40000,otu_9965_Polyangiaceae,otu_2993_Polyangiaceae,0.850414,22.8648,1.18138,1.50754,0
40000,otu_1562_Polyangiaceae,NA,0.991604,28.4878,0.891717,122.54,0
40000,otu_937_Polyangiaceae,NA,0.824912,7.66518,1.60339,12.7532,0
40000,otu_3744_SG8-38,otu_420_PHBI01,0.715851,19.6598,-0.884539,1.97396,0
40000,otu_664_Haliangiaceae,otu_1175_Haliangiaceae,0.937985,57.2696,0.67557,7.51214,0
40000,otu_3631_Ga0077539,otu_3313_Haliangiaceae,0.666418,14.3124,-0.0754285,0.453332,0
40000,otu_2661_J016,otu_4050_J016,0.562308,14.9782,-0.820688,0.330717,0
40000,otu_1360_Anaeromyxobacteraceae,otu_3274_Anaeromyxobacteraceae,0.851278,17.4877,1.63324,1.47878,0
40000,otu_3_SG8-38,otu_268_SG8-38,0.873148,36.1015,1.6951,7.51176,0
40000,otu_800_Myxococcaceae,otu_6507_Myxococcaceae,0.839302,35.5551,-2.31645,9.00734,0
40000,otu_2906_Vulgatibacteraceae,NA,0.868267,39.7315,0.56442,54.8571,0
60000,otu_1003_Polyangiaceae,otu_1360_Anaeromyxobacteraceae,0,9.67837,-0.232308,0.0426848,0
60000,otu_952_Polyangiaceae,otu_9965_Polyangiaceae,0.745541,11.8604,0.486864,0.9816,0
60000,otu_3744_SG8-38,otu_420_PHBI01,0.736927,21.2615,-1.28418,1.0334,0
60000,otu_2857_Polyangiaceae,NA,0.79882,4.08075,0.279904,21.0601,0
60000,otu_3631_Ga0077539,otu_3313_Haliangiaceae,0.687416,13.482,0.12323,2.88666,0
60000,otu_1360_Anaeromyxobacteraceae,otu_1325_Anaeromyxobacteraceae,0.809954,19.5801,0.971764,0.101065,0
60000,otu_123_SG8-38,otu_527_SG8-38,0.744447,37.0794,-0.950589,18.0176,0
60000,otu_800_Myxococcaceae,otu_828_Myxococcaceae,0.741834,21.1863,0.805734,4.92584,0
80000,otu_1003_Polyangiaceae,otu_1360_Anaeromyxobacteraceae,0,10.5299,-0.408254,0.160592,0
80000,otu_3626_SG8-38,otu_644_SG8-38,0.898486,41.438,-0.54784,12.4597,0
80000,otu_3744_SG8-38,otu_420_PHBI01,0.7264,20.7031,-0.793793,3.89364,0
80000,otu_2061_Sandaracinaceae,otu_5604_Sandaracinaceae,0.69077,18.9154,-0.519104,6.13107,0
80000,otu_11682_Haliangiaceae,NA,0.993456,44.7129,0.754922,38.573,0
80000,otu_5448_Haliangiaceae,otu_664_Haliangiaceae,0.837787,19.9426,0.54783,0.960591,0
80000,otu_6846_Haliangiaceae,NA,0.961225,19.8816,0.0120664,7.31978,0
80000,otu_5448_Haliangiaceae,otu_3631_Ga0077539,0.612176,25.017,-3.26821,1.08972,0
80000,otu_1360_Anaeromyxobacteraceae,otu_3201_Anaeromyxobacteraceae,0.856896,38.0684,-2.07937,3.274,0
80000,otu_4105_SMWR01,otu_2260_Myxococcaceae,0.855107,28.1196,2.01001,11.1482,0
80000,otu_123_SG8-38,otu_412_SG8-38,0.655966,23.4038,-0.856991,8.97384,0
80000,otu_120_Myxococcaceae,otu_124_Myxococcaceae,0.839032,26.6637,0.950359,6.48437,0
80000,otu_800_Myxococcaceae,otu_8679_Myxococcaceae,0.815116,26.5931,0.860672,4.43216,0
80000,otu_2186_Myxococcaceae,NA,0.756319,12.4425,1.18058,25.4092,0
100000,otu_1003_Polyangiaceae,otu_1360_Anaeromyxobacteraceae,0,8.09856,-0.0568135,0.0957837,0
100000,otu_3744_SG8-38,otu_420_PHBI01,0.713491,32.7397,-2.41026,0.190508,0
100000,otu_2061_Sandaracinaceae,otu_5604_Sandaracinaceae,0.68266,12.4182,0.569291,0.675613,0
100000,otu_5448_Haliangiaceae,otu_7438_Haliangiaceae,0.794412,16.0828,-0.491262,2.87894,0
100000,otu_3631_Ga0077539,otu_3313_Haliangiaceae,0.690797,27.051,-2.4717,2.73955,0
100000,otu_8941_Haliangiaceae,otu_1967_Haliangiaceae,0.851057,13.9481,-0.776724,5.92335,0
100000,otu_5448_Haliangiaceae,otu_490,0.545279,31.5409,-4.63004,0.206234,0
100000,otu_1360_Anaeromyxobacteraceae,otu_1325_Anaeromyxobacteraceae,0.829732,30.3445,-0.697937,5.74352,0
100000,otu_123_SG8-38,otu_769_SG8-38,0.65106,28.233,-1.58026,6.93307,0
100000,otu_120_Myxococcaceae,otu_386_Myxococcaceae,0.901296,42.3209,0.0941667,18.3345,0
100000,otu_800_Myxococcaceae,otu_8679_Myxococcaceae,0.780477,15.9034,1.4768,0.71453,0
120000,otu_1003_Polyangiaceae,otu_1360_Anaeromyxobacteraceae,0,9.28267,-0.247683,0.228001,0
120000,otu_3744_SG8-38,otu_420_PHBI01,0.713409,35.7004,-3.4716,2.68484,0
120000,otu_2130_Polyangiaceae,NA,0.885246,16.3491,0.688103,37.6537,0
120000,otu_2061_Sandaracinaceae,otu_5604_Sandaracinaceae,0.689639,12.1894,2.30481,4.50912,0
120000,otu_5448_Haliangiaceae,otu_2891_Haliangiaceae,0.809914,13.6835,0.614953,0.191209,0
120000,otu_3631_Ga0077539,otu_3313_Haliangiaceae,0.689135,24.189,-1.54945,4.95456,0
120000,otu_4012_Haliangiaceae,NA,0.69811,10.6558,-2.0316,19.755,0
120000,otu_5448_Haliangiaceae,otu_2053_Haliangiaceae,0.493308,18.7558,-2.25065,0.310649,0
120000,otu_1360_Anaeromyxobacteraceae,otu_3274_Anaeromyxobacteraceae,0.852221,28.4744,-0.909333,1.55179,0
120000,otu_123_SG8-38,otu_412_SG8-38,0.675032,23.9499,-0.567186,12.1538,0
120000,otu_120_Myxococcaceae,otu_386_Myxococcaceae,0.891397,28.8862,0.120564,2.27946,0
120000,otu_800_Myxococcaceae,otu_8679_Myxococcaceae,0.796109,28.5608,0.310539,8.39529,0
140000,otu_1003_Polyangiaceae,otu_1360_Anaeromyxobacteraceae,0,13.7777,-0.843125,0.162302,0
