generation,rank_1,rank_2,swapAccepted
1000,1,4,0
2000,2,3,0
3000,1,2,1
4000,2,4,1
5000,3,4,1
6000,2,4,1
7000,1,2,1
8000,1,2,1
9000,3,4,1
10000,1,2,1
11000,3,4,1
12000,3,4,1
13000,1,3,1
14000,1,4,0
15000,2,3,1
16000,1,3,1
17000,2,4,1
18000,2,3,1
19000,1,3,1
20000,2,3,1
21000,3,4,1
22000,1,2,1
23000,1,3,1
24000,1,2,1
25000,2,3,1
26000,2,3,1
27000,1,2,1
28000,1,3,1
29000,3,4,1
30000,3,4,1
31000,1,3,1
32000,2,3,1
33000,1,2,1
34000,1,2,1
35000,2,4,0
36000,2,4,0
37000,3,4,1
38000,3,4,1
39000,3,4,1
40000,1,2,1
41000,3,4,1
42000,1,3,0
43000,1,4,0
44000,2,4,0
45000,1,4,0
46000,3,4,0
47000,1,2,0
48000,1,4,0
49000,3,4,1
50000,2,3,1
51000,1,2,1
52000,1,3,1
53000,1,4,1
54000,2,4,1
55000,1,2,1
56000,1,2,1
57000,3,4,1
58000,2,3,1
59000,2,4,0
60000,1,2,1
61000,1,2,1
62000,3,4,1
63000,2,4,0
64000,1,3,0
65000,1,3,1
66000,1,3,1
67000,2,3,1
68000,1,2,0
69000,2,3,1
70000,2,3,0
71000,2,3,0
72000,1,4,0
73000,2,4,1
74000,1,3,0
75000,2,4,1
76000,2,4,1
77000,1,4,1
78000,3,4,1
79000,1,3,0
80000,3,4,1
81000,1,3,1
82000,1,4,1
83000,3,4,1
84000,3,4,1
85000,2,4,0
86000,2,3,1
87000,1,4,0
88000,2,4,0
89000,1,2,1
90000,2,3,0
91000,1,3,1
92000,1,3,1
93000,1,3,0
94000,1,4,1
95000,1,2,1
96000,1,4,1
97000,2,4,1
98000,1,4,0
99000,1,3,1
100000,1,4,1
101000,3,4,1
102000,1,3,1
103000,1,3,1
104000,1,2,1
105000,2,4,1
106000,2,3,0
107000,1,3,1
108000,3,4,1
109000,3,4,1
110000,1,2,1
111000,1,2,1
