generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,otu_1003_Polyangiaceae,otu_1360_Anaeromyxobacteraceae,0,0.032,0,0.005,0
20000,otu_1003_Polyangiaceae,otu_1360_Anaeromyxobacteraceae,0,25.7369,-1.70568,0.0274785,0
20000,otu_123_SG8-38,otu_769_SG8-38,0.618408,23.2141,-1.38092,8.64879,0
40000,otu_1003_Polyangiaceae,otu_1360_Anaeromyxobacteraceae,0,20.5717,-1.52164,0.0461632,0
40000,otu_3626_SG8-38,otu_644_SG8-38,0.768302,17.2442,0.7188,5.97846,0
40000,otu_1268_PHBI01,NA,0.982191,3.86589,-0.0660065,83.5218,0
40000,otu_3744_SG8-38,otu_420_PHBI01,0.753903,13.5871,-1.0049,0.26311,0
40000,otu_256_Anaeromyxobacteraceae,NA,0.990537,13.7367,0.383205,12.4928,0
40000,otu_618_Haliangiaceae,otu_893_SG8-38,0.885173,17.3287,-1.48001,27.2113,0
40000,otu_1360_Anaeromyxobacteraceae,otu_361_Anaeromyxobacteraceae,0.471382,27.4787,-2.13067,0.308322,0
40000,otu_9290_Polyangiaceae,NA,0.990149,6.42723,1.76263,22.5891,0
40000,otu_800_Myxococcaceae,otu_828_Myxococcaceae,0.712509,21.3978,-0.952971,3.22009,0
40000,otu_2254_Myxococcaceae,otu_6426_40CM-4-68-19,0.871424,50.7657,0.601418,25.0096,0
60000,otu_1003_Polyangiaceae,otu_1360_Anaeromyxobacteraceae,0,25.7633,-1.7896,0.230923,0
60000,otu_3626_SG8-38,otu_644_SG8-38,0.884921,11.8237,0.713471,0.782475,0
60000,otu_1362_Polyangiaceae,NA,0.966405,35.5351,-0.188503,114.57,0
60000,otu_3744_SG8-38,otu_420_PHBI01,0.718854,13.8995,-0.797881,0.0920371,0
60000,otu_10174_Polyangiaceae,otu_1179_Polyangiaceae,0.812563,11.2134,0.881186,0.0412692,0
60000,otu_6762_Polyangiaceae,NA,0.996155,0.137581,-1.37548,25.6274,0
60000,otu_195_Polyangiaceae,NA,0.96668,22.3791,1.13768,51.3648,0
60000,otu_8833_Polyangiaceae,NA,0.709669,5.06305,-0.844889,4.86252,0
60000,otu_4012_Haliangiaceae,NA,0.763021,6.59475,-1.43668,18.193,0
60000,otu_3370,NA,0.974043,13.1453,-0.813245,1.81475,0
60000,otu_1360_Anaeromyxobacteraceae,otu_123_SG8-38,0.316299,14.802,-0.828523,0.427581,0
60000,otu_3236_SMWR01,NA,0.948855,35.3456,-0.762794,44.2362,0
60000,otu_800_Myxococcaceae,otu_828_Myxococcaceae,0.741786,30.0525,-1.96928,0.711656,0
60000,otu_2359_Myxococcaceae,otu_1332_40CM-4-68-19,0.779421,22.9393,0.375324,17.8751,0
80000,otu_1003_Polyangiaceae,otu_1360_Anaeromyxobacteraceae,0,27.8404,-1.90304,0.0193429,0
80000,otu_3626_SG8-38,otu_644_SG8-38,0.846971,22.8519,0.677565,5.24789,0
80000,otu_1814_Polyangiaceae,NA,0.776874,1.0088,1.48602,8.71334,0
80000,otu_8632_40CM-4-68-19,NA,0.969994,0.716183,1.92854,9.45576,0
80000,otu_3744_SG8-38,otu_1191_Polyangiaceae,0.629818,11.1821,-0.741917,1.29176,0
80000,otu_3076_Sandaracinaceae,NA,0.858579,3.28087,-0.0149081,19.2868,0
80000,otu_8773_Polyangiaceae,NA,0.932509,4.85179,0.905867,29.4301,0
80000,otu_4051_Polyangiaceae,NA,0.784306,7.36077,0.797811,21.8855,0
80000,otu_664_Haliangiaceae,otu_698_Haliangiaceae,0.853895,30.4479,1.21611,7.25074,0
80000,otu_1259_Anaeromyxobacteraceae,NA,0.958894,38.5096,-0.754071,30.5081,0
80000,otu_1360_Anaeromyxobacteraceae,otu_123_SG8-38,0.312933,22.4833,-1.31379,0.223416,0
80000,otu_800_Myxococcaceae,otu_6507_Myxococcaceae,0.83941,24.6655,-2.37571,5.63806,0
80000,otu_2359_Myxococcaceae,otu_1332_40CM-4-68-19,0.721162,12.2927,1.0366,3.79211,0
80000,otu_3230_Myxococcaceae,otu_569_Myxococcaceae,0.920936,34.5655,1.21117,60.9154,0
80000,otu_1729_UBA9160,NA,0.975058,14.7573,-0.473609,32.903,0
80000,otu_1894_Anaeromyxobacteraceae,NA,0.926211,3.28038,-0.482488,37.7063,0
100000,otu_1003_Polyangiaceae,otu_1360_Anaeromyxobacteraceae,0,17.2642,-1.41451,0.0556661,0
100000,otu_3626_SG8-38,otu_644_SG8-38,0.864344,12.4531,0.253983,5.45754,0
100000,otu_4274_Polyangiaceae,otu_4018_Polyangiaceae,0.968733,39.1372,-1.10552,8.15481,0
100000,otu_9965_Polyangiaceae,otu_2993_Polyangiaceae,0.883753,14.5169,1.90094,1.67371,0
100000,otu_3744_SG8-38,otu_420_PHBI01,0.745616,16.1798,-1.53952,0.864436,0
100000,otu_5448_Haliangiaceae,otu_2821_Haliangiaceae,0.756635,9.57849,-0.198829,1.04883,0
100000,otu_1360_Anaeromyxobacteraceae,otu_3793_Anaeromyxobacteraceae,0.835295,25.2215,-3.11032,0.0754286,0
100000,otu_487_Anaeromyxobacteraceae,NA,0.996669,1.39535,-0.521873,44.4347,0
100000,otu_1801_Anaeromyxobacteraceae,otu_2085_Anaeromyxobacteraceae,0.686479,9.03786,1.80744,1.24392,0
100000,otu_123_SG8-38,otu_412_SG8-38,0.668933,14.3,-1.32232,1.31925,0
100000,otu_7628_UBA9160,NA,0.95022,16.8699,-1.50986,18.3228,0
100000,otu_4105_SMWR01,otu_1339_Myxococcaceae,0.686527,15.9398,0.305863,0.407799,0
100000,otu_120_Myxococcaceae,otu_4269_Myxococcaceae,0.594458,10.3003,0.207013,1.35499,0
100000,otu_800_Myxococcaceae,otu_828_Myxococcaceae,0.733607,12.2695,1.25955,2.35865,0
100000,otu_1284_Myxococcaceae,otu_5694_Myxococcaceae,0.845132,11.9568,-0.370848,3.16101,0
120000,otu_1003_Polyangiaceae,otu_1360_Anaeromyxobacteraceae,0,28.1668,-1.97855,0.00305052,0
120000,otu_3626_SG8-38,otu_1238_SG8-38,0.913185,21.9402,0.500507,1.28321,0
120000,otu_3744_SG8-38,otu_1191_Polyangiaceae,0.675016,16.0562,-1.5505,1.4656,0
120000,otu_400_Sandaracinaceae,NA,0.987937,3.85753,-1.96531,64.9099,0
120000,otu_170_Haliangiaceae,NA,0.908011,1.57635,-0.632382,2.2496,0
120000,otu_5448_Haliangiaceae,otu_9722_Haliangiaceae,0.608116,18.9498,-4.04404,0.389649,0
120000,otu_3_SG8-38,otu_268_SG8-38,0.858296,34.6623,-1.421,5.1302,0
120000,otu_1360_Anaeromyxobacteraceae,otu_123_SG8-38,0.321171,17.1914,-0.862834,1.26806,0
120000,otu_4105_SMWR01,otu_1339_Myxococcaceae,0.70478,23.4865,-1.74197,12.6124,0
120000,otu_2124_Anaeromyxobacteraceae,NA,0.992779,46.0795,1.64471,41.1566,0
120000,otu_800_Myxococcaceae,otu_828_Myxococcaceae,0.770889,17.4736,-1.43076,1.64878,0
140000,otu_1003_Polyangiaceae,otu_1360_Anaeromyxobacteraceae,0,24.5315,-1.91921,0.0152006,0
140000,otu_3626_SG8-38,otu_644_SG8-38,0.892699,24.5113,-0.421042,7.53302,0
140000,otu_10388_Polyangiaceae,NA,0.954702,3.71191,-1.90187,5.79151,0
140000,otu_939_Haliangiaceae,NA,0.997692,59.7525,-2.07791,43.4157,0
140000,otu_5448_Haliangiaceae,otu_1212_Haliangiaceae,0.521346,28.6461,-3.99613,1.09499,0
140000,otu_6246_Haliangiaceae,NA,0.955569,7.97762,-0.8296,11.6586,0
140000,otu_9965_Polyangiaceae,otu_8071_Polyangiaceae,0.785619,27.0755,-0.894451,11.1653,0
140000,otu_3744_SG8-38,otu_420_PHBI01,0.727747,21.5735,-2.27227,3.46006,0
140000,otu_5196_Haliangiaceae,NA,0.982886,15.2432,1.94607,20.7557,0
140000,otu_1360_Anaeromyxobacteraceae,otu_361_Anaeromyxobacteraceae,0.465095,26.6512,-2.5263,0.612103,0
140000,otu_5192_Polyangiaceae,NA,0.667674,2.30822,0.574566,2.56328,0
140000,otu_1360_Anaeromyxobacteraceae,otu_1325_Anaeromyxobacteraceae,0.808404,11.938,0.451237,0.043639,0
140000,otu_1053_J016,NA,0.944999,19.1444,-3.08365,37.4646,0
140000,otu_123_SG8-38,otu_227_SG8-38,0.751601,15.4504,-0.466033,1.00634,0
140000,otu_3_SG8-38,otu_268_SG8-38,0.835323,39.324,0.542566,7.16774,0
140000,otu_123_SG8-38,otu_769_SG8-38,0.628416,18.03,-1.61149,3.25046,0
140000,otu_5410_SG8-38,NA,0.907051,3.56267,-2.26133,14.7837,0
140000,otu_4105_SMWR01,otu_1339_Myxococcaceae,0.776298,17.5478,-1.67346,5.30746,0
140000,otu_6372_SMWR01,NA,0.987187,72.3678,0.674116,52.3943,0
140000,otu_2297_Myxococcaceae,NA,0.989437,7.43524,0.340056,11.0376,0
140000,otu_800_Myxococcaceae,otu_8679_Myxococcaceae,0.822615,17.7993,-0.216987,1.30979,0
160000,otu_1003_Polyangiaceae,otu_1360_Anaeromyxobacteraceae,0,26.9759,-1.88837,0.0325787,0
160000,otu_3626_SG8-38,otu_644_SG8-38,0.862282,25.7978,-0.0109737,7.40627,0
160000,otu_9965_Polyangiaceae,otu_8071_Polyangiaceae,0.783408,20.008,-1.18037,3.25901,0
160000,otu_2857_Polyangiaceae,NA,0.895878,11.8019,-1.32008,58.5697,0
160000,otu_1360_Anaeromyxobacteraceae,otu_1325_Anaeromyxobacteraceae,0.827873,25.3973,-3.54439,0.698538,0
160000,otu_1360_Anaeromyxobacteraceae,otu_361_Anaeromyxobacteraceae,0.425721,18.6825,-1.65294,0.164834,0
160000,otu_123_SG8-38,otu_412_SG8-38,0.656772,21.5127,-1.68289,7.09156,0
160000,otu_800_Myxococcaceae,otu_828_Myxococcaceae,0.755521,24.5522,-0.143607,7.32488,0
180000,otu_1003_Polyangiaceae,otu_1360_Anaeromyxobacteraceae,0,31.539,-2.1056,0.180798,0
180000,otu_3626_SG8-38,otu_644_SG8-38,0.769893,8.94666,1.13201,1.94379,0
180000,otu_688_Polyangiaceae,otu_952_Polyangiaceae,0.669876,14.944,-1.83892,0.823016,0
180000,otu_3744_SG8-38,otu_420_PHBI01,0.749038,12.1213,-1.4011,0.0447097,0
180000,otu_2130_Polyangiaceae,NA,0.966316,19.4435,1.09907,64.4945,0
180000,otu_6238_Haliangiaceae,NA,0.970658,17.6374,1.20986,21.0715,0
180000,otu_1360_Anaeromyxobacteraceae,otu_3274_Anaeromyxobacteraceae,0.853653,22.975,-1.99464,0.104661,0
180000,otu_1360_Anaeromyxobacteraceae,otu_34_Anaeromyxobacteraceae,0.610064,27.008,-4.19055,0.119275,0
180000,otu_123_SG8-38,otu_769_SG8-38,0.648607,18.9908,-1.75325,4.84162,0
180000,otu_4105_SMWR01,otu_1339_Myxococcaceae,0.764638,15.9747,1.41221,3.6474,0
180000,otu_120_Myxococcaceae,otu_4269_Myxococcaceae,0.594095,19.1383,-1.35888,9.44141,0
180000,otu_800_Myxococcaceae,otu_828_Myxococcaceae,0.625965,15.4091,-0.422187,0.705216,0
180000,otu_3230_Myxococcaceae,otu_569_Myxococcaceae,0.824993,7.48726,-1.04539,33.0795,0
200000,otu_1003_Polyangiaceae,otu_1360_Anaeromyxobacteraceae,0,29.2375,-2.11184,0.111197,0
200000,otu_1000_Polyangiaceae,NA,0.980851,22.5934,-0.519709,30.04,0
200000,otu_3626_SG8-38,otu_1486_Polyangiaceae,0.74545,19.038,-0.518345,4.59284,0
200000,otu_853_PHBI01,NA,0.974575,49.2371,0.495993,9.19666,0
200000,otu_3744_SG8-38,otu_420_PHBI01,0.698652,24.2552,-3.47461,1.11394,0
200000,otu_2099_Haliangiaceae,NA,0.98315,51.351,0.764488,121.982,0
200000,otu_6680_Haliangiaceae,NA,0.988933,71.9673,0.220589,227.479,0
200000,otu_6383_Haliangiaceae,NA,0.759855,0.34443,0.375091,9.09892,0
200000,otu_5448_Haliangiaceae,otu_1494_Haliangiaceae,0.530977,26.6555,-4.0377,0.378014,0
200000,otu_1360_Anaeromyxobacteraceae,otu_3274_Anaeromyxobacteraceae,0.850056,16.8816,0.204501,0.935932,0
200000,otu_135_Anaeromyxobacteraceae,NA,0.963074,37.7968,0.680994,61.8566,0
200000,otu_123_SG8-38,otu_4_SG8-38,0.762778,18.2996,-0.664678,4.22233,0
200000,otu_1360_Anaeromyxobacteraceae,otu_123_SG8-38,0.316779,24.5939,-1.92724,0.644377,0
200000,otu_746_SMWR01,NA,0.995082,32.2604,1.2818,11.6792,0
200000,otu_4105_SMWR01,otu_1339_Myxococcaceae,0.752502,13.803,0.160623,0.593484,0
200000,otu_684_Myxococcaceae,NA,0.990309,4.81631,1.53394,30.876,0
200000,otu_800_Myxococcaceae,otu_8679_Myxococcaceae,0.81661,21.7891,-0.386531,7.11545,0
220000,otu_1003_Polyangiaceae,otu_1360_Anaeromyxobacteraceae,0,33.68,-2.20944,0.205964,0
220000,otu_1003_Polyangiaceae,otu_4084_Polyangiaceae,0.863323,16.4165,0.523766,3.24788,0
220000,otu_5859_Polyangiaceae,otu_7_Polyangiaceae,0.842726,27.3307,0.665259,7.09784,0
220000,otu_3744_SG8-38,otu_420_PHBI01,0.706961,16.6653,-2.28568,0.331357,0
220000,otu_3625_Polyangiaceae,otu_2433_Polyangiaceae,0.939402,23.0219,-3.08373,20.3095,0
220000,otu_1825_Polyangiaceae,NA,0.997331,1.69162,-0.252488,9.17687,0
220000,otu_3626_SG8-38,otu_644_SG8-38,0.769336,35.6021,-2.80271,7.88251,0
220000,otu_5448_Haliangiaceae,otu_2661_J016,0.531551,29.9426,-3.99126,0.675078,0
220000,otu_1360_Anaeromyxobacteraceae,otu_1325_Anaeromyxobacteraceae,0.767374,26.6224,-2.44918,0.261377,0
220000,otu_1360_Anaeromyxobacteraceae,otu_361_Anaeromyxobacteraceae,0.411588,25.336,-2.04248,0.0935833,0
220000,otu_123_SG8-38,otu_769_SG8-38,0.648386,13.8096,-0.820907,1.75018,0
220000,otu_952_Polyangiaceae,otu_8058_Polyangiaceae,0.859489,4.54658,1.88004,1.25469,0
220000,otu_4105_SMWR01,otu_1339_Myxococcaceae,0.735012,24.4174,0.669082,21.633,0
220000,otu_800_Myxococcaceae,otu_8679_Myxococcaceae,0.812126,19.9817,-1.66871,1.72361,0
240000,otu_1003_Polyangiaceae,otu_1360_Anaeromyxobacteraceae,0,37.8923,-2.39996,0.451295,0
240000,otu_5859_Polyangiaceae,otu_4106_Polyangiaceae,0.776224,12.8245,-0.673143,10.1862,0
240000,otu_3626_SG8-38,otu_644_SG8-38,0.853718,28.3658,1.37979,9.59213,0
240000,otu_9965_Polyangiaceae,otu_2993_Polyangiaceae,0.826684,13.3859,0.131488,0.173915,0
240000,otu_1362_Polyangiaceae,NA,0.947206,12.3667,-0.742997,48.9329,0
240000,otu_2061_Sandaracinaceae,otu_5604_Sandaracinaceae,0.675729,10.4231,-0.557324,0.344415,0
240000,otu_4732_Sandaracinaceae,NA,0.928115,2.84431,-0.0403687,23.4676,0
240000,otu_3631_Ga0077539,otu_7635_Haliangiaceae,0.645495,18.8149,-2.06513,0.981713,0
240000,otu_5675_J016,NA,0.957052,1.75265,-0.185535,20.0869,0
240000,otu_5448_Haliangiaceae,otu_2661_J016,0.532259,22.3792,-4.27812,0.525708,0
240000,otu_1360_Anaeromyxobacteraceae,otu_1325_Anaeromyxobacteraceae,0.826763,20.9102,-2.52453,2.34118,0
240000,otu_1360_Anaeromyxobacteraceae,otu_361_Anaeromyxobacteraceae,0.500059,26.4532,-2.65784,0.9967,0
