generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-16.3554,-9030.36,500,0
20000,1,-27.9169,2221.03,0.186202,0.532
40000,9,-113.726,2290.1,12.2938,0.614857
60000,13,-155.377,2313.65,5.99976,0.6208
80000,15,-176.588,2320.07,16.4826,0.608
100000,14,-162.872,2359.33,14.5279,0.587333
120000,10,-131.076,2365.28,7.61293,0.522
140000,20,-242.881,2397.31,26.0767,0.5885
160000,7,-95.9473,2341.07,8.50138,0.5884
180000,12,-151.819,2382.37,13.3646,0.585
200000,16,-205.414,2399.08,11.0587,0.573
220000,13,-167.95,2403.65,14.6892,0.58
240000,16,-196.378,2407.73,8.16812,0.557
260000,16,-199.994,2407.89,16.0737,0.565
280000,15,-186.245,2423.53,20.1129,0.571
300000,14,-174.448,2422.57,14.5357,0.539
320000,19,-235.091,2460.25,25.7189,0.555
340000,34,-391.894,2458.35,35.8137,0.597
360000,23,-292.874,2441.79,24.1674,0.5675
380000,27,-343.961,2505.1,12.9803,0.579
400000,25,-302.366,2484.25,30.7431,0.568667
420000,21,-251.76,2455.19,22.0013,0.583
440000,30,-362.097,2503.9,26.6056,0.581
460000,27,-325.568,2511.02,24.2143,0.57475
480000,28,-332.685,2484.27,30.7388,0.565
500000,32,-377.379,2502.2,28.4523,0.583
520000,21,-258.554,2480.07,25.6969,0.524
540000,25,-291.628,2481.54,20.4758,0.563
560000,25,-316.332,2497.34,29.3194,0.551
580000,27,-328.805,2477.61,27.8627,0.58625
600000,31,-372.864,2476.01,40.888,0.587
620000,28,-340.577,2514.15,29.3666,0.594571
640000,28,-340.296,2513.14,28.0655,0.532
660000,26,-312.757,2490.28,21.8584,0.579
680000,24,-291.697,2489.18,30.1217,0.569
700000,30,-361.659,2540.38,27.1386,0.5818
720000,30,-351.249,2483.91,26.8343,0.609
740000,28,-326.698,2488.59,30.4812,0.598
760000,24,-285.852,2506.71,20.7674,0.58
780000,32,-387.814,2518.4,39.3141,0.553
800000,27,-333.033,2525.02,28.1129,0.567
820000,24,-312.478,2528.44,21.9337,0.557813
840000,35,-409.178,2510.85,31.4007,0.574
860000,28,-324.856,2503.66,24.1111,0.612
880000,28,-329.583,2522.01,22.1074,0.568
900000,34,-412.475,2539.43,27.8883,0.594
920000,32,-370.361,2490.85,32.9366,0.605
940000,26,-311.154,2497.6,30.3693,0.555
960000,35,-420.952,2513.86,29.0278,0.611933
980000,27,-334.237,2511.92,31.4715,0.565
1000000,40,-468.105,2513.61,39.6241,0.583235
1020000,32,-390.339,2547.6,32.0985,0.576
1040000,32,-382.717,2526.11,35.1706,0.584
1060000,30,-353.883,2502.95,28.5899,0.596
1080000,29,-330.654,2488.4,30.8646,0.61
1100000,28,-342.047,2504.62,26.2105,0.574
1120000,27,-320.163,2495.19,24.6225,0.58
1140000,33,-391.945,2547.13,26.3243,0.583444
1160000,23,-279.122,2518.73,19.8684,0.567
1180000,27,-326.743,2526.84,17.5238,0.543
1200000,26,-317.415,2536,28.1291,0.585
1220000,29,-343.928,2521.02,32.621,0.554
1240000,24,-282.936,2488.56,34.9648,0.56
1260000,28,-343.28,2491.8,19.8999,0.566
1280000,34,-399.043,2538.85,30.6521,0.616
1300000,24,-307.574,2492,24.7935,0.562
1320000,23,-291.817,2490.04,21.8678,0.549
1340000,33,-394.576,2526.91,34.0657,0.575
1360000,35,-417.653,2535.8,51.6703,0.591
1380000,28,-328.707,2489.71,29.0403,0.594
1400000,26,-308.861,2515.11,31.1819,0.579
1420000,37,-428.138,2527.47,42.0191,0.579
1440000,30,-360.975,2501.43,28.4151,0.56
1460000,28,-331.774,2475.66,32.5685,0.5705
1480000,28,-342.189,2526.06,31.2388,0.57
1500000,37,-431.221,2546.41,40.626,0.618
1520000,29,-344.176,2503.87,34.859,0.525
1540000,38,-424.982,2470.66,28.6749,0.590333
1560000,23,-269.786,2455.4,19.9424,0.566
1580000,20,-249.559,2492.52,20.7082,0.549
1600000,23,-286.158,2491.54,20.7639,0.55
1620000,32,-377.53,2520.37,33.5349,0.555
1640000,29,-347.263,2514.53,32.7786,0.564
1660000,22,-259.571,2498.12,16.2142,0.585
1680000,22,-268.092,2517.67,18.7095,0.552667
1700000,26,-314.606,2495.2,21.9116,0.573
1720000,25,-302.569,2495.35,34.3448,0.575
1740000,37,-435.559,2492.16,31.3093,0.588
1760000,24,-286.38,2484.3,22.9372,0.56
1780000,40,-470.981,2500.58,36.1609,0.578714
1800000,30,-358.289,2490.05,23.5769,0.604
1820000,23,-267.114,2500.31,18.2046,0.566
1840000,24,-296.554,2497.82,30.7957,0.554
1860000,25,-301.732,2491.88,32.8755,0.583
1880000,25,-297.125,2487.94,36.4136,0.577
1900000,18,-223.481,2478.75,20.5923,0.538
1920000,21,-262.411,2478.74,17.1095,0.555
1940000,27,-318.162,2505.42,21.6386,0.578167
1960000,38,-446.067,2531.33,58.3953,0.626
1980000,31,-389.434,2521.52,24.079,0.572
2000000,32,-382.69,2530.93,30.2831,0.612
2020000,31,-376.511,2515.76,29.1907,0.586444
2040000,31,-384.164,2536.11,34.6781,0.545
2060000,32,-402.628,2522.11,38.8917,0.5886
2080000,28,-329.752,2500.16,28.034,0.592333
2100000,25,-308.914,2519.61,23.1115,0.585
2120000,24,-297.551,2515.28,29.9059,0.54
2140000,28,-339.184,2490.86,28.6797,0.5765
2160000,39,-460.749,2530.52,44.0483,0.590091
2180000,24,-297.781,2494.28,21.7206,0.553
2200000,26,-314.227,2524.73,18.162,0.576
2220000,31,-359.594,2515.57,28.34,0.583
2240000,28,-332.78,2495.09,36.2617,0.541
2260000,27,-323.592,2494.01,25.8932,0.595
2280000,33,-376.755,2501.73,22.4788,0.608
2300000,26,-307.854,2502.59,18.3792,0.568
2320000,23,-278.251,2501.36,25.1616,0.570273
2340000,29,-369.182,2519.55,25.6498,0.583
2360000,38,-433.077,2507.13,37.4478,0.586706
2380000,24,-306.892,2503.74,23.7861,0.59975
2400000,40,-467.811,2520.41,46.6429,0.586
2420000,32,-375.579,2520.38,36.1287,0.570333
2440000,29,-339.478,2508.26,32.7065,0.592333
2460000,28,-327.977,2502.08,14.8955,0.603
2480000,33,-393.516,2530.09,26.801,0.581
2500000,32,-379.592,2504.38,32.8777,0.600333
2520000,26,-295.377,2481.18,31.4951,0.543
