generation,rank_1,rank_2,swapAccepted
1000,2,3,1
2000,2,4,1
3000,2,3,1
4000,1,3,0
5000,1,2,1
6000,1,4,1
7000,1,2,1
8000,2,4,0
9000,1,3,1
10000,2,3,1
11000,3,4,1
12000,1,2,1
13000,3,4,1
14000,1,3,1
15000,1,4,1
16000,1,4,1
17000,3,4,1
18000,2,3,1
19000,1,2,1
20000,1,2,1
21000,2,3,1
22000,1,2,1
23000,1,2,1
24000,1,2,1
25000,1,3,1
26000,1,2,1
27000,1,2,1
28000,1,4,1
29000,1,3,1
30000,2,3,1
31000,1,2,1
32000,2,4,1
33000,1,3,1
34000,1,3,1
35000,2,4,1
36000,3,4,1
37000,1,3,0
38000,2,3,0
39000,1,2,1
40000,1,3,0
41000,3,4,1
42000,1,2,1
43000,1,2,1
44000,1,3,1
45000,3,4,0
46000,1,4,1
47000,1,2,1
48000,1,3,1
49000,1,3,1
50000,1,2,0
51000,1,3,1
52000,1,4,0
53000,1,3,1
54000,1,2,1
55000,1,4,1
56000,1,4,0
57000,1,3,1
58000,1,4,1
59000,1,2,1
60000,1,2,0
61000,1,2,1
62000,2,3,0
63000,1,3,1
64000,2,3,1
65000,1,2,1
66000,2,3,1
67000,1,3,1
68000,2,3,1
69000,2,4,1
70000,3,4,1
71000,1,4,1
72000,2,4,0
73000,1,3,1
74000,2,4,0
75000,3,4,1
76000,2,4,1
77000,1,2,1
78000,2,4,1
79000,1,4,1
80000,2,3,1
81000,3,4,1
82000,1,2,1
83000,1,4,1
84000,1,4,0
85000,2,3,1
86000,2,3,1
87000,1,4,0
88000,1,2,0
89000,3,4,0
90000,1,2,1
91000,1,2,1
92000,2,4,1
93000,3,4,1
94000,2,3,1
95000,3,4,1
96000,2,4,0
97000,1,4,0
98000,3,4,0
99000,1,2,0
100000,1,3,0
101000,1,3,1
102000,1,3,1
103000,1,4,1
104000,2,3,1
105000,3,4,1
106000,1,4,1
107000,3,4,0
108000,2,3,1
109000,3,4,1
110000,1,4,1
111000,2,3,0
112000,1,4,0
113000,2,3,1
114000,1,2,1
115000,1,3,1
116000,3,4,1
117000,1,3,0
118000,1,2,1
