generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,otu_293_SG8-38,otu_11931_UBA4427,0,0.032,0,0.005,0
20000,otu_293_SG8-38,otu_11931_UBA4427,0,73.9863,-3.22895,0.0509483,0
40000,otu_293_SG8-38,otu_11931_UBA4427,0,82.1255,-3.3719,0.00777784,0
60000,otu_293_SG8-38,otu_11931_UBA4427,0,72.7253,-3.13298,0.0219406,0
80000,otu_293_SG8-38,otu_11931_UBA4427,0,91.963,-3.48559,0.0424817,0
80000,otu_4907_Sandaracinaceae,NA,0.434373,0.803021,-0.947032,4.11291,0
100000,otu_293_SG8-38,otu_11931_UBA4427,0,88.1688,-3.47083,0.0814337,0
120000,otu_293_SG8-38,otu_11931_UBA4427,0,67.9534,-3.17338,0.00254415,0
120000,otu_9551,NA,0.916816,17.885,-0.158133,13.5322,0
140000,otu_293_SG8-38,otu_11931_UBA4427,0,62.9335,-2.97961,0.00379423,0
160000,otu_293_SG8-38,otu_11931_UBA4427,0,76.9245,-3.29793,0.050912,0
180000,otu_293_SG8-38,otu_11931_UBA4427,0,54.5656,-2.84047,0.0184174,0
180000,otu_5156_Polyangiaceae,otu_78_Polyangiaceae,0.820276,7.16347,0.756179,11.2937,0
200000,otu_293_SG8-38,otu_11931_UBA4427,0,60.3674,-2.95281,0.0781831,0
220000,otu_293_SG8-38,otu_11931_UBA4427,0,58.127,-2.86324,0.0585926,0
220000,otu_1970_Haliangiaceae,otu_1313_Haliangiaceae,0.903379,46.8995,-0.0959344,60.9346,0
240000,otu_293_SG8-38,otu_11931_UBA4427,0,53.9583,-2.89212,0.055028,0
260000,otu_293_SG8-38,otu_11931_UBA4427,0,67.746,-3.14805,0.0628965,0
260000,otu_4907_Sandaracinaceae,NA,0.556152,11.0329,-0.978959,14.7271,0
280000,otu_293_SG8-38,otu_11931_UBA4427,0,68.9719,-3.01378,0.236466,0
300000,otu_293_SG8-38,otu_11931_UBA4427,0,76.0144,-3.17259,0.054096,0
320000,otu_293_SG8-38,otu_11931_UBA4427,0,74.6958,-3.2526,0.0643838,0
340000,otu_293_SG8-38,otu_11931_UBA4427,0,79.4416,-3.33237,0.047124,0
360000,otu_293_SG8-38,otu_11931_UBA4427,0,72.7631,-3.16258,0.0671726,0
380000,otu_293_SG8-38,otu_11931_UBA4427,0,79.1418,-3.27761,0.0181073,0
380000,otu_5920_Myxococcaceae,NA,0.997405,69.4372,-0.881006,56.4098,0
400000,otu_293_SG8-38,otu_11931_UBA4427,0,89.2653,-3.49986,0.155025,0
400000,otu_2593_Polyangiaceae,NA,0.86444,6.70584,-0.102922,36.4697,0
420000,otu_293_SG8-38,otu_11931_UBA4427,0,86.1279,-3.46285,0.0697936,0
440000,otu_293_SG8-38,otu_11931_UBA4427,0,55.9941,-2.85072,0.00461242,0
460000,otu_293_SG8-38,otu_11931_UBA4427,0,68.8129,-3.09695,0.0664731,0
480000,otu_293_SG8-38,otu_11931_UBA4427,0,70.6153,-3.12776,0.0175235,0
500000,otu_293_SG8-38,otu_11931_UBA4427,0,72.6038,-3.16778,0.0253924,0
520000,otu_293_SG8-38,otu_11931_UBA4427,0,73.5886,-3.16866,0.0381882,0
540000,otu_293_SG8-38,otu_11931_UBA4427,0,59.3644,-2.93346,0.00410748,0
560000,otu_293_SG8-38,otu_11931_UBA4427,0,83.3238,-3.34808,0.017128,0
580000,otu_293_SG8-38,otu_11931_UBA4427,0,69.8862,-3.09751,0.189684,0
580000,otu_1569_J016,NA,0.778621,11.7335,-0.487439,23.6764,0
580000,otu_1458_Sandaracinaceae,NA,0.971742,25.4319,0.419614,61.9408,0
600000,otu_293_SG8-38,otu_11931_UBA4427,0,67.7501,-3.14039,0.0100587,0
620000,otu_293_SG8-38,otu_11931_UBA4427,0,68.9457,-3.14932,0.0777745,0
640000,otu_293_SG8-38,otu_11931_UBA4427,0,64.0687,-2.98713,0.0519494,0
660000,otu_293_SG8-38,otu_11931_UBA4427,0,71.9342,-3.18057,0.0346653,0
660000,otu_2815_Polyangiaceae,NA,0.906906,21.1145,-0.704888,27.6737,0
680000,otu_293_SG8-38,otu_11931_UBA4427,0,57.945,-2.89083,0.00829143,0
680000,otu_10589,NA,0.976908,4.22343,-1.04927,58.4107,0
700000,otu_293_SG8-38,otu_11931_UBA4427,0,74.6826,-3.18661,0.208466,0
700000,otu_5197_Polyangiaceae,NA,0.843088,6.57876,1.18194,29.27,0
720000,otu_293_SG8-38,otu_11931_UBA4427,0,78.5182,-3.20918,0.0978221,0
740000,otu_293_SG8-38,otu_11931_UBA4427,0,75.6252,-3.24664,0.0197813,0
760000,otu_293_SG8-38,otu_11931_UBA4427,0,57.4771,-2.95186,0.0498382,0
780000,otu_293_SG8-38,otu_11931_UBA4427,0,69.2143,-3.15218,0.0241497,0
800000,otu_293_SG8-38,otu_11931_UBA4427,0,79.2295,-3.27674,0.0202247,0
820000,otu_293_SG8-38,otu_11931_UBA4427,0,79.6652,-3.2658,0.145133,0
820000,otu_6388_Polyangiaceae,NA,0.578017,2.00126,0.877593,2.20123,0
820000,otu_1031_40CM-4-68-19,NA,0.889508,24.6624,0.152359,6.9603,0
840000,otu_293_SG8-38,otu_11931_UBA4427,0,62.4159,-3.07182,0.00219386,0
860000,otu_293_SG8-38,otu_11931_UBA4427,0,78.3705,-3.28309,0.0676313,0
880000,otu_293_SG8-38,otu_11931_UBA4427,0,64.7068,-3.08701,0.00552509,0
900000,otu_293_SG8-38,otu_11931_UBA4427,0,75.5138,-3.26219,0.00730324,0
920000,otu_293_SG8-38,otu_11931_UBA4427,0,62.3633,-2.99647,0.0141921,0
940000,otu_293_SG8-38,otu_11931_UBA4427,0,75.416,-3.2675,0.0109656,0
960000,otu_293_SG8-38,otu_11931_UBA4427,0,72.124,-3.17821,0.0461796,0
960000,otu_1328_Myxococcaceae,NA,0.94465,1.69929,-0.964811,28.2694,0
980000,otu_293_SG8-38,otu_11931_UBA4427,0,59.0837,-2.93702,0.00213828,0
1000000,otu_293_SG8-38,otu_11931_UBA4427,0,62.3587,-2.96716,0.0186262,0
1020000,otu_293_SG8-38,otu_11931_UBA4427,0,76.3836,-3.24708,0.103157,0
1040000,otu_293_SG8-38,otu_11931_UBA4427,0,76.2995,-3.21028,0.00865911,0
1060000,otu_293_SG8-38,otu_11931_UBA4427,0,62.0175,-3.02335,0.0177067,0
1080000,otu_293_SG8-38,otu_11931_UBA4427,0,75.1459,-3.27592,0.0357394,0
1100000,otu_293_SG8-38,otu_11931_UBA4427,0,69.8321,-3.09407,0.0146993,0
1100000,otu_2113_Polyangiaceae,NA,0.943801,18.5253,-3.88496,47.2325,0
1120000,otu_293_SG8-38,otu_11931_UBA4427,0,71.2432,-3.13063,0.0283048,0
1120000,otu_1042_Haliangiaceae,NA,0.743524,12.3821,-1.61721,12.1126,0
1140000,otu_293_SG8-38,otu_11931_UBA4427,0,81.6582,-3.4037,0.0283034,0
1160000,otu_293_SG8-38,otu_11931_UBA4427,0,68.3463,-3.1263,0.0276718,0
