generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-16.0745,-4223.39,500,0
20000,0,-21.3828,627.045,1.25349,0.502
40000,0,-21.9962,627.469,0.165944,0.466
60000,0,-21.115,625.806,3.15777,0.4246
80000,1,-31.9693,628.956,4.05329,0.598
100000,0,-22.4478,625.108,0.228593,0.404
120000,1,-30.9277,625.299,0.484121,0.375
140000,0,-20.4441,626.457,1.79394,0.371
160000,0,-21.6462,626.593,0.93631,0.4644
180000,1,-29.5397,623.107,3.15443,0.489
200000,0,-20.3038,625.186,1.59233,0.618
220000,1,-32.3532,619.942,0.822028,0.604
240000,0,-19.9632,621.345,1.31698,0.511
260000,1,-31.0355,628.007,1.61562,0.45
280000,0,-20.7194,619.913,0.321128,0.488
300000,0,-21.315,624.495,2.80738,0.412
320000,0,-21.4634,626.547,1.0324,0.43475
340000,0,-21.8169,626.765,2.90282,0.439545
360000,0,-21.1855,626.467,1.93839,0.443
380000,1,-34.8519,626.972,0.535641,0.488667
400000,1,-32.8113,626.323,1.46354,0.59
420000,0,-22.3669,624.663,3.12352,0.389
440000,0,-19.9348,625.31,0.165274,0.379
460000,0,-20.9016,626.377,0.834768,0.428333
480000,0,-21.0345,627.182,2.96799,0.4605
500000,0,-21.1902,627.278,1.31474,0.430333
520000,0,-21.2217,626.633,0.0284974,0.364
540000,0,-20.2264,626.349,1.67407,0.545
560000,0,-21.9745,627.21,0.166073,0.583667
580000,2,-42.7629,624.078,6.35598,0.493
600000,0,-20.9665,627.147,0.103802,0.394667
620000,0,-21.029,626.084,0.492083,0.351
640000,0,-20.4957,625.397,0.204865,0.437067
660000,1,-31.8106,627.177,1.47934,0.43
680000,1,-31.3692,625.368,1.39057,0.592
700000,1,-31.8446,625.683,2.09539,0.5144
720000,0,-21.4799,623.776,0.393676,0.387667
740000,0,-21.4753,627.711,0.124374,0.41775
760000,0,-20.2057,623.698,0.426743,0.37
780000,0,-21.0424,627.293,0.381951,0.387
800000,0,-21.6663,627.258,0.79768,0.402
820000,2,-40.8267,624.867,2.75349,0.454833
840000,0,-20.6382,625.195,1.95988,0.446
860000,0,-21.6587,626.798,2.12102,0.413
880000,0,-20.7488,626.784,2.81211,0.482
900000,0,-21.5163,627.814,3.4974,0.541
920000,0,-20.4635,626.783,1.50812,0.4135
940000,0,-21.5202,627.616,0.437581,0.483333
960000,1,-31.3712,628.617,1.29135,0.397
980000,0,-20.2219,626.373,0.00456951,0.470438
1000000,0,-20.3959,626.113,0.659974,0.389
1020000,0,-21.5044,626.207,0.63204,0.428
1040000,0,-21.4117,626.841,1.9509,0.4429
1060000,0,-20.5129,626.368,1.14759,0.463
1080000,0,-21.5332,626.707,0.440801,0.411143
1100000,1,-37.591,625.284,3.05297,0.3936
1120000,1,-31.6921,625.625,2.77019,0.477333
1140000,0,-22.0656,625.636,1.36447,0.458
1160000,0,-20.954,627.279,0.662855,0.386
1180000,0,-21.3943,627.826,0.470333,0.411857
1200000,0,-20.3962,623.778,0.128763,0.487
1220000,1,-29.8015,627.557,1.61327,0.442
1240000,0,-22.0417,626.364,0.798142,0.387
1260000,0,-20.5947,623.956,1.07765,0.385
1280000,0,-21.7321,627.433,0.956972,0.425667
1300000,0,-20.1852,625.519,1.3122,0.4145
1320000,0,-21.9007,626.492,0.0522739,0.427
1340000,1,-30.6312,626.435,0.718239,0.464833
1360000,0,-20.549,627.171,0.914998,0.382
1380000,0,-20.3971,624.281,1.7034,0.362
1400000,0,-20.9484,626.889,0.748717,0.38725
1420000,1,-31.4151,624.062,2.15647,0.434
1440000,0,-20.3896,624.264,1.05453,0.427529
1460000,0,-20.9547,621.839,0.636238,0.445273
1480000,0,-21.3467,625.703,2.22844,0.435125
1500000,2,-42.1107,631.678,0.901319,0.642
1520000,1,-33.0083,623,0.811815,0.565
1540000,0,-20.49,626.956,0.509447,0.416
1560000,0,-21.3568,627.628,8.57832,0.423
1580000,1,-29.612,621.964,1.60297,0.487
1600000,0,-20.1213,623.382,0.333207,0.491
1620000,1,-30.9569,626.503,1.51295,0.42275
1640000,0,-20.2661,624.791,1.09141,0.416
1660000,1,-30.836,630.626,0.711713,0.478
1680000,0,-19.8056,624.595,0.231398,0.530111
1700000,1,-29.96,622.855,1.24433,0.490187
1720000,0,-21.6118,626.378,0.0192505,0.511125
1740000,0,-21.1707,621.492,0.0165066,0.419
1760000,0,-21.6655,627.31,0.0271059,0.419
1780000,0,-19.7818,623.12,1.47643,0.487
1800000,1,-29.7419,625.643,2.08213,0.5255
1820000,1,-31.2625,626.165,1.91462,0.461
1840000,0,-21.2504,625.594,0.704964,0.429
1860000,0,-20.4692,622.529,0.987817,0.494
1880000,0,-22.3049,625.05,0.271479,0.443375
1900000,0,-21.2265,623.702,1.68962,0.4915
1920000,0,-20.7849,627.135,0.601513,0.475
1940000,0,-20.6774,626.543,0.592686,0.4315
1960000,1,-31.1664,630.535,5.29991,0.501
1980000,0,-20.9089,627.218,1.50948,0.368
2000000,0,-21.1434,626.548,0.121033,0.368
2020000,0,-21.7206,624.779,2.31502,0.429
2040000,0,-21.6802,627.109,0.0177909,0.444
2060000,0,-19.6177,623.124,0.0256119,0.467294
2080000,0,-21.5022,627.793,0.478382,0.452
2100000,0,-22.3715,626.68,0.783422,0.412
2120000,1,-31.9195,630.278,3.53777,0.526
2140000,0,-20.8273,624.986,0.20766,0.43
2160000,1,-32.5259,624.185,0.997855,0.441
2180000,0,-20.8701,627.486,2.33563,0.408692
2200000,0,-21.6374,626.967,1.15475,0.417
2220000,0,-20.0953,620.491,0.0908021,0.422
2240000,0,-21.5608,623.369,0.435373,0.483
2260000,0,-22.0609,626.618,0.0533725,0.471
2280000,0,-21.2386,626.684,0.884726,0.371
2300000,0,-20.2206,625.682,0.792614,0.443833
2320000,0,-21.3332,627.242,1.55788,0.453
2340000,0,-20.9384,625.974,3.13745,0.38
2360000,0,-21.6707,627.601,1.43129,0.389
2380000,0,-20.8022,626.256,0.868916,0.359
2400000,0,-21.7502,627.038,2.37401,0.524
2420000,0,-21.0718,627.377,0.0929105,0.444
2440000,3,-54.1336,626.22,7.93838,0.524
2460000,0,-20.1571,623.256,1.48486,0.402
2480000,0,-20.4059,625.342,1.35448,0.418545
2500000,0,-21.3449,626.954,0.860919,0.4325
2520000,0,-21.2027,627.649,0.469017,0.433
2540000,0,-21.3125,627.701,3.55201,0.477571
2560000,0,-20.5474,625.103,3.72285,0.458
2580000,0,-21.6641,626.615,0.138158,0.389
2600000,0,-21.4968,627.754,0.133027,0.443
2620000,0,-21.1406,623.676,0.478251,0.414167
2640000,2,-45.0224,631.218,4.00981,0.467444
2660000,0,-20.8384,627.306,0.75139,0.462125
2680000,0,-22.1341,623.087,0.558206,0.48675
2700000,0,-22.2657,627.103,1.51084,0.385
2720000,0,-21.6031,626.336,2.54942,0.441857
2740000,0,-21.2509,627.173,0.343524,0.423167
2760000,3,-52.8812,620.17,7.52057,0.585
2780000,0,-20.5443,623.896,0.112199,0.421
2800000,1,-33.4643,631.524,1.55517,0.586
2820000,0,-20.5821,622.373,0.809685,0.4
2840000,0,-21.1837,625.979,0.739242,0.511
2860000,0,-21.3461,624.826,1.69147,0.441
2880000,0,-20.8011,627.137,2.14754,0.424
2900000,0,-21.6814,627.262,0.515123,0.401
2920000,0,-20.4729,625.964,0.79377,0.35
2940000,0,-21.9649,627.514,0.703805,0.484
2960000,0,-22.1778,626.635,3.74099,0.5075
2980000,0,-21.2746,626.852,0.0857124,0.477167
3000000,0,-20.9804,626.846,1.99471,0.425167
3020000,0,-22.3971,624.716,0.509713,0.519333
3040000,2,-42.8557,627.307,4.39222,0.618
3060000,0,-21.5124,627.41,0.0166119,0.4555
3080000,0,-20.9424,624.732,0.114551,0.43
3100000,0,-20.7437,624.148,0.586342,0.442222
3120000,1,-31.3395,624.413,1.14892,0.4605
3140000,0,-20.9834,622.557,2.00142,0.4476
3160000,0,-22.4135,626.498,1.57703,0.429
3180000,0,-22.2575,626.367,1.69035,0.455875
3200000,0,-21.3071,627.538,0.944738,0.396
3220000,0,-21.1279,627.135,0.583297,0.48
3240000,1,-35.3515,624.679,3.20393,0.48
3260000,0,-21.2785,627.315,4.60442,0.551
3280000,0,-20.3879,626.26,0.0622951,0.376
3300000,0,-20.9294,627.472,0.701018,0.429
3320000,0,-21.559,626.423,0.0259592,0.4632
3340000,1,-30.7458,632.124,1.52853,0.631
3360000,0,-21.2011,626.794,0.647526,0.4895
3380000,0,-21.1061,624.714,1.13814,0.47325
3400000,0,-20.141,626.052,0.523406,0.4343
3420000,1,-29.7432,625.298,1.75828,0.446818
3440000,0,-20.96,627.476,6.43969,0.596375
3460000,0,-21.2429,627.5,2.26347,0.4
3480000,0,-20.8607,625.9,1.11816,0.43
3500000,0,-21.4721,627.692,0.283572,0.438
3520000,0,-22.9669,625.481,0.382617,0.4185
3540000,3,-52.9276,617.045,4.92596,0.421
3560000,0,-21.7116,625.706,0.710316,0.434143
3580000,0,-21.186,625.235,2.29589,0.432
3600000,0,-21.9858,627.5,0.230126,0.418
3620000,0,-20.805,626.708,1.11736,0.428
3640000,0,-22.2332,626.455,0.373956,0.498
3660000,1,-30.2254,630.989,1.26652,0.523
3680000,0,-21.6829,626.915,0.0231166,0.385
3700000,1,-31.4347,626.043,5.1776,0.586333
3720000,0,-20.9899,625.291,0.035081,0.523
3740000,1,-31.3225,626.878,2.80176,0.462
3760000,0,-21.4318,627.912,1.27273,0.4845
3780000,0,-21.0136,626.66,2.94072,0.431643
3800000,0,-21.5964,626.553,0.576846,0.484
3820000,0,-20.3728,624.064,0.855403,0.416455
3840000,0,-20.7441,623.975,0.167126,0.435789
3860000,0,-20.321,619.572,0.462296,0.422
3880000,0,-20.8744,626.61,0.0499342,0.375
3900000,0,-20.9581,626.86,0.359431,0.4
3920000,0,-21.003,624.706,1.30581,0.3845
3940000,0,-20.463,626.043,1.90249,0.478381
3960000,0,-21.7536,624.84,0.0474159,0.3975
3980000,0,-21.6997,627.695,1.82467,0.347
4000000,2,-45.0826,630.987,7.10768,0.587
4020000,1,-30.4305,626.177,0.247708,0.453
4040000,0,-20.3285,626.234,0.0582174,0.412933
4060000,2,-40.7587,626.605,9.1332,0.457
4080000,0,-20.6482,625.115,1.47266,0.388
4100000,1,-30.4707,625.825,3.48744,0.437
4120000,0,-20.9899,621.919,2.24124,0.415
4140000,0,-20.7333,624.775,0.26821,0.368
4160000,0,-20.6402,626.478,2.16219,0.432
4180000,0,-20.1341,622.693,0.143076,0.368
4200000,0,-20.9745,626.978,3.93844,0.472143
4220000,0,-22.6528,624.998,2.93547,0.447
4240000,0,-21.5199,627.116,0.982375,0.466
4260000,0,-20.7302,624.614,0.398113,0.474
4280000,0,-20.7485,626.702,0.26916,0.462
4300000,0,-21.6181,625.297,3.30141,0.353
4320000,0,-21.4416,626.482,0.883493,0.51275
4340000,3,-52.0037,622.57,5.54739,0.484
4360000,0,-20.084,624.744,0.140722,0.422
4380000,1,-33.4259,624.889,0.793809,0.508
4400000,0,-20.9083,625.955,1.87268,0.431
4420000,0,-20.4108,625.195,2.81654,0.4462
4440000,1,-31.8522,626.792,1.59477,0.387
4460000,2,-44.0227,629.183,2.99373,0.522125
4480000,0,-21.6284,627.308,0.229885,0.378
4500000,0,-21.7724,627.186,0.158551,0.419
4520000,0,-21.5391,623.927,2.58643,0.401
4540000,1,-33.5703,627.037,0.731192,0.431
4560000,0,-21.9126,625.545,1.25567,0.5428
4580000,0,-20.9112,624.352,0.927607,0.3625
4600000,0,-20.8825,627.41,1.12223,0.434
4620000,0,-20.9477,627.144,3.94962,0.457
4640000,0,-20.7905,626.079,2.19257,0.47
4660000,0,-21.4102,627.351,1.51062,0.4035
4680000,0,-20.4454,624.9,0.0416232,0.5034
4700000,0,-21.678,627.056,0.187753,0.422
4720000,0,-21.5029,626.958,0.226413,0.372
4740000,0,-20.5633,624.982,0.163282,0.411769
4760000,0,-20.9392,624.537,0.41479,0.5405
4780000,1,-31.9899,625.622,2.44238,0.513
4800000,0,-20.8319,626.623,1.22699,0.484
4820000,2,-43.9666,627.031,2.54542,0.479
4840000,0,-20.3834,625.657,0.132499,0.411
4860000,0,-21.3624,627.045,0.271675,0.388
4880000,0,-20.6664,627.237,0.014399,0.453
4900000,1,-31.8778,627.087,1.7008,0.415
4920000,0,-20.0495,625.196,0.352152,0.519
4940000,0,-20.9729,627.393,0.703586,0.462
4960000,0,-21.1506,627.684,0.514028,0.385
4980000,0,-21.4092,627.42,0.471811,0.482
5000000,0,-20.9686,625.975,1.09424,0.451
5020000,1,-33.3277,625.044,0.80396,0.395
5040000,0,-21.7621,627.643,1.61808,0.449
5060000,1,-30.2667,625.512,8.56299,0.436
5080000,0,-21.3463,627.257,0.101228,0.354
5100000,0,-21.5913,625.521,1.08637,0.459
5120000,0,-20.861,627.421,0.45502,0.387
5140000,0,-20.631,623.732,2.4819,0.564
5160000,0,-20.6916,626.863,0.854487,0.478
5180000,0,-20.1382,624.088,1.68546,0.48225
5200000,1,-30.6372,626.912,1.13482,0.564
5220000,0,-20.6708,627.406,0.774662,0.617
5240000,0,-20.9224,627.4,0.424848,0.581143
5260000,0,-21.981,626.874,1.48594,0.433235
5280000,0,-20.0017,624.05,3.60525,0.372
5300000,0,-22.6334,623.485,0.801804,0.4412
5320000,0,-20.1612,626.184,1.10727,0.435857
5340000,0,-20.6883,627.131,1.48399,0.492
5360000,0,-20.8524,626.359,0.131931,0.379
5380000,1,-31.7048,624.701,1.28844,0.425455
5400000,0,-20.7225,627.133,0.0954458,0.420556
5420000,0,-22.15,624.279,0.0287865,0.38
5440000,0,-21.4703,627.826,1.94019,0.36
5460000,0,-21.8918,624.845,1.93974,0.41
5480000,0,-20.6403,626.8,1.47039,0.496
5500000,0,-20.3133,625.689,1.88366,0.452
5520000,0,-20.9774,626.983,0.842944,0.452333
5540000,1,-30.2701,623.733,3.99682,0.41
5560000,0,-20.511,624.561,2.50248,0.446333
5580000,3,-51.2773,624.005,5.25651,0.511
5600000,0,-21.3904,625.532,0.662205,0.38
