generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,otu_293_SG8-38,otu_11931_UBA4427,0,0.032,0,0.005,0
20000,otu_293_SG8-38,otu_11931_UBA4427,0,113.585,-4.22075,0.0066851,0
40000,otu_293_SG8-38,otu_11931_UBA4427,0,111.861,-4.25045,0.0183417,0
60000,otu_293_SG8-38,otu_11931_UBA4427,0,107.959,-4.23504,0.00472164,0
80000,otu_293_SG8-38,otu_11931_UBA4427,0,109.924,-4.28532,0.0114217,0
100000,otu_293_SG8-38,otu_11931_UBA4427,0,128.772,-4.49591,0.00804836,0
120000,otu_293_SG8-38,otu_11931_UBA4427,0,89.2621,-4.00528,0.00195308,0
140000,otu_293_SG8-38,otu_11931_UBA4427,0,102.725,-4.17575,0.0615453,0
160000,otu_293_SG8-38,otu_11931_UBA4427,0,91.7077,-4.00986,0.0165155,0
180000,otu_293_SG8-38,otu_11931_UBA4427,0,103.279,-4.19946,0.0179274,0
200000,otu_293_SG8-38,otu_11931_UBA4427,0,100.456,-4.13747,0.00291774,0
220000,otu_293_SG8-38,otu_11931_UBA4427,0,110.008,-4.23405,0.0218809,0
240000,otu_293_SG8-38,otu_11931_UBA4427,0,94.8463,-3.95876,0.0249657,0
260000,otu_293_SG8-38,otu_11931_UBA4427,0,121.755,-4.29218,0.0119776,0
280000,otu_293_SG8-38,otu_11931_UBA4427,0,122.111,-4.36944,0.0371176,0
300000,otu_293_SG8-38,otu_11931_UBA4427,0,98.8059,-4.09091,0.0568875,0
320000,otu_293_SG8-38,otu_11931_UBA4427,0,123.531,-4.41783,0.00143458,0
340000,otu_293_SG8-38,otu_11931_UBA4427,0,102.169,-4.05495,0.0832166,0
360000,otu_293_SG8-38,otu_11931_UBA4427,0,140.721,-4.53616,0.0161747,0
360000,otu_2667_Polyangiaceae,NA,0.946465,8.16146,1.1958,40.8969,0
380000,otu_293_SG8-38,otu_11931_UBA4427,0,130.606,-4.40677,0.0683221,0
400000,otu_293_SG8-38,otu_11931_UBA4427,0,101.738,-4.18588,0.00402418,0
420000,otu_293_SG8-38,otu_11931_UBA4427,0,93.98,-4.01345,0.0387268,0
440000,otu_293_SG8-38,otu_11931_UBA4427,0,118.249,-4.3637,0.05027,0
460000,otu_293_SG8-38,otu_11931_UBA4427,0,106.309,-4.10929,0.0421116,0
460000,otu_579,NA,0.927638,2.65088,-1.50579,18.8879,0
480000,otu_293_SG8-38,otu_11931_UBA4427,0,119.755,-4.36891,0.0454427,0
480000,otu_4672_Polyangiaceae,NA,0.970936,4.00053,-1.96258,17.7433,0
500000,otu_293_SG8-38,otu_11931_UBA4427,0,104.233,-4.1741,0.010336,0
520000,otu_293_SG8-38,otu_11931_UBA4427,0,103.519,-4.19636,0.0849216,0
520000,otu_2181_Nannocystaceae,NA,0.754407,1.79693,0.611398,21.2821,0
540000,otu_293_SG8-38,otu_11931_UBA4427,0,102.85,-4.13496,0.0259278,0
560000,otu_293_SG8-38,otu_11931_UBA4427,0,92.7369,-4.00099,0.0621213,0
580000,otu_293_SG8-38,otu_11931_UBA4427,0,135.737,-4.41602,0.00698684,0
580000,otu_3115_UBA9160,NA,0.957611,11.4221,-0.237741,30.6184,0
600000,otu_293_SG8-38,otu_11931_UBA4427,0,77.9839,-3.7063,0.0417624,0
600000,otu_4462_Sandaracinaceae,NA,0.84139,13.3326,0.781578,15.8665,0
620000,otu_293_SG8-38,otu_11931_UBA4427,0,114.487,-4.2759,0.067846,0
620000,otu_4907_Sandaracinaceae,NA,0.96745,22.6706,1.34821,10.299,0
640000,otu_293_SG8-38,otu_11931_UBA4427,0,118.091,-4.30905,0.0208049,0
640000,otu_10358_Haliangiaceae,NA,0.876079,8.81028,0.31959,23.5848,0
660000,otu_293_SG8-38,otu_11931_UBA4427,0,113.899,-4.3026,0.00384107,0
660000,otu_116_SG8-38,NA,0.938503,21.0034,0.408133,22.8849,0
680000,otu_293_SG8-38,otu_11931_UBA4427,0,100.888,-4.11657,0.0497838,0
680000,otu_618,NA,0.96037,2.26419,-0.181579,5.78517,0
700000,otu_293_SG8-38,otu_11931_UBA4427,0,95.5168,-4.03,0.040222,0
720000,otu_293_SG8-38,otu_11931_UBA4427,0,103.975,-4.1503,0.0303949,0
740000,otu_293_SG8-38,otu_11931_UBA4427,0,112.662,-4.23187,0.241526,0
760000,otu_293_SG8-38,otu_11931_UBA4427,0,123.117,-4.41949,0.0273252,0
780000,otu_293_SG8-38,otu_11931_UBA4427,0,101.648,-4.1128,0.00608885,0
800000,otu_293_SG8-38,otu_11931_UBA4427,0,125.079,-4.38229,0.0225965,0
800000,otu_7065_UBA1532,NA,0.790558,2.54668,0.664584,5.65347,0
820000,otu_293_SG8-38,otu_11931_UBA4427,0,128.652,-4.47302,0.00325091,0
840000,otu_293_SG8-38,otu_11931_UBA4427,0,84.7401,-3.82307,0.0105631,0
840000,otu_2593_Polyangiaceae,NA,0.784137,10.4704,-0.414091,20.2988,0
860000,otu_293_SG8-38,otu_11931_UBA4427,0,86.5654,-3.99589,0.00648172,0
