generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-16.0745,-3524.29,500,0
20000,0,-25.4364,595.486,0.332025,0.411
40000,0,-25.4763,595.984,0.235839,0.553
60000,0,-25.3052,595.997,2.12852,0.367
80000,0,-25.5287,595.257,1.45438,0.531333
100000,0,-26.8277,594.969,0.0311001,0.41
120000,0,-23.9881,593.674,0.473132,0.481
140000,0,-24.9515,593.827,2.35704,0.477
160000,0,-24.0823,594.047,1.2212,0.4256
180000,0,-25.0383,594.832,0.142695,0.424
200000,0,-24.7567,595.547,2.30525,0.479667
220000,0,-25.366,595.817,0.978419,0.381
240000,0,-24.0283,592.136,0.600125,0.392
260000,0,-25.9282,594.785,0.444065,0.386
280000,0,-26.1925,595.545,0.258764,0.459636
300000,0,-24.5569,593.968,0.244648,0.365
320000,0,-26.3968,596.08,0.0372565,0.4726
340000,0,-24.5547,591.996,0.0456619,0.457
360000,1,-38.3253,593.652,2.98554,0.371
380000,0,-26.592,594.122,1.51967,0.395
400000,0,-24.9454,594.986,0.0405663,0.424
420000,0,-24.1651,593.735,0.38637,0.527
440000,0,-26.0496,594.629,0.00157354,0.379
460000,1,-35.2641,593.275,3.01719,0.462
480000,1,-37.1249,595.038,0.514672,0.487333
500000,0,-24.9923,595.756,2.00575,0.412
520000,1,-34.782,597.068,2.03413,0.506
540000,0,-24.8238,595.209,1.02671,0.443
560000,0,-24.0921,592.933,2.32544,0.39
580000,1,-37.0134,593.083,1.52978,0.438
600000,1,-32.7855,585.931,1.49945,0.413
620000,1,-36.2475,594.351,1.22426,0.474
640000,1,-35.8019,597.877,0.541981,0.454421
660000,1,-36.0402,594.7,1.20367,0.43925
680000,1,-33.8346,594.314,1.45591,0.371
700000,0,-24.2656,593.884,0.880568,0.429
720000,0,-24.9089,595.195,1.48463,0.47875
740000,0,-25.4515,589.983,1.18514,0.496
760000,0,-26.394,595.166,2.07062,0.38825
780000,0,-24.716,595.542,1.15444,0.452917
800000,1,-35.6287,596.274,5.67082,0.446
820000,0,-26.7479,595.769,0.876643,0.460875
840000,1,-33.2209,593.174,3.25388,0.573
860000,0,-23.8797,592.115,3.61396,0.441
880000,0,-26.0928,595.661,0.206343,0.4225
900000,1,-34.4197,594.676,1.44661,0.523
920000,4,-73.7313,596.7,2.27747,0.51
940000,0,-24.9753,594.519,0.977318,0.423
960000,0,-25.1671,592.023,1.69312,0.441
980000,2,-54.1634,596.421,2.36457,0.50075
1000000,1,-34.8389,588.865,2.5865,0.457333
1020000,0,-24.5018,594.735,0.350891,0.519
1040000,0,-24.2314,591.609,0.416042,0.422625
1060000,0,-25.1935,594.978,1.49816,0.424
1080000,0,-24.2292,592.794,0.204487,0.373
1100000,0,-25.4835,595.075,0.0283381,0.427333
1120000,0,-25.3624,595.652,2.23913,0.566
1140000,0,-24.6537,595.517,0.553909,0.624
1160000,0,-24.8487,592.867,0.203689,0.417
1180000,0,-24.7636,594.31,0.335216,0.416
1200000,0,-25.4217,588.868,0.535233,0.444
1220000,0,-25.915,595.86,1.88413,0.497
1240000,0,-24.8018,595.284,0.41875,0.435625
1260000,1,-36.7252,594.23,0.950965,0.619
1280000,0,-27.1929,595.274,2.01439,0.42
1300000,1,-35.3715,591.072,3.16317,0.468429
