generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,otu_9433_40CM-4-68-19,otu_5792_SG8-38,0,0.032,0.0310617,0.005,0
20000,otu_9433_40CM-4-68-19,otu_5792_SG8-38,0,10.4127,0.946387,2.83416,0
40000,otu_9433_40CM-4-68-19,otu_5792_SG8-38,0,10.2995,0.889629,2.68358,0
60000,otu_9433_40CM-4-68-19,otu_5792_SG8-38,0,10.2254,1.2865,4.53561,0
60000,otu_3418_Anaeromyxobacteraceae,otu_1610_Anaeromyxobacteraceae,0.693447,31.285,-1.05693,1.82742,0
80000,otu_9433_40CM-4-68-19,otu_5792_SG8-38,0,10.8304,0.382665,0.740138,0
80000,otu_1610_Anaeromyxobacteraceae,otu_630_Anaeromyxobacteraceae,0.711439,37.8973,-1.77247,1.15032,0
80000,otu_3686_Polyangiaceae,otu_6635_Polyangiaceae,0.824306,41.4,0.486639,6.29184,0
100000,otu_9433_40CM-4-68-19,otu_5792_SG8-38,0,9.3161,1.35879,2.50383,0
100000,otu_11530_SG8-38,otu_7600_SG8-38,0.716066,28.5345,-1.49197,2.1448,0
120000,otu_9433_40CM-4-68-19,otu_5792_SG8-38,0,9.41202,1.04397,1.88943,0
120000,otu_1610_Anaeromyxobacteraceae,otu_630_Anaeromyxobacteraceae,0.702032,31.9925,-0.720892,7.23434,0
120000,otu_5315,otu_2019_Haliangiaceae,0.728067,9.10735,0.859547,0.940339,0
120000,otu_7798_Polyangiaceae,otu_2422_Polyangiaceae,0.859985,56.4641,-1.53538,14.0039,0
140000,otu_9433_40CM-4-68-19,otu_5792_SG8-38,0,7.99962,1.53687,0.385219,0
140000,otu_3418_Anaeromyxobacteraceae,otu_1610_Anaeromyxobacteraceae,0.691644,35.6199,-0.96426,8.51007,0
140000,otu_3686_Polyangiaceae,otu_6635_Polyangiaceae,0.821194,50.8238,-1.66426,2.69843,0
140000,otu_8095_SG8-38,otu_293_SG8-38,0.728254,78.9077,-2.20965,37.4174,0
160000,otu_9433_40CM-4-68-19,otu_5792_SG8-38,0,8.34478,1.45991,1.48497,0
160000,otu_6468_Anaeromyxobacteraceae,NA,0.868702,20.3797,0.448535,28.5557,0
160000,otu_1639,otu_5506_Polyangiaceae,0.778385,26.5369,1.06021,19.9254,0
160000,otu_3418_Anaeromyxobacteraceae,otu_1610_Anaeromyxobacteraceae,0.69208,32.8375,-1.32974,2.23885,0
160000,otu_618_Haliangiaceae,NA,0.995978,18.5075,-0.96654,6.36637,0
160000,otu_5516_Polyangiaceae,otu_1981_Polyangiaceae,0.924998,34.3589,1.05366,8.61307,0
160000,otu_7037_Polyangiaceae,otu_5192_Polyangiaceae,0.551807,18.2815,-0.166623,1.72951,0
160000,otu_3686_Polyangiaceae,otu_6635_Polyangiaceae,0.814956,41.9496,-1.42214,3.59361,0
160000,otu_11530_SG8-38,otu_7600_SG8-38,0.695224,55.7793,-2.61344,15.6564,0
180000,otu_9433_40CM-4-68-19,otu_5792_SG8-38,0,8.3308,0.971668,0.399188,0
180000,otu_9433_40CM-4-68-19,NA,0.979712,9.82026,0.192679,251.514,0
180000,otu_250_Anaeromyxobacteraceae,otu_3418_Anaeromyxobacteraceae,0.679305,34.3444,0.136715,17.5588,0
180000,otu_4361_Myxococcaceae,otu_7657_Myxococcaceae,0.70499,28.7797,-0.418112,11.7385,0
180000,otu_1465,otu_2685_Haliangiaceae,0.719109,42.051,-2.54343,6.24874,0
180000,otu_3864_Haliangiaceae,otu_7635_Haliangiaceae,0.655144,30.2364,-1.77529,3.78163,0
180000,otu_1240_Polyangiaceae,NA,0.915992,6.69792,0.825203,4.47939,0
180000,otu_7798_Polyangiaceae,otu_2422_Polyangiaceae,0.89315,52.123,-0.447104,12.9633,0
180000,otu_11530_SG8-38,otu_7600_SG8-38,0.70925,34.4825,-1.76703,4.38232,0
200000,otu_9433_40CM-4-68-19,otu_5792_SG8-38,0,7.71784,1.31162,0.438659,0
200000,otu_250_Anaeromyxobacteraceae,otu_3418_Anaeromyxobacteraceae,0.686047,30.3652,-1.53766,1.01958,0
200000,otu_425_Myxococcaceae,NA,0.926993,27.5736,-0.237467,39.1398,0
200000,otu_2891_Haliangiaceae,otu_2384_Haliangiaceae,0.737511,26.5431,-1.47719,0.0101885,0
200000,otu_5357_Haliangiaceae,otu_5155_Haliangiaceae,0.663021,27.8775,-2.2288,0.282764,0
200000,otu_774_Sandaracinaceae,NA,0.85696,0.789489,0.179695,30.3671,0
200000,otu_10589,NA,0.592531,2.27127,-1.67494,0.517178,0
200000,otu_519_Polyangiaceae,otu_3686_Polyangiaceae,0.802659,47.2593,0.0691471,14.8209,0
200000,otu_293_SG8-38,otu_280,0.736795,26.3438,-0.712181,2.6089,0
220000,otu_9433_40CM-4-68-19,otu_5792_SG8-38,0,8.39331,1.01323,0.47773,0
220000,otu_9433_40CM-4-68-19,NA,0.616663,21.7561,-0.940492,16.3436,0
220000,otu_2930_Bradymonadaceae,otu_1326_Anaeromyxobacteraceae,0.836587,22.9493,-0.617715,14.0191,0
220000,otu_3418_Anaeromyxobacteraceae,otu_1610_Anaeromyxobacteraceae,0.690312,29.7728,-1.25702,0.712183,0
220000,otu_2891_Haliangiaceae,otu_2384_Haliangiaceae,0.742171,38.5667,-1.86136,6.37976,0
220000,otu_1894_Anaeromyxobacteraceae,NA,0.931704,0.473182,0.904834,13.3693,0
220000,otu_3864_Haliangiaceae,otu_7635_Haliangiaceae,0.653766,28.2648,-2.19637,0.106228,0
220000,otu_568_Sandaracinaceae,NA,0.999667,5.48037,0.729996,16.508,0
220000,otu_3686_Polyangiaceae,otu_6635_Polyangiaceae,0.83689,33.9481,1.3455,2.57053,0
220000,otu_6991,otu_11530_SG8-38,0.693511,26.4636,-0.274205,7.94526,0
240000,otu_9433_40CM-4-68-19,otu_5792_SG8-38,0,9.22697,0.729361,0.109968,0
240000,otu_9433_40CM-4-68-19,NA,0.332425,34.9965,-0.317203,24.7279,0
240000,otu_1287,NA,0.718681,21.5439,-1.5137,26.0517,0
240000,otu_3418_Anaeromyxobacteraceae,otu_1610_Anaeromyxobacteraceae,0.689275,22.8981,0.0937106,0.181955,0
240000,otu_702_Nannocystaceae,NA,0.797319,22.449,2.34877,25.0263,0
240000,otu_1465,otu_2685_Haliangiaceae,0.707656,33.5659,-1.99681,5.10657,0
240000,otu_3890_Polyangiaceae,NA,0.430081,6.90077,2.01541,7.30779,0
240000,otu_10589,NA,0.81469,4.23456,0.911714,31.1508,0
240000,otu_5163_Polyangiaceae,NA,0.935294,6.75928,-0.0140427,47.9761,0
240000,otu_7798_Polyangiaceae,otu_2422_Polyangiaceae,0.895631,55.9802,-1.25491,10.6262,0
240000,otu_11530_SG8-38,otu_7600_SG8-38,0.706615,26.3112,-0.924349,3.87044,0
260000,otu_9433_40CM-4-68-19,otu_5792_SG8-38,0,9.56004,0.585019,0.200188,0
260000,otu_3242_Polyangiaceae,NA,0.98366,15.9279,0.499279,1.73994,0
260000,otu_1610_Anaeromyxobacteraceae,NA,0.879852,28.5154,3.55765,20.685,0
260000,otu_3418_Anaeromyxobacteraceae,otu_1610_Anaeromyxobacteraceae,0.690803,28.7312,-0.86278,1.73808,0
