generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-15.7,-9269.27,236.083,1
20000,2,-38.0541,1307.12,2.53567,0.557
40000,2,-43.7186,1319.97,2.18052,0.499
60000,4,-59.6765,1353.34,3.34187,0.452
80000,4,-62.8007,1364.39,2.666,0.5075
100000,6,-86.231,1346.47,6.58693,0.528
120000,6,-84.5308,1334.35,6.41422,0.537
140000,4,-59.2209,1333.84,3.35626,0.516
160000,10,-120.726,1392.58,15.7803,0.486444
180000,9,-117.63,1413.29,9.31039,0.487
200000,9,-120.328,1428.33,7.19463,0.444
220000,7,-92.903,1374.91,5.34129,0.553692
240000,4,-63.7815,1364.64,9.37344,0.54275
260000,11,-131.209,1422.25,14.7721,0.557
280000,8,-104.728,1364.26,4.46878,0.531
300000,12,-147.192,1456.22,18.7476,0.513
320000,10,-125.761,1454.6,15.8659,0.517
340000,5,-75.356,1373.45,5.19687,0.50288
360000,14,-166.424,1437.31,6.74869,0.505
380000,12,-146.826,1440.22,12.7799,0.49
400000,10,-125.499,1433.01,15.0627,0.524
420000,14,-174.224,1456.29,10.1171,0.521
440000,14,-162.776,1456.9,16.5391,0.533
460000,12,-147.002,1440.56,15.7772,0.497
480000,7,-98.0972,1409.29,7.65165,0.471857
500000,8,-108.476,1414.65,6.74422,0.523727
520000,8,-104.004,1417.02,13.3134,0.511
540000,15,-186.549,1425.94,16.0317,0.535
560000,12,-147.643,1435.73,13.6606,0.502
580000,15,-182.574,1456.75,21.4033,0.483143
600000,9,-114.889,1421.86,6.73874,0.498
620000,13,-162.226,1426.29,13.0203,0.545
640000,15,-177.043,1457.88,17.3687,0.4934
660000,12,-145.281,1455.25,16.5848,0.488
680000,13,-155.243,1459.39,6.72737,0.473
700000,14,-164.538,1429.13,17.696,0.549333
720000,16,-186.503,1448.19,25.7187,0.529
740000,12,-144.587,1456.24,8.88691,0.435
760000,16,-193.305,1429.4,15.781,0.573
780000,18,-221.871,1465.7,25.8239,0.533667
800000,15,-184.547,1467.29,14.3042,0.525667
820000,10,-131.449,1407.47,13.246,0.533941
840000,8,-100.811,1400.81,9.70787,0.561
860000,14,-171.212,1453.84,18.0943,0.523
880000,11,-137.677,1430.82,15.1052,0.542
900000,13,-162.467,1401.56,12.0844,0.533333
920000,10,-129.776,1410.24,11.8784,0.549833
940000,9,-119.04,1419.97,7.36924,0.5265
