generation,rank_1,rank_2,swapAccepted
1000,2,3,1
2000,1,3,1
3000,1,2,1
4000,2,4,1
5000,1,3,1
6000,1,3,0
7000,3,4,1
8000,1,4,1
9000,3,4,1
10000,2,3,1
11000,2,3,1
12000,1,3,1
13000,3,4,1
14000,1,4,0
15000,1,3,1
16000,1,3,1
17000,1,4,0
18000,1,3,1
19000,2,3,1
20000,2,4,1
21000,1,2,0
22000,1,2,0
23000,3,4,1
24000,3,4,0
25000,1,4,1
26000,1,2,1
27000,1,2,1
28000,2,4,0
29000,1,3,0
30000,2,3,1
31000,1,2,1
32000,2,3,1
33000,1,3,1
34000,2,3,1
35000,2,4,1
36000,2,4,1
37000,2,4,1
38000,2,4,0
39000,3,4,1
40000,1,3,1
41000,2,4,1
42000,1,3,1
43000,1,3,1
44000,1,4,1
45000,2,4,1
46000,3,4,1
47000,2,4,1
48000,3,4,1
49000,1,2,1
50000,3,4,1
51000,2,3,1
52000,2,3,1
53000,2,4,1
54000,1,3,1
55000,2,4,1
56000,3,4,1
57000,3,4,1
58000,1,3,1
59000,1,2,1
60000,2,4,1
61000,1,2,1
62000,2,4,1
63000,2,4,1
64000,3,4,1
65000,1,3,0
66000,2,4,1
67000,2,4,1
68000,2,4,1
69000,1,4,0
70000,1,2,1
71000,1,4,1
72000,3,4,1
73000,1,4,0
74000,1,2,1
75000,2,4,1
76000,1,4,1
77000,2,4,1
78000,1,4,1
79000,1,2,1
80000,1,4,1
81000,1,2,1
82000,1,3,1
83000,1,3,1
84000,2,3,1
85000,1,4,1
86000,1,3,0
87000,1,2,1
88000,1,2,1
89000,2,4,1
90000,2,3,1
91000,2,4,0
92000,3,4,1
93000,3,4,1
94000,1,4,0
95000,2,4,0
96000,2,4,1
97000,2,3,1
98000,2,3,1
99000,1,4,1
100000,3,4,0
101000,1,2,1
102000,2,4,1
103000,1,2,0
104000,1,3,0
105000,2,3,1
106000,3,4,1
107000,3,4,1
108000,1,4,1
109000,1,3,1
110000,2,4,0
111000,2,4,1
112000,2,4,1
113000,2,3,1
114000,1,2,1
115000,1,2,1
116000,2,4,1
117000,1,3,1
118000,1,4,1
119000,1,4,1
120000,2,3,1
121000,2,3,1
122000,1,3,0
123000,2,4,1
124000,2,3,1
125000,2,3,0
126000,1,3,0
127000,3,4,1
128000,1,2,1
129000,1,4,0
130000,2,3,1
131000,2,3,1
132000,1,2,0
133000,2,3,1
134000,1,2,1
135000,3,4,1
136000,1,3,1
137000,1,2,1
138000,1,3,1
139000,2,3,1
140000,1,4,1
141000,2,4,0
142000,1,3,1
143000,2,4,1
144000,3,4,1
145000,1,4,1
146000,2,4,1
147000,3,4,1
148000,1,2,1
149000,2,3,1
150000,2,4,1
151000,3,4,1
152000,2,4,1
153000,2,4,1
154000,1,2,1
155000,2,3,1
156000,1,3,0
157000,3,4,1
158000,1,2,1
159000,2,3,1
160000,2,3,1
161000,3,4,0
162000,1,4,1
163000,1,3,1
164000,3,4,1
165000,1,3,0
166000,2,3,1
167000,1,2,1
168000,2,4,1
169000,1,4,1
170000,2,3,1
171000,1,4,0
172000,1,3,0
173000,1,4,1
174000,1,3,1
175000,2,4,1
176000,2,4,1
177000,2,3,0
178000,2,4,0
179000,1,2,1
180000,2,4,1
181000,1,4,1
182000,2,3,1
183000,2,3,1
184000,2,3,1
185000,1,3,1
186000,1,2,1
187000,3,4,1
188000,2,4,1
189000,3,4,0
190000,1,4,0
191000,1,3,1
192000,2,3,1
193000,2,4,0
194000,2,3,1
195000,1,4,1
196000,3,4,1
197000,2,3,1
198000,2,4,1
199000,3,4,1
200000,1,3,1
201000,1,2,0
202000,2,3,1
203000,1,4,1
204000,3,4,1
205000,2,3,1
206000,1,4,0
207000,1,2,1
208000,1,3,1
209000,1,4,1
210000,2,3,1
211000,2,4,1
212000,1,4,1
213000,1,2,1
214000,1,3,1
215000,1,4,1
216000,2,3,1
217000,1,3,1
218000,2,3,1
219000,3,4,1
220000,1,2,1
221000,3,4,1
222000,1,4,1
223000,2,4,1
224000,1,2,1
225000,2,3,1
226000,2,3,1
227000,1,2,0
228000,2,4,1
229000,2,3,1
230000,2,3,1
231000,2,3,1
232000,2,4,0
233000,1,2,1
234000,2,3,0
235000,1,4,0
236000,1,3,1
237000,2,3,1
238000,1,2,1
239000,1,2,1
240000,1,2,1
241000,2,4,1
242000,2,4,1
243000,3,4,1
244000,2,4,1
245000,2,4,1
246000,1,4,0
247000,1,3,0
248000,2,3,1
249000,3,4,1
250000,1,3,0
251000,2,3,1
252000,2,4,1
253000,1,3,0
