generation,rank_1,rank_2,swapAccepted
1000,2,3,1
2000,2,3,1
3000,3,4,1
4000,3,4,0
5000,3,4,1
6000,2,4,1
7000,1,3,1
8000,1,3,1
9000,1,2,1
10000,3,4,1
11000,2,3,1
12000,2,3,1
13000,1,4,1
14000,3,4,1
15000,1,2,1
16000,1,3,1
17000,2,4,1
18000,2,4,0
19000,1,2,1
20000,1,3,0
21000,2,4,1
22000,1,2,1
23000,1,3,1
24000,1,2,1
25000,3,4,1
26000,1,3,0
27000,1,2,1
28000,1,3,1
29000,1,4,0
30000,1,2,1
31000,1,2,0
32000,1,3,1
33000,2,4,1
34000,2,4,1
35000,2,4,1
36000,1,2,1
37000,3,4,1
38000,1,2,1
39000,1,3,1
40000,3,4,1
41000,2,3,1
42000,3,4,1
43000,1,3,1
44000,3,4,1
45000,1,4,0
46000,1,2,0
47000,3,4,1
48000,2,3,0
49000,1,2,1
50000,3,4,1
51000,1,3,1
52000,1,3,1
53000,2,4,1
54000,2,3,1
55000,1,2,1
56000,2,4,1
57000,2,3,1
58000,2,3,1
59000,1,3,0
60000,1,4,0
61000,2,4,1
62000,1,4,1
63000,2,4,1
64000,2,4,0
65000,3,4,0
66000,3,4,1
67000,2,3,1
68000,1,2,1
69000,2,4,1
70000,2,4,1
71000,2,3,1
72000,1,4,1
73000,2,3,1
74000,2,4,1
75000,2,4,0
76000,1,4,1
77000,2,4,0
78000,3,4,1
79000,1,3,0
80000,1,2,1
81000,1,2,0
82000,2,3,1
83000,1,2,1
84000,1,2,1
85000,1,4,0
86000,1,4,0
87000,1,3,1
88000,2,3,1
89000,1,4,1
90000,2,3,1
91000,1,2,1
92000,3,4,1
93000,2,4,1
94000,1,4,1
95000,2,3,1
96000,3,4,1
97000,2,3,1
98000,2,4,1
99000,2,3,1
100000,2,3,1
101000,2,3,1
102000,1,2,1
103000,1,4,1
104000,1,3,1
105000,1,4,1
106000,1,4,0
107000,3,4,1
108000,1,3,1
109000,1,4,1
110000,2,4,1
111000,2,3,1
112000,3,4,1
113000,1,3,1
114000,1,2,1
115000,1,3,1
116000,2,4,1
117000,3,4,1
118000,2,3,1
119000,3,4,0
120000,3,4,1
121000,1,4,1
122000,1,4,1
123000,3,4,1
124000,3,4,0
125000,2,4,0
126000,2,4,0
127000,1,2,1
128000,1,4,1
129000,3,4,1
130000,1,4,1
131000,1,3,1
132000,2,3,1
133000,2,4,1
134000,2,3,1
135000,2,4,1
136000,3,4,1
137000,2,4,1
138000,3,4,1
139000,2,4,1
140000,3,4,1
141000,1,4,1
142000,2,4,1
143000,3,4,1
144000,2,4,1
145000,1,3,1
146000,2,3,1
147000,2,3,1
148000,3,4,0
149000,1,3,1
150000,3,4,1
151000,1,3,1
152000,1,2,1
153000,2,4,1
154000,2,3,1
155000,3,4,1
156000,1,4,1
157000,1,4,1
158000,2,4,1
159000,1,3,1
160000,1,2,1
161000,1,4,1
162000,1,3,1
163000,1,2,1
164000,1,4,1
165000,3,4,1
166000,2,3,1
167000,1,2,1
168000,3,4,1
169000,1,3,1
170000,3,4,1
171000,1,2,1
172000,3,4,1
173000,2,4,1
174000,3,4,1
175000,2,3,1
176000,2,3,0
177000,3,4,1
178000,3,4,1
179000,1,3,1
180000,1,4,1
181000,3,4,1
182000,3,4,1
183000,1,3,1
184000,2,3,1
185000,3,4,1
186000,1,3,1
187000,3,4,1
188000,3,4,1
189000,2,4,1
190000,1,3,0
191000,2,3,1
192000,3,4,0
193000,3,4,1
194000,2,4,1
195000,2,4,1
196000,2,4,1
197000,1,2,1
198000,3,4,1
199000,1,2,1
200000,1,2,1
201000,3,4,1
202000,1,3,0
203000,2,4,1
204000,1,4,1
205000,1,2,1
206000,1,4,1
207000,1,2,0
208000,1,2,1
209000,3,4,0
210000,2,3,1
211000,1,4,1
212000,3,4,1
213000,2,3,1
214000,2,4,1
215000,1,4,0
216000,3,4,1
217000,1,4,0
218000,2,4,1
219000,1,4,0
220000,1,4,1
221000,1,3,1
222000,3,4,1
223000,2,4,1
224000,1,4,1
225000,2,4,1
226000,2,4,1
227000,2,4,1
228000,2,4,1
229000,2,4,1
230000,3,4,1
231000,2,3,1
232000,1,4,1
233000,1,4,1
234000,2,3,1
235000,1,3,1
236000,2,3,1
237000,3,4,1
238000,3,4,1
239000,1,4,0
240000,2,3,1
241000,2,3,1
242000,2,3,1
243000,1,4,1
244000,1,3,1
245000,1,2,1
246000,1,3,1
247000,1,2,0
248000,2,4,1
249000,2,3,1
250000,2,3,1
251000,2,3,1
252000,3,4,1
253000,1,4,1
254000,1,4,1
255000,1,4,1
256000,1,4,1
257000,1,2,1
258000,3,4,1
259000,1,2,1
260000,1,3,1
261000,2,3,1
262000,3,4,1
263000,1,2,1
264000,2,4,0
265000,2,4,0
266000,1,4,1
267000,1,4,1
268000,1,2,1
269000,2,3,1
270000,2,3,1
271000,3,4,1
272000,1,4,0
273000,2,3,1
274000,2,3,1
275000,1,4,1
276000,2,4,1
277000,3,4,0
278000,2,4,0
279000,1,3,0
280000,1,4,1
281000,2,4,1
282000,2,4,1
283000,2,3,0
284000,1,3,1
285000,1,2,1
286000,2,3,1
287000,2,4,0
288000,1,2,1
289000,3,4,1
290000,1,4,0
291000,1,3,0
292000,2,4,1
293000,3,4,1
294000,2,3,1
295000,2,3,0
296000,1,3,0
297000,1,3,1
298000,1,3,1
299000,1,2,1
300000,2,3,0
301000,1,3,0
302000,1,2,1
303000,2,3,0
304000,3,4,1
305000,1,2,1
306000,1,3,1
307000,1,4,1
308000,3,4,0
309000,1,3,1
310000,2,4,0
311000,2,4,0
312000,1,3,1
313000,2,4,1
314000,1,3,1
315000,1,4,0
316000,2,3,1
317000,2,4,1
318000,3,4,1
319000,1,4,0
320000,2,4,1
321000,1,4,0
322000,2,3,1
323000,1,4,0
324000,3,4,1
325000,1,4,1
326000,1,2,1
327000,2,4,1
328000,2,4,1
329000,2,3,1
330000,1,4,1
331000,3,4,1
332000,1,3,0
333000,2,4,1
334000,3,4,1
335000,1,2,1
336000,2,4,1
337000,3,4,1
338000,1,3,1
339000,1,4,0
340000,2,4,1
341000,1,3,1
342000,1,3,1
343000,3,4,1
344000,1,4,1
345000,1,2,1
346000,3,4,0
347000,1,2,1
348000,2,4,1
349000,3,4,1
350000,2,4,1
351000,2,4,1
352000,2,4,1
353000,2,4,1
354000,1,3,1
355000,2,3,1
356000,1,4,1
357000,1,3,1
358000,1,4,0
359000,1,3,1
360000,1,4,1
361000,1,3,1
362000,1,3,0
363000,1,3,0
364000,3,4,1
365000,1,4,1
366000,2,3,1
367000,1,4,0
368000,2,3,0
369000,1,2,1
370000,2,4,1
371000,3,4,1
372000,1,2,1
373000,2,3,1
374000,2,3,1
375000,2,3,1
376000,1,4,1
377000,2,4,1
378000,2,4,1
379000,1,2,1
380000,1,2,1
381000,3,4,1
382000,1,3,1
383000,2,4,0
384000,1,4,1
385000,1,4,1
386000,2,4,1
387000,1,4,1
388000,1,3,1
389000,1,4,1
390000,1,4,0
391000,1,3,0
392000,3,4,1
393000,3,4,1
394000,3,4,1
395000,3,4,0
396000,1,2,1
397000,1,3,1
398000,2,3,1
399000,1,4,1
400000,1,2,1
401000,1,3,1
402000,2,4,1
403000,1,4,1
404000,2,4,1
405000,3,4,1
406000,1,2,0
407000,1,2,1
408000,2,4,0
409000,1,3,1
