generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,otu_9433_40CM-4-68-19,otu_5792_SG8-38,0,1.55817,0.752048,1.12267,0
0,otu_33_Anaeromyxobacteraceae,NA,0.958659,6.04214,0.949048,67.3636,0
0,otu_3418_Anaeromyxobacteraceae,otu_1610_Anaeromyxobacteraceae,0.691754,14.0647,-2.93381,1.45468,0
0,otu_1287,otu_1332_40CM-4-68-19,0.429077,21.8069,-4.19736,0.164268,0
0,otu_1279_Haliangiaceae,otu_1485,0.587708,36.7826,-6.98902,0.552046,0
0,otu_5763_Polyangiaceae,NA,0.851232,11.2545,-1.4872,1.48001,0
0,otu_7798_Polyangiaceae,otu_2422_Polyangiaceae,0.855799,18.3214,-2.03641,4.05872,0
0,otu_905_Polyangiaceae,otu_9905_Polyangiaceae,0.501601,32.4834,-5.80736,0.0978273,0
0,otu_5792_SG8-38,otu_774_Sandaracinaceae,0.208385,19.2132,-2.60606,0.0733958,0
20000,otu_9433_40CM-4-68-19,otu_5792_SG8-38,0,1.13453,-0.579749,3.53038,0
20000,otu_886_Anaeromyxobacteraceae,otu_250_Anaeromyxobacteraceae,0.650335,18.1968,-3.59648,0.0960062,0
20000,otu_1287,otu_1332_40CM-4-68-19,0.430687,37.8436,-5.28069,0.469402,0
20000,otu_1279_Haliangiaceae,otu_1485,0.590442,30.6481,-6.48068,0.205409,0
20000,otu_519_Polyangiaceae,otu_3686_Polyangiaceae,0.804652,14.2777,-0.853337,6.729,0
20000,otu_4762_Polyangiaceae,otu_9066_Polyangiaceae,0.477653,38.1425,-6.04684,0.151073,0
20000,otu_5792_SG8-38,otu_774_Sandaracinaceae,0.136589,22.5574,-2.58407,0.0653706,0
40000,otu_9433_40CM-4-68-19,otu_5792_SG8-38,0,2.64292,-0.122615,3.41824,0
40000,otu_1610_Anaeromyxobacteraceae,otu_630_Anaeromyxobacteraceae,0.699874,18.3941,-3.78467,1.31124,0
40000,otu_2107_Anaeromyxobacteraceae,otu_3394_Vulgatibacteraceae,0.439313,35.7262,-5.48752,0.23331,0
40000,otu_1267_SG8-38,otu_4932_Haliangiaceae,0.555511,36.9722,-6.64055,0.135776,0
40000,otu_958_Polyangiaceae,NA,0.98088,31.5363,1.92806,2.94176,0
40000,otu_3686_Polyangiaceae,otu_6635_Polyangiaceae,0.84301,15.4214,-0.963194,0.798329,0
40000,otu_617_Polyangiaceae,otu_3878,0.515607,25.0669,-4.93946,0.296982,0
40000,otu_5792_SG8-38,otu_774_Sandaracinaceae,0.108852,21.8665,-2.53457,0.148202,0
60000,otu_9433_40CM-4-68-19,otu_5792_SG8-38,0,2.69524,0.317885,2.60252,0
60000,otu_886_Anaeromyxobacteraceae,otu_250_Anaeromyxobacteraceae,0.674301,23.0098,-5.24677,0.135108,0
60000,otu_1026_Myxococcaceae,NA,0.856462,10.0986,-1.68626,6.30589,0
60000,otu_2107_Anaeromyxobacteraceae,otu_3394_Vulgatibacteraceae,0.43971,33.1721,-5.20719,0.10602,0
60000,otu_1279_Haliangiaceae,otu_1485,0.594382,29.97,-6.57326,0.143058,0
60000,otu_7798_Polyangiaceae,otu_2422_Polyangiaceae,0.864039,17.3728,-1.08004,5.05701,0
