generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-16.2279,-5781.57,500,1
20000,0,-24.7138,894.739,0.0266827,0.570333
40000,2,-44.8612,897.721,1.4412,0.528167
60000,2,-44.8612,899.654,3.95257,0.547111
80000,0,-24.6948,899.355,3.76422,0.538
100000,2,-52.268,1009.73,0.533799,0.62
120000,1,-37.5348,998.95,2.30856,0.525
140000,2,-52.6505,1003.15,6.56324,0.57
160000,1,-41.855,1009.38,0.212939,0.566333
180000,3,-76.9193,1107.25,1.7236,0.558
200000,3,-69.4237,1099.86,2.53031,0.476
220000,3,-68.517,1100.04,6.46313,0.537
240000,8,-131.192,1226.33,6.10875,0.554
260000,10,-154.579,1267.92,8.3834,0.572
280000,6,-115.782,1264.9,5.63473,0.505
300000,8,-145.551,1278.31,5.40979,0.5585
320000,1,-40.3655,999.324,0.0953989,0.584
340000,10,-160.757,1263.9,13.3369,0.572
360000,5,-109.062,1263.74,5.13947,0.53
380000,6,-113.183,1245.25,9.42483,0.519
400000,9,-154.779,1267.97,6.96371,0.597
420000,9,-149.541,1273.21,10.9765,0.545
440000,7,-121.555,1213.3,7.56215,0.559867
460000,6,-124.239,1234.04,8.06182,0.507
480000,8,-141.815,1287.58,8.24009,0.547
500000,7,-137.719,1296.99,6.23076,0.525
520000,9,-159.704,1275.87,8.44034,0.565
540000,6,-113.516,1254.01,6.0307,0.517
560000,7,-126.731,1248.74,10.4524,0.571
580000,8,-131.718,1247.31,7.45386,0.550167
600000,5,-107.844,1267,9.3876,0.553
620000,6,-124.098,1278.75,2.1725,0.529
640000,7,-132.695,1274.44,5.44507,0.532
660000,9,-148.067,1263.26,8.29299,0.606
680000,12,-190.177,1291.98,15.3967,0.588
700000,6,-112.491,1262.64,6.86172,0.591
720000,6,-114.599,1285.15,5.14413,0.51
740000,5,-103.289,1258.74,5.12057,0.552
760000,7,-135.689,1308.95,11.3757,0.539
780000,7,-150.168,1307.82,3.81983,0.547
800000,7,-136.152,1281.41,8.04913,0.49
820000,8,-139.865,1275.44,8.21148,0.567
840000,9,-159.132,1303.29,5.11422,0.575273
