"otu","habitat_preference","average_prop","average_abundance","habitats_present","num_present","habitat_preference_n"
"otu_1","marine_mud",0.133911555398298,17784.8686868687,3,26,1
"otu_10151","freshwater",0.0002359159209022,31.25,1,4,1
"otu_10171","freshwater",0.000388671829277201,31.25,1,4,1
"otu_1031","freshwater",0.00268175900301968,167.25,2,7,1
"otu_10357","terrestrial",0.000190257082420826,30.5,1,4,1
"otu_1053","marine_mud",0.00314664419671894,258.545454545455,1,11,1
"otu_10605","terrestrial",0.000268512195250439,16.8571428571429,1,7,1
"otu_10657","freshwater",0.000193052216423673,23.4,1,5,1
"otu_107","freshwater:terrestrial",0.0119940843570551,860.365700483092,3,36,2
"otu_10865","freshwater",0.000234662919642222,19,1,6,1
"otu_1088","freshwater:terrestrial",0.00591590820105963,157.152592592593,3,36,2
"otu_1101","marine_mud",0.00195944683763959,143.928571428571,1,14,1
"otu_111","freshwater:terrestrial",0.0265595789251969,2310.62638810465,3,41,2
"otu_11103","freshwater",0.000257614140948982,42.6,1,5,1
"otu_112","marine_mud",0.0115623117527305,1065.62121212121,3,25,1
"otu_11357","marine_mud",0.000204832710627428,26.3333333333333,2,4,1
"otu_1137","marine_mud",0.0011889100216973,97.2916666666667,2,13,1
"otu_1138","freshwater",0.00336014108336471,381.5,1,4,1
"otu_11383","marine_mud",0.000137808781961891,19.9,2,6,1
"otu_11537","freshwater",0.000227747572533618,26.25,1,4,1
"otu_1154","freshwater",0.00162093255551176,179.285714285714,2,9,1
"otu_11680","freshwater:marine_mud:terrestrial",0.000206492195072541,18.5,3,5,3
"otu_1173","freshwater",0.00210331994614915,160.797619047619,3,14,1
"otu_1179","freshwater:terrestrial",0.00359948840722651,225,3,23,2
"otu_1182","freshwater:marine_mud",0.00126410569465483,187.466666666667,2,8,2
"otu_1191","marine_mud",0.00309576769229187,367.75,1,4,1
"otu_11931","marine_mud",0.000209156449485242,23.6666666666667,2,4,1
"otu_1195","marine_mud",0.00401163933931807,364.75,1,4,1
"otu_1198","marine_mud",0.00234069166607849,208.142857142857,1,7,1
