"otu","habitat_preference","average_prop","average_abundance","habitats_present","num_present","habitat_preference_n"
"otu_1","marine_mud",0.195910025372625,29532.4761904762,3,16,1
"otu_10","freshwater:marine_mud",0.0136215711618565,2897.10714285714,3,18,2
"otu_1000","freshwater:marine_mud",0.00108578004943525,491,3,6,2
"otu_10003","freshwater:terrestrial",0.000276475675978291,44.1666666666667,2,8,2
"otu_10004","terrestrial",0.000393466215654834,32,1,4,1
"otu_10011","marine_mud:terrestrial",0.000196324558573754,44.3333333333333,2,5,2
"otu_1002","freshwater:terrestrial",0.000865702704003602,105.416666666667,3,11,2
"otu_10026","terrestrial",0.00040061685539024,40,1,4,1
"otu_10031","freshwater:terrestrial",0.000245569729377397,33.1333333333333,2,8,2
"otu_10032","freshwater:terrestrial",0.000294482516737287,41.0888888888889,3,9,2
"otu_10033","freshwater",0.000316032470145591,30.3333333333333,3,7,1
"otu_10037","freshwater",0.000289160629295397,52.8666666666667,3,7,1
"otu_1004","freshwater",0.00132456930897292,328.5,2,7,1
"otu_1005","freshwater:terrestrial",0.00278511554028432,225.166666666667,3,6,2
"otu_1006","freshwater:marine_mud",0.00338796262295144,341.5,2,5,2
"otu_10065","terrestrial",0.000621029792674186,54.125,1,8,1
"otu_1009","freshwater:terrestrial",0.00152724124814522,133.285714285714,3,11,2
"otu_10093","freshwater:terrestrial",0.000555932125835769,67.6666666666667,3,10,2
"otu_10098","marine_mud",0.00126277194531845,60.75,2,6,1
"otu_101","freshwater:terrestrial",0.00620508146419778,1231.95238095238,3,12,2
"otu_10106","freshwater:terrestrial",0.00019640086423349,24.4,2,6,2
"otu_10108","freshwater:terrestrial",0.000266426715385257,55.6666666666667,2,4,2
"otu_10119","terrestrial",0.00043296871065085,65.5,1,6,1
"otu_10121","marine_mud",0.000247261330658665,43.5,2,4,1
"otu_1015","freshwater",0.00430219802180264,344.6,1,5,1
"otu_10151","freshwater",0.000152870964120831,31.25,1,4,1
"otu_10154","freshwater:marine_mud:terrestrial",0.000242854351765548,30.2222222222222,3,7,3
"otu_1016","marine_mud",0.003212990263361,733.75,1,4,1
"otu_10161","terrestrial",0.000187160877053864,25.0238095238095,3,10,1
"otu_10162","terrestrial",0.000380940046621804,70.75,1,4,1
"otu_10163","terrestrial",0.00025405974284539,30.8,1,5,1
"otu_10167","freshwater",0.000352298703477099,43.75,2,5,1
"otu_1017","terrestrial",0.00756774218827223,702,1,4,1
"otu_10170","freshwater",0.000327268557446617,39.2,2,6,1
"otu_10174","freshwater:terrestrial",0.000183902011926518,19.8666666666667,3,7,2
"otu_10183","terrestrial",0.000291764240456418,49.5,1,6,1
"otu_10209","marine_mud",0.00035783228167449,44.8333333333333,2,4,1
"otu_1021","freshwater",0.00157151609724765,218.25,2,7,1
"otu_10217","freshwater",0.000238484868592517,30.625,2,5,1
"otu_10227","marine_mud",0.000288503682954793,34,1,7,1
"otu_10228","freshwater:terrestrial",0.000321605968314003,25.3333333333333,2,7,2
"otu_1023","terrestrial",0.00410132856559458,392.666666666667,1,9,1
"otu_10239","terrestrial",0.000448317409228152,72.6666666666667,1,6,1
"otu_1024","terrestrial",0.0019528771852713,610.4,1,5,1
"otu_10241","terrestrial",0.000398705483008984,32.75,1,4,1
"otu_10247","freshwater",0.000374704313802958,48.5,1,4,1
"otu_10249","marine_mud",0.000487917455845124,41.25,1,4,1
"otu_1026","freshwater",0.00159681632906477,205.166666666667,3,18,1
"otu_10266","freshwater",0.00123658287742062,74.3333333333333,2,4,1
"otu_10268","freshwater:terrestrial",0.000215353323454804,24.9166666666667,3,13,2
"otu_1027","freshwater",0.0013177256007494,226.2,2,7,1
"otu_10273","freshwater:terrestrial",0.000564856866216948,27.0714285714286,2,8,2
"otu_10280","freshwater",0.00018760328684335,33.5,2,4,1
"otu_10299","terrestrial",0.000313672179202522,69.2,1,5,1
"otu_103","freshwater",0.0106194929183915,1027.41666666667,2,8,1
"otu_10303","freshwater:terrestrial",0.000178487715256117,27.9107142857143,2,11,2
"otu_10304","freshwater:terrestrial",0.000277972880406991,31.7,2,6,2
"otu_1031","freshwater",0.00172043210395744,167.25,2,7,1
"otu_10310","marine_mud",0.000264212921020241,36,1,6,1
"otu_10314","terrestrial",0.000301442703229712,56,1,4,1
"otu_10332","freshwater",0.000303211042623172,47.25,1,4,1
