"otu","habitat_preference","average_prop","average_abundance","habitats_present","num_present","habitat_preference_n"
"otu_1","marine_mud",0.0643194484430612,10174.6,2,16,1
"otu_10","freshwater:marine_mud",0.0213963464767544,3839.21428571429,2,14,2
"otu_1000","freshwater:terrestrial",0.00131881739834009,291,3,4,2
"otu_10004","terrestrial",0.000537732487480466,32,1,4,1
"otu_1002","freshwater:terrestrial",0.00201325982100662,161.25,2,8,2
"otu_1003","freshwater",0.00189552435793655,184,2,7,1
"otu_10032","freshwater:terrestrial",0.00027360878065893,31.75,2,4,2
"otu_10033","freshwater",0.000215299923898184,20.3333333333333,3,6,1
"otu_1006","freshwater:marine_mud",0.00486775831577099,341.5,2,5,2
"otu_1008","freshwater",0.00246832171093557,419.75,1,4,1
"otu_1009","terrestrial",0.0053194725831895,335.8,1,5,1
"otu_10093","freshwater",0.000442319859241184,29.8333333333333,3,4,1
"otu_10106","freshwater:terrestrial",0.000239977130026216,26.3333333333333,2,4,2
"otu_10110","freshwater:terrestrial",0.000366659720713469,25.3333333333333,2,4,2
"otu_1012","terrestrial",0.00475223094648974,229.625,2,5,1
"otu_1013","terrestrial",0.00226888961919237,167.5,1,10,1
"otu_10150","freshwater",0.000307551895027578,31.25,1,4,1
"otu_10151","freshwater",0.0002359159209022,31.25,1,4,1
"otu_10158","freshwater:terrestrial",0.000279378685443642,31.25,2,4,2
"otu_10159","freshwater",0.000163903477327926,32.8333333333333,2,4,1
"otu_10163","terrestrial",0.000503278851487317,31.25,1,4,1
"otu_1017","terrestrial",0.00667251465935357,418,1,4,1
"otu_10171","freshwater",0.000388671829277201,31.25,1,4,1
"otu_10174","terrestrial",0.000848561297788851,31.25,1,4,1
"otu_10184","freshwater:terrestrial",0.000281552398854537,28.1666666666667,2,4,2
"otu_10206","freshwater",0.00036653565395412,29.8333333333333,3,4,1
"otu_10210","marine_mud",0.000305754436442076,31,1,4,1
"otu_1024","terrestrial",0.0022999925931803,415.75,1,4,1
"otu_1026","freshwater:terrestrial",0.00159120413734167,110.085714285714,3,14,2
"otu_10268","freshwater",0.000796187957108362,31.8333333333333,3,4,1
"otu_1027","freshwater",0.00270369612386081,332,1,5,1
"otu_10273","terrestrial",0.00270435650545915,30.75,1,4,1
"otu_1029","terrestrial",0.00616341041411044,414.75,1,4,1
"otu_103","freshwater",0.0145708244604367,958.166666666667,2,7,1
"otu_1030","terrestrial",0.00967352767717883,414.5,1,4,1
"otu_1031","freshwater",0.00268175900301968,167.25,2,7,1
"otu_1032","freshwater",0.00256675843080073,331.2,1,5,1
"otu_10337","freshwater:marine_mud",0.000229644472253776,22.5833333333333,2,5,2
"otu_1034","terrestrial",0.00357687264373279,165.2,1,10,1
"otu_1035","terrestrial",0.00548564155112492,330,1,5,1
"otu_10352","terrestrial",0.000578378431811788,30.5,1,4,1
"otu_10354","terrestrial",0.000309866674427372,30.5,1,4,1
"otu_10357","terrestrial",0.000190257082420826,30.5,1,4,1
"otu_10358","terrestrial",0.000403390595937012,30.5,1,4,1
"otu_1038","freshwater:terrestrial",0.00155052000775739,87.2,2,14,2
"otu_10388","freshwater",0.000428490577897499,29.3333333333333,3,4,1
"otu_10390","freshwater:terrestrial",0.000146745079405062,16,3,6,2
"otu_104","terrestrial",0.0591609013669963,2833,1,4,1
"otu_1040","marine_mud",0.00339192756158556,329.4,1,5,1
"otu_10401","terrestrial",0.000403289023145015,24.2,1,5,1
"otu_1042","freshwater",0.00244156752541662,329.4,1,5,1
"otu_10453","freshwater",0.000684688111844926,30,1,4,1
"otu_10463","terrestrial",0.000705666926283926,30,1,4,1
"otu_10470","terrestrial",0.000423104853017293,30,1,4,1
"otu_1048","marine_mud",0.0075187278280064,409.5,1,4,1
"otu_1049","marine_mud",0.00185961273749511,273,1,6,1
"otu_10491","terrestrial",0.000572108411821063,30,1,4,1
"otu_1050","freshwater:marine_mud",0.00314804959796997,259.75,2,6,2
"otu_1053","marine_mud",0.00499787532600006,326.4,1,5,1
"otu_10558","freshwater",0.000234123048148441,35.8333333333333,3,4,1
"otu_1056","terrestrial",0.00494719115757315,406.75,1,4,1
"otu_1058","freshwater",0.0020622898452341,197.444444444444,3,8,1
"otu_10589","terrestrial",0.000326664317320741,29.5,1,4,1
"otu_10599","marine_mud",0.000340046157200237,29.5,1,4,1
"otu_106","terrestrial",0.0303416004031906,813.714285714286,2,9,1
"otu_10604","terrestrial",0.000507409436245414,23.6,1,5,1
"otu_10605","terrestrial",0.000268512195250439,16.8571428571429,1,7,1
"otu_1062","freshwater",0.00164123302348607,154.214285714286,2,8,1
"otu_1063","terrestrial",0.0055133690451192,404.75,1,4,1
"otu_1065","freshwater",0.00142861878302541,151,2,7,1
"otu_10657","freshwater",0.000193052216423673,23.4,1,5,1
"otu_1066","freshwater:terrestrial",0.0015871565074033,122.357142857143,2,8,2
"otu_10660","marine_mud",0.00062380518037937,29.25,1,4,1
"otu_10669","freshwater:terrestrial",0.000233344995927034,29.5,2,4,2
"otu_1067","freshwater:terrestrial",0.00283802947701516,316.416666666667,2,7,2
"otu_10670","freshwater",0.000317080886415409,29.25,1,4,1
"otu_1069","marine_mud",0.00264216918187199,269.166666666667,1,6,1
"otu_10695","terrestrial",0.000415109142129002,23.4,1,5,1
"otu_107","terrestrial",0.020959953419539,1577.42857142857,1,7,1
"otu_1071","terrestrial",0.00289899148981416,201.375,1,8,1
"otu_1072","terrestrial",0.00349603912293019,230.142857142857,1,7,1
"otu_1073","marine_mud",0.00369387025562984,282.833333333333,2,4,1
"otu_1075","marine_mud",0.00129450104942284,134.166666666667,1,12,1
"otu_1077","marine_mud",0.00598679517975908,321.6,1,5,1
"otu_1078","freshwater",0.00087625817069865,146.083333333333,2,7,1
"otu_1080","terrestrial",0.0024544019606579,229.428571428571,1,7,1
"otu_10802","terrestrial",0.00254823954437992,28.75,1,4,1
"otu_1081","freshwater:terrestrial",0.00162537692746745,166.5,3,7,2
"otu_10813","terrestrial",0.000400603762539285,28.75,1,4,1
"otu_1083","terrestrial",0.017921352317843,400.5,1,4,1
"otu_1084","marine_mud",0.00205754179401819,320.2,1,5,1
"otu_10865","freshwater",0.000234662919642222,19,1,6,1
"otu_10868","freshwater:terrestrial",0.000305966344952175,22.75,2,5,2
"otu_10875","freshwater",0.000546863699794702,28,3,4,1
"otu_1088","terrestrial",0.00314633471098444,265.5,1,6,1
"otu_1089","terrestrial",0.00353784257354747,265.5,1,6,1
"otu_10896","freshwater:terrestrial",0.000176191317766102,21.5,2,5,2
"otu_109","marine_mud",0.00872533500117059,937.25,2,7,1
"otu_1090","freshwater:terrestrial",0.00170204994243127,101.444444444444,3,11,2
"otu_1094","freshwater",0.00130755847343587,143.25,2,8,1
"otu_10944","freshwater:marine_mud",0.000182013436709996,28.25,2,4,2
"otu_10946","freshwater",0.000198411366694951,28.25,1,4,1
"otu_1097","marine_mud",0.00734711747740843,393.75,1,4,1
"otu_10970","terrestrial",0.000339162994835513,22.6,1,5,1
"otu_10976","terrestrial",0.000468016773062746,28.25,1,4,1
"otu_11","marine_mud",0.0256583084066642,4202,1,12,1
"otu_110","freshwater:terrestrial",0.00708473132570902,586.222222222222,3,18,2
"otu_1101","marine_mud",0.00277737596592314,224.571428571429,1,7,1
"otu_11029","terrestrial",0.00070329541554243,28,1,4,1
"otu_1103","marine_mud",0.00405279135593503,314,1,5,1
"otu_11032","marine_mud",0.000211380122033016,28,1,4,1
"otu_1105","freshwater:terrestrial",0.00304177765075938,208.125,2,5,2
"otu_11053","marine_mud",0.000549661326384061,28,1,4,1
"otu_1109","terrestrial",0.00835886215471637,312.4,1,5,1
"otu_11095","freshwater:marine_mud",0.000256762582457017,22,2,5,2
"otu_111","marine_mud",0.0367502798617557,2702,1,4,1
"otu_11103","freshwater",0.000157543077959688,27.75,1,4,1
"otu_1111","freshwater",0.00106862226295692,153.321428571429,2,9,1
"otu_11119","terrestrial",0.000412149976017083,27.75,1,4,1
"otu_11128","terrestrial",0.000391032118640622,27.75,1,4,1
"otu_1113","freshwater",0.00167225390850621,169,2,6,1
"otu_1116","marine_mud",0.00228563217588719,222,1,7,1
