"otu","habitat_preference","average_prop","average_abundance","habitats_present","num_present","habitat_preference_n"
"otu_1","marine_mud",0.201720317348844,29532.4761904762,3,16,1
"otu_10","freshwater:marine_mud",0.0190864741892612,3839.21428571429,2,14,2
"otu_1000","freshwater:marine_mud",0.0013411013135138,483.833333333333,3,6,2
"otu_10004","terrestrial",0.000456788954983588,32,1,4,1
"otu_10013","terrestrial",0.000286807999813743,43.9642857142857,2,9,1
"otu_1002","freshwater:terrestrial",0.00160929083784683,161.25,2,8,2
"otu_10032","freshwater",0.000266282169795623,31.0555555555556,3,6,1
"otu_10033","freshwater",0.000179384306786089,20.3333333333333,3,6,1
"otu_10037","freshwater",0.000333463060620725,49.8333333333333,3,4,1
"otu_1004","freshwater",0.00337607747989013,662.75,1,4,1
"otu_1005","freshwater:terrestrial",0.00375284895735577,221.333333333333,3,5,2
"otu_1006","freshwater:marine_mud",0.00404385679881853,341.5,2,5,2
"otu_10065","terrestrial",0.0010348188001058,42.25,1,4,1
"otu_1009","freshwater:terrestrial",0.0018305446222079,173.9,2,7,2
"otu_10093","freshwater:marine_mud",0.000451081479029367,38.1666666666667,3,5,2
"otu_10098","marine_mud",0.00166791751928753,60.75,2,6,1
"otu_101","freshwater:terrestrial",0.0144700799171504,1481.5,2,7,2
"otu_1010","terrestrial",0.00496957749520823,553.8,1,5,1
"otu_10106","freshwater:terrestrial",0.000238926773960115,24.4,2,6,2
"otu_10113","freshwater",0.000250383060492799,36.875,2,5,1
"otu_10121","marine_mud",0.000254422634298266,43.5,2,4,1
"otu_10128","terrestrial",0.000325810255595394,59.5,2,6,1
"otu_1015","freshwater",0.00513391567145984,344.6,1,5,1
"otu_10150","freshwater",0.000453722564956006,37.125,2,5,1
"otu_10151","freshwater",0.000192660545857729,31.25,1,4,1
"otu_10154","freshwater:terrestrial",0.00043047996447691,37.3333333333333,3,5,2
"otu_10158","freshwater:terrestrial",0.000128170976430569,31.25,2,4,2
"otu_10159","freshwater",0.000138033126017972,32.8333333333333,2,4,1
"otu_1016","marine_mud",0.00361890925698387,733.75,1,4,1
"otu_10163","terrestrial",0.000354098086288168,31.25,1,4,1
"otu_10167","freshwater",0.000411800875578963,43.75,2,5,1
"otu_1017","terrestrial",0.00886491294615604,702,1,4,1
"otu_10170","freshwater",0.000185340221771585,33.5,1,4,1
"otu_10173","terrestrial",0.00070614626711065,58.25,1,4,1
"otu_10174","terrestrial",0.00052865619295251,31.25,1,4,1
"otu_10183","terrestrial",0.000452627448841222,49.8,1,5,1
"otu_10206","freshwater:terrestrial",0.000459036856459375,35.6111111111111,3,6,2
"otu_1021","freshwater",0.00320674463104097,407.5,1,6,1
"otu_10210","marine_mud",0.000216228630028755,27.5,2,5,1
"otu_10213","freshwater:terrestrial",0.000741627056695564,40.8333333333333,2,4,2
"otu_10217","freshwater",0.000258824265201682,30.625,2,5,1
"otu_10228","freshwater:terrestrial",0.000608259658083841,27.625,2,5,2
