"sample","habitat_group","location","clust","sample_depth","n_species","freshwater:marine_mud:terrestrial","freshwater:terrestrial","freshwater","marine_mud"
"sample_s6","woodland_oak","Helford","terrestrial",768183,15,11,4,0,0
"sample_s33","reservoir","Looe","freshwater",434071,15,11,3,1,0
"sample_s72","beach_seaweed","Helford","marine_mud",347750,7,6,0,0,1
"sample_s69","reservoir","Fal","freshwater",352173,15,11,3,1,0
"sample_s35","river","Fowey","freshwater",317673,16,12,3,1,0
"sample_s24","beach_subtidal","Looe","marine_mud",241869,17,12,3,0,2
"sample_s30","estuarine mud_full saline","Fal","marine_mud",210385,14,11,1,0,2
"sample_s23","estuarine mud_full saline","Looe","marine_mud",212429,13,11,0,0,2
"sample_s55","estuarine mud_oligohaline","Fal","marine_mud",291699,17,12,3,0,2
"sample_s53","estuarine mud_oligohaline","Tamar","marine_mud",400016,17,12,2,0,3
"sample_s42","beach_subtidal","Tamar","marine_mud",274198,14,12,0,0,2
"sample_s11","woodland_pine","Fal","terrestrial",273268,9,6,3,0,0
"sample_s62","woodland_pine","Camel","terrestrial",268630,16,12,4,0,0
"sample_s39","rock_samphire","Fowey","terrestrial",402876,17,11,5,0,1
"sample_s32","woodland_oak","Fowey","terrestrial",229737,17,12,5,0,0
"sample_s50","woodland_oak","Tamar","terrestrial",219789,15,11,4,0,0
"sample_s60","beach_seaweed","Camel","marine_mud",360545,16,12,2,0,2
"sample_s67","marine mud_full saline","Fal","marine_mud",348403,15,12,1,0,2
"sample_s46","pasture","Tamar","terrestrial",160321,13,12,0,0,1
"sample_s36","field_wheat","Fowey","terrestrial",195285,14,11,3,0,0
"sample_s51","river","Tamar","freshwater",174974,18,12,5,1,0
"sample_s38","estuarine mud_full saline","Fowey","marine_mud",239982,14,12,0,0,2
"sample_s49","woodland_pine","Tamar","terrestrial",304089,9,6,3,0,0
"sample_s22","river","Looe","freshwater",328066,19,12,5,1,1
"sample_s52","estuarine mud_full saline","Tamar","marine_mud",119130,14,12,0,0,2
"sample_s17","woodland_pine","Helford","terrestrial",128142,11,8,3,0,0
"sample_s26","field_wheat","Looe","terrestrial",235199,17,12,5,0,0
"sample_s34","pasture","Looe","terrestrial",184862,16,12,4,0,0
"sample_s56","river","Camel","freshwater",177088,15,12,3,0,0
"sample_s66","marine mud_full saline","Fal","marine_mud",180627,14,12,1,0,1
"sample_s65","reservoir","Camel","freshwater",105662,16,12,4,0,0
"sample_s12","reservoir","Helford","freshwater",169176,17,12,4,1,0
"sample_s16","estuarine mud_full saline","Helford","marine_mud",91801,14,12,0,0,2
"sample_s2","pasture","Fal","terrestrial",99314,9,8,1,0,0
"sample_s59","beach_subtidal","Camel","marine_mud",107301,15,12,1,0,2
"sample_s54","river","Fal","freshwater",117448,17,12,5,0,0
"sample_s58","field_wheat","Tamar","terrestrial",143115,15,12,3,0,0
"sample_s68","marine mud_full saline","Fal","marine_mud",122940,13,12,0,0,1
"sample_s5","pasture","Helford","terrestrial",94567,11,9,2,0,0
"sample_s18","beach_subtidal","Helford","marine_mud",85154,15,12,1,0,2
"sample_s65b","marine mud_full saline","Fal","marine_mud",127132,15,12,1,0,2
"sample_s57","pasture","Camel","terrestrial",108001,16,11,4,1,0
"sample_s48","field_wheat","Camel","terrestrial",104272,15,11,4,0,0
"sample_s13","river","Helford","freshwater",154371,17,12,4,1,0
"sample_s61","woodland_oak","Camel","terrestrial",93188,17,12,5,0,0
"sample_s8","field_wheat","Helford","terrestrial",94072,14,11,3,0,0
"sample_s31","woodland_pine","Fowey","terrestrial",86643,9,6,3,0,0
"sample_s40","pasture","Fowey","terrestrial",76547,14,11,3,0,0
"sample_s9","reservoir","Fal","freshwater",55701,13,11,2,0,0
"sample_s20","estuarine mud_oligohaline","Looe","marine_mud",131051,17,12,2,0,3
"sample_s28","beach_seaweed","Helford","marine_mud",134654,13,11,0,0,2
"sample_s29","rock_samphire","Helford","terrestrial",120396,15,12,3,0,0
"sample_s43","rock_samphire","Tamar","terrestrial",74827,16,11,3,0,2
"sample_s27","beach_subtidal","Fal","marine_mud",48290,12,11,0,0,1
"sample_s4","field_wheat","Fal","terrestrial",62940,16,12,4,0,0
"sample_s37","estuarine mud_oligohaline","Fowey","marine_mud",76771,16,12,1,0,3
"sample_s73","rock_samphire","Helford","terrestrial",71263,13,10,1,0,2
"sample_s64","estuarine mud_oligohaline","Camel","marine_mud",130722,17,12,2,0,3
"sample_s14","estuarine mud_oligohaline","Helford","marine_mud",102910,20,12,4,1,3
"sample_s21","woodland_oak","Looe","terrestrial",49149,16,12,4,0,0
"sample_s71","rock_samphire","Fal","terrestrial",40865,17,12,3,0,2
"sample_s1","woodland_oak","Fal","terrestrial",33655,10,8,2,0,0
"sample_s70","beach_seaweed","Fal","marine_mud",954,6,5,0,0,1
