"sample","habitat_group","location","clust","sample_depth","n_species","freshwater:terrestrial","terrestrial","freshwater","freshwater:marine_mud:terrestrial","freshwater:marine_mud","marine_mud","marine_mud:terrestrial"
"sample_s72","beach_seaweed","Helford","marine_mud",322536,14,1,0,0,1,0,12,0
"sample_s33","reservoir","Looe","freshwater",431294,248,182,1,51,3,11,0,0
"sample_s69","reservoir","Fal","freshwater",347275,244,171,1,49,3,18,2,0
"sample_s35","river","Fowey","freshwater",317013,267,175,0,58,5,22,7,0
"sample_s53","estuarine mud_oligohaline","Tamar","marine_mud",362528,310,100,1,9,8,32,156,4
"sample_s30","estuarine mud_full saline","Fal","marine_mud",209799,173,11,1,1,5,20,130,5
"sample_s42","beach_subtidal","Tamar","marine_mud",269774,166,11,0,1,5,15,131,3
"sample_s23","estuarine mud_full saline","Looe","marine_mud",211107,219,32,1,1,4,21,155,5
"sample_s24","beach_subtidal","Looe","marine_mud",240561,176,13,1,0,5,18,135,4
"sample_s67","marine mud_full saline","Fal","marine_mud",332155,228,5,1,0,4,15,197,6
"sample_s49","woodland_pine","Tamar","terrestrial",303911,106,98,6,1,0,0,1,0
"sample_s55","estuarine mud_oligohaline","Fal","marine_mud",287539,294,79,0,4,10,29,167,5
"sample_s46","pasture","Tamar","terrestrial",156911,187,19,0,0,4,14,144,6
"sample_s6","woodland_oak","Helford","terrestrial",767180,297,248,13,12,8,9,0,7
"sample_s11","woodland_pine","Fal","terrestrial",271844,95,90,3,1,1,0,0,0
"sample_s39","rock_samphire","Fowey","terrestrial",397214,257,202,12,6,8,7,14,8
"sample_s38","estuarine mud_full saline","Fowey","marine_mud",229544,191,7,2,2,5,18,151,6
"sample_s36","field_wheat","Fowey","terrestrial",195108,212,178,15,2,8,5,2,2
"sample_s66","marine mud_full saline","Fal","marine_mud",171862,244,8,0,0,9,18,200,9
"sample_s60","beach_seaweed","Camel","marine_mud",345412,132,4,0,1,3,11,111,2
"sample_s51","river","Tamar","freshwater",173729,300,185,0,72,10,30,2,1
"sample_s68","marine mud_full saline","Fal","marine_mud",120056,205,5,0,1,4,14,173,8
"sample_s59","beach_subtidal","Camel","marine_mud",106409,158,6,0,2,5,13,129,3
"sample_s22","river","Looe","freshwater",326673,333,211,0,77,10,32,3,0
"sample_s62","woodland_pine","Camel","terrestrial",266539,231,176,12,7,12,8,11,5
"sample_s52","estuarine mud_full saline","Tamar","marine_mud",118228,137,7,0,0,2,13,114,1
"sample_s65","reservoir","Camel","freshwater",103421,233,130,0,55,8,33,6,1
"sample_s56","river","Camel","freshwater",176491,340,230,2,66,10,29,2,1
"sample_s12","reservoir","Helford","freshwater",163167,259,198,0,45,4,12,0,0
"sample_s32","woodland_oak","Fowey","terrestrial",228967,237,205,12,9,3,4,2,2
