"sample","habitat_group","location","clust","sample_depth","n_species","freshwater:terrestrial","marine_mud:terrestrial","terrestrial","freshwater","freshwater:marine_mud:terrestrial","freshwater:marine_mud","marine_mud"
"sample_s72","beach_seaweed","Helford","marine_mud",314572,12,1,0,0,0,1,0,10
"sample_s33","reservoir","Looe","freshwater",430039,307,222,0,1,70,2,12,0
"sample_s69","reservoir","Fal","freshwater",344112,307,209,0,1,74,2,19,2
"sample_s53","estuarine mud_oligohaline","Tamar","marine_mud",359554,359,119,3,2,11,5,38,181
"sample_s30","estuarine mud_full saline","Fal","marine_mud",209157,190,10,5,2,1,2,13,157
"sample_s35","river","Fowey","freshwater",316735,334,217,0,2,85,5,19,6
"sample_s42","beach_subtidal","Tamar","marine_mud",268269,194,11,5,0,1,4,17,156
"sample_s23","estuarine mud_full saline","Looe","marine_mud",210273,246,35,4,1,2,2,17,185
"sample_s24","beach_subtidal","Looe","marine_mud",239836,194,9,5,4,0,2,16,158
"sample_s49","woodland_pine","Tamar","terrestrial",303911,124,109,0,12,2,0,0,1
"sample_s55","estuarine mud_oligohaline","Fal","marine_mud",286309,343,92,6,0,5,5,31,204
"sample_s67","marine mud_full saline","Fal","marine_mud",327048,258,4,7,0,0,2,12,233
"sample_s46","pasture","Tamar","terrestrial",156568,216,17,4,2,1,2,15,175
"sample_s6","woodland_oak","Helford","terrestrial",765854,399,327,4,38,18,5,7,0
"sample_s11","woodland_pine","Fal","terrestrial",270910,112,103,0,7,1,1,0,0
"sample_s39","rock_samphire","Fowey","terrestrial",395475,302,226,10,29,12,6,7,12
"sample_s38","estuarine mud_full saline","Fowey","marine_mud",226670,217,8,3,1,0,3,14,188
"sample_s66","marine mud_full saline","Fal","marine_mud",164590,264,6,8,0,1,5,18,226
"sample_s36","field_wheat","Fowey","terrestrial",194816,278,221,3,36,6,5,4,3
"sample_s60","beach_seaweed","Camel","marine_mud",343022,156,4,2,0,0,3,10,137
"sample_s59","beach_subtidal","Camel","marine_mud",105598,185,5,2,0,1,3,12,162
"sample_s22","river","Looe","freshwater",325755,425,280,1,0,104,6,28,6
"sample_s62","woodland_pine","Camel","terrestrial",265781,273,215,4,26,5,8,6,9
"sample_s52","estuarine mud_full saline","Tamar","marine_mud",118083,152,6,1,1,0,1,10,133
"sample_s12","reservoir","Helford","freshwater",161754,346,253,0,2,76,2,12,1
"sample_s26","field_wheat","Looe","terrestrial",232901,351,268,7,40,17,7,10,2
"sample_s56","river","Camel","freshwater",176276,437,296,1,7,96,8,28,1
"sample_s68","marine mud_full saline","Fal","marine_mud",118519,227,5,3,0,1,1,10,207
"sample_s57","pasture","Camel","terrestrial",107729,240,204,3,20,9,1,3,0
"sample_s51","river","Tamar","freshwater",171907,372,237,0,2,97,5,30,1
"sample_s43","rock_samphire","Tamar","terrestrial",73977,199,114,9,11,4,6,8,47
"sample_s32","woodland_oak","Fowey","terrestrial",225854,319,273,1,25,13,2,4,1
"sample_s65","reservoir","Camel","freshwater",102347,269,152,1,0,71,4,35,6
"sample_s18","beach_subtidal","Helford","marine_mud",83418,187,11,3,0,1,1,14,157
"sample_s17","woodland_pine","Helford","terrestrial",127610,133,117,0,13,1,1,0,1
"sample_s16","estuarine mud_full saline","Helford","marine_mud",90928,196,8,3,0,0,1,14,170
"sample_s37","estuarine mud_oligohaline","Fowey","marine_mud",74948,269,67,4,2,7,5,33,151
"sample_s50","woodland_oak","Tamar","terrestrial",218248,271,239,1,22,5,2,1,1
"sample_s9","reservoir","Fal","freshwater",54866,233,144,0,0,69,3,16,1
"sample_s58","field_wheat","Tamar","terrestrial",142773,292,245,5,29,6,4,2,1
"sample_s64","estuarine mud_oligohaline","Camel","marine_mud",120711,390,140,3,5,31,9,39,163
"sample_s65b","marine mud_full saline","Fal","marine_mud",117992,260,3,8,0,0,3,12,234
"sample_s29","rock_samphire","Helford","terrestrial",118998,223,160,8,21,7,5,6,16
"sample_s54","river","Fal","freshwater",116527,377,262,0,0,82,5,27,1
"sample_s27","beach_subtidal","Fal","marine_mud",47262,182,3,4,0,0,2,12,161
"sample_s28","beach_seaweed","Helford","marine_mud",106941,76,3,2,0,0,0,4,67
"sample_s13","river","Helford","freshwater",151313,421,287,0,3,102,3,25,1
"sample_s2","pasture","Fal","terrestrial",99127,199,181,0,15,3,0,0,0
"sample_s34","pasture","Looe","terrestrial",182941,337,276,3,31,20,1,5,1
"sample_s20","estuarine mud_oligohaline","Looe","marine_mud",124367,402,166,3,1,26,5,39,162
"sample_s73","rock_samphire","Helford","terrestrial",67055,106,59,4,6,0,3,3,31
"sample_s1","woodland_oak","Fal","terrestrial",33573,97,88,1,8,0,0,0,0
"sample_s31","woodland_pine","Fowey","terrestrial",84653,112,97,0,12,3,0,0,0
"sample_s8","field_wheat","Helford","terrestrial",93637,325,265,5,37,9,2,6,1
"sample_s48","field_wheat","Camel","terrestrial",103562,283,240,3,29,5,1,3,2
"sample_s14","estuarine mud_oligohaline","Helford","marine_mud",97749,503,227,9,9,50,7,40,161
"sample_s5","pasture","Helford","terrestrial",94428,243,214,1,22,3,2,1,0
"sample_s40","pasture","Fowey","terrestrial",76398,233,207,0,21,2,1,2,0
"sample_s71","rock_samphire","Fal","terrestrial",39069,173,111,8,17,4,4,8,21
"sample_s61","woodland_oak","Camel","terrestrial",92892,278,241,1,21,5,6,4,0
"sample_s21","woodland_oak","Looe","terrestrial",43812,226,202,1,13,8,1,0,1
"sample_s4","field_wheat","Fal","terrestrial",62353,307,248,3,35,12,4,4,1
"sample_s70","beach_seaweed","Fal","marine_mud",935,13,4,2,0,0,1,0,6
