"sample","habitat_group","location","clust","sample_depth","n_species","freshwater:terrestrial","marine_mud:terrestrial","terrestrial","freshwater:marine_mud:terrestrial","freshwater","freshwater:marine_mud","marine_mud"
"sample_s72","beach_seaweed","Helford","marine_mud",284977,11,1,0,0,1,0,0,9
"sample_s33","reservoir","Looe","freshwater",426096,361,253,0,3,1,91,13,0
"sample_s53","estuarine mud_oligohaline","Tamar","marine_mud",353412,382,124,4,4,7,13,38,192
"sample_s30","estuarine mud_full saline","Fal","marine_mud",209047,220,6,5,2,4,2,9,192
"sample_s42","beach_subtidal","Tamar","marine_mud",263679,218,10,2,0,4,2,14,186
"sample_s69","reservoir","Fal","freshwater",342361,375,245,0,1,2,105,20,2
"sample_s35","river","Fowey","freshwater",315533,405,256,0,0,6,120,17,6
"sample_s49","woodland_pine","Tamar","terrestrial",303377,140,105,1,31,0,2,0,1
"sample_s55","estuarine mud_oligohaline","Fal","marine_mud",283373,377,93,7,0,6,13,26,232
"sample_s46","pasture","Tamar","terrestrial",154681,228,16,1,1,3,1,12,194
"sample_s6","woodland_oak","Helford","terrestrial",763592,518,409,2,68,6,28,5,0
"sample_s11","woodland_pine","Fal","terrestrial",270501,132,102,0,29,1,0,0,0
"sample_s24","beach_subtidal","Looe","marine_mud",239127,212,9,3,2,2,1,11,184
"sample_s38","estuarine mud_full saline","Fowey","marine_mud",224581,235,4,1,1,5,2,9,213
"sample_s39","rock_samphire","Fowey","terrestrial",388595,357,257,11,49,7,18,2,13
"sample_s23","estuarine mud_full saline","Looe","marine_mud",209654,265,33,4,0,4,6,13,205
"sample_s66","marine mud_full saline","Fal","marine_mud",158857,306,5,5,2,3,1,15,275
"sample_s36","field_wheat","Fowey","terrestrial",194453,339,264,1,52,6,11,3,2
"sample_s67","marine mud_full saline","Fal","marine_mud",318664,301,3,6,0,2,0,11,279
"sample_s60","beach_seaweed","Camel","marine_mud",333518,181,4,2,0,1,0,8,166
"sample_s59","beach_subtidal","Camel","marine_mud",103851,219,4,0,0,4,1,10,200
"sample_s22","river","Looe","freshwater",324929,534,336,1,3,5,153,33,3
"sample_s52","estuarine mud_full saline","Tamar","marine_mud",117805,167,6,1,1,0,0,8,151
"sample_s62","woodland_pine","Camel","terrestrial",265372,327,244,6,49,7,9,3,9
