"sample","habitat_group_16s","location","clust","sample_depth","n_species","freshwater","freshwater:terrestrial","marine_mud:terrestrial","terrestrial","freshwater:marine_mud","freshwater:marine_mud:terrestrial","marine_mud"
"sample_s53","estuarine mud_oligohaline","Tamar","marine_mud",257705,131,4,31,2,1,14,3,76
"sample_s23","estuarine mud_full saline","Looe","marine_mud",182977,84,1,12,1,0,5,1,64
"sample_s42","beach_subtidal","Tamar","marine_mud",164598,48,0,1,0,0,5,1,41
"sample_s33","reservoir","Looe","freshwater",154613,59,12,45,0,0,2,0,0
"sample_s30","estuarine mud_full saline","Fal","marine_mud",158597,53,0,1,0,0,2,0,50
"sample_s35","river","Fowey","freshwater",200742,147,57,71,1,0,12,1,5
"sample_s49","woodland_pine","Tamar","terrestrial",175357,31,1,24,1,5,0,0,0
"sample_s55","estuarine mud_oligohaline","Fal","marine_mud",241639,143,4,25,2,0,11,2,99
"sample_s24","beach_subtidal","Looe","marine_mud",193302,56,0,1,0,0,3,0,52
"sample_s46","pasture","Tamar","marine_mud",137368,91,1,6,1,1,4,1,77
"sample_s69","reservoir","Fal","freshwater",159660,82,26,47,0,0,7,1,1
"sample_s67","marine mud_full saline","Fal","marine_mud",192991,69,0,1,0,0,4,0,64
"sample_s38","estuarine mud_full saline","Fowey","marine_mud",142836,66,0,2,0,1,4,1,58
"sample_s6","woodland_oak","Helford","terrestrial",340355,146,6,110,1,19,4,5,1
"sample_s22","river","Looe","freshwater",240888,199,80,95,0,1,19,4,0
"sample_s60","beach_seaweed","Camel","marine_mud",108802,57,0,0,0,0,5,1,51
"sample_s52","estuarine mud_full saline","Tamar","marine_mud",101180,51,0,2,0,0,1,0,48
"sample_s11","woodland_pine","Fal","terrestrial",68227,24,0,17,1,6,0,0,0
"sample_s59","beach_subtidal","Camel","marine_mud",60193,50,0,1,0,0,3,1,45
"sample_s72","beach_seaweed","Helford","marine_mud",53562,2,0,0,0,0,0,0,2
"sample_s56","river","Camel","freshwater",131881,194,79,94,0,0,19,2,0
"sample_s36","field_wheat","Fowey","terrestrial",91327,98,2,78,1,13,2,2,0
"sample_s12","reservoir","Helford","freshwater",64672,80,25,52,0,0,3,0,0
"sample_s18","beach_subtidal","Helford","marine_mud",62047,58,1,2,0,0,6,0,49
"sample_s65","reservoir","Camel","freshwater",51189,79,27,37,0,0,14,1,0
"sample_s37","estuarine mud_oligohaline","Fowey","marine_mud",57808,124,5,24,2,0,10,3,80
"sample_s68","marine mud_full saline","Fal","marine_mud",63236,64,0,0,2,0,4,0,58
"sample_s32","woodland_oak","Fowey","terrestrial",95704,97,5,83,0,7,0,1,1
"sample_s51","river","Tamar","freshwater",117097,168,58,87,0,0,20,3,0
"sample_s16","estuarine mud_full saline","Helford","marine_mud",72348,68,0,2,1,0,5,0,60
"sample_s50","woodland_oak","Tamar","terrestrial",61104,75,3,60,1,10,0,1,0
"sample_s64","estuarine mud_oligohaline","Camel","marine_mud",72028,159,21,41,1,1,19,2,74
