"sample","habitat_group","location","clust","sample_depth","n_species","freshwater","freshwater:marine_mud","freshwater:terrestrial","terrestrial","freshwater:marine_mud:terrestrial","marine_mud","marine_mud:terrestrial"
"sample_s53","estuarine mud_oligohaline","Tamar","marine_mud",289227,394,39,33,101,16,4,194,7
"sample_s49","woodland_pine","Tamar","terrestrial",260468,152,4,1,75,72,0,0,0
"sample_s46","pasture","Tamar","terrestrial",148367,220,3,2,8,5,1,196,5
"sample_s55","estuarine mud_oligohaline","Fal","marine_mud",268293,398,25,34,72,14,7,238,8
"sample_s6","woodland_oak","Helford","terrestrial",706676,1101,58,12,751,269,6,0,5
"sample_s42","beach_subtidal","Tamar","marine_mud",228750,176,1,0,3,0,0,170,2
"sample_s11","woodland_pine","Fal","terrestrial",210508,133,0,1,67,64,1,0,0
"sample_s33","reservoir","Looe","freshwater",365102,494,201,10,274,9,0,0,0
"sample_s38","estuarine mud_full saline","Fowey","marine_mud",197023,221,0,1,1,1,1,215,2
"sample_s23","estuarine mud_full saline","Looe","marine_mud",203204,259,10,9,19,0,1,217,3
"sample_s24","beach_subtidal","Looe","marine_mud",232269,234,0,3,3,2,1,222,3
"sample_s30","estuarine mud_full saline","Fal","marine_mud",204886,187,0,0,3,2,0,180,2
"sample_s22","river","Looe","freshwater",311665,991,407,64,496,16,6,1,1
"sample_s60","beach_seaweed","Camel","marine_mud",220812,187,0,0,2,0,0,185,0
"sample_s35","river","Fowey","freshwater",295042,632,312,45,264,5,2,4,0
"sample_s72","beach_seaweed","Helford","marine_mud",59161,4,0,0,0,1,0,3,0
"sample_s39","rock_samphire","Fowey","terrestrial",331112,488,8,4,289,167,4,3,13
"sample_s69","reservoir","Fal","freshwater",294866,517,236,23,251,4,2,1,0
"sample_s62","woodland_pine","Camel","terrestrial",231934,487,15,3,312,148,4,1,4
"sample_s52","estuarine mud_full saline","Tamar","marine_mud",113413,163,0,1,3,1,1,156,1
"sample_s59","beach_subtidal","Camel","marine_mud",92268,214,0,0,2,0,0,212,0
