"sample","habitat_group_16s","location","clust","sample_depth","n_species","freshwater","freshwater:terrestrial","terrestrial","freshwater:marine_mud","freshwater:marine_mud:terrestrial","marine_mud","marine_mud:terrestrial"
"sample_s53","estuarine mud_oligohaline","Tamar","marine_mud",257705,207,18,27,4,31,1,126,0
"sample_s49","woodland_pine","Tamar","terrestrial",175357,46,1,15,30,0,0,0,0
"sample_s55","estuarine mud_oligohaline","Fal","marine_mud",241639,217,14,21,6,24,0,152,0
"sample_s46","pasture","Tamar","marine_mud",137368,123,2,1,2,3,1,114,0
"sample_s42","beach_subtidal","Tamar","marine_mud",164598,92,0,1,0,0,0,91,0
"sample_s38","estuarine mud_full saline","Fowey","marine_mud",142836,111,0,3,1,0,0,107,0
"sample_s33","reservoir","Looe","freshwater",154613,121,72,42,0,7,0,0,0
"sample_s30","estuarine mud_full saline","Fal","marine_mud",158597,85,0,1,0,0,0,84,0
"sample_s23","estuarine mud_full saline","Looe","marine_mud",182977,138,5,4,0,11,1,117,0
"sample_s24","beach_subtidal","Looe","marine_mud",193302,119,0,1,0,0,0,118,0
"sample_s6","woodland_oak","Helford","terrestrial",340355,438,22,231,171,10,3,0,1
"sample_s22","river","Looe","freshwater",240888,515,294,159,4,57,1,0,0
"sample_s35","river","Fowey","freshwater",200742,335,202,85,2,42,0,4,0
"sample_s11","woodland_pine","Fal","terrestrial",68227,33,1,8,24,0,0,0,0
"sample_s60","beach_seaweed","Camel","marine_mud",108802,97,0,0,0,0,0,97,0
"sample_s72","beach_seaweed","Helford","marine_mud",53562,2,0,0,0,0,0,2,0
"sample_s52","estuarine mud_full saline","Tamar","marine_mud",101180,82,0,0,0,0,1,80,1
"sample_s67","marine mud_full saline","Fal","marine_mud",192991,121,0,0,1,0,0,120,0
"sample_s59","beach_subtidal","Camel","marine_mud",60193,102,0,0,1,0,0,101,0
"sample_s65","reservoir","Camel","freshwater",51189,164,124,21,0,19,0,0,0
"sample_s32","woodland_oak","Fowey","terrestrial",95704,238,18,143,75,1,0,0,1
"sample_s16","estuarine mud_full saline","Helford","marine_mud",72348,123,1,0,0,2,0,119,1
"sample_s68","marine mud_full saline","Fal","marine_mud",63236,111,0,0,1,0,0,110,0
"sample_s37","estuarine mud_oligohaline","Fowey","marine_mud",57808,195,22,17,1,22,0,133,0
"sample_s50","woodland_oak","Tamar","terrestrial",61104,146,1,81,63,0,0,0,1
