"tip_label","kingdom","phylum","class","order","family","genus","species","order2","alpha","family2","hab1","hab2","habitat_preference","num_present","family_common"
"otu_1056","Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae",NA,NA,"Myxococcales",1,"Myxococcaceae","freshwater","terrestrial","freshwater:terrestrial",11,"Myxococcaceae"
"otu_1424","Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae","Corallococcus","Corallococcus sp003611675","Myxococcales",1,"Myxococcaceae","terrestrial","terrestrial","terrestrial",9,"Myxococcaceae"
"otu_124","Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae","Corallococcus",NA,"Myxococcales",1,"Myxococcaceae","terrestrial","terrestrial","terrestrial",15,"Myxococcaceae"
"otu_12431","Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae",NA,NA,"Myxococcales",1,"Myxococcaceae","terrestrial","terrestrial","terrestrial",4,"Myxococcaceae"
"otu_3775","Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae","Corallococcus",NA,"Myxococcales",1,"Myxococcaceae","freshwater","terrestrial","freshwater:terrestrial",6,"Myxococcaceae"
"otu_9191","Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae","Corallococcus","Corallococcus interemptor","Myxococcales",1,"Myxococcaceae","freshwater","terrestrial","freshwater:terrestrial",7,"Myxococcaceae"
"otu_7657","Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae","Corallococcus",NA,"Myxococcales",1,"Myxococcaceae","freshwater","terrestrial","freshwater:terrestrial",7,"Myxococcaceae"
"otu_3795","Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae","Archangium","Archangium","Myxococcales",1,"Myxococcaceae","terrestrial","terrestrial","terrestrial",4,"Myxococcaceae"
"otu_443","Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae","Archangium","Archangium","Myxococcales",1,"Myxococcaceae","terrestrial","terrestrial","terrestrial",11,"Myxococcaceae"
"otu_5004","Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae","Archangium","Archangium","Myxococcales",1,"Myxococcaceae","freshwater","freshwater","freshwater",4,"Myxococcaceae"
"otu_3790","Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae","Archangium","Archangium","Myxococcales",1,"Myxococcaceae","freshwater","freshwater","freshwater",9,"Myxococcaceae"
"otu_839","Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae","Archangium","Archangium","Myxococcales",1,"Myxococcaceae","freshwater","freshwater","freshwater",11,"Myxococcaceae"
"otu_3670","Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae",NA,NA,"Myxococcales",1,"Myxococcaceae","terrestrial","terrestrial","terrestrial",7,"Myxococcaceae"
"otu_2693","Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae","Archangium","Archangium","Myxococcales",1,"Myxococcaceae","terrestrial","terrestrial","terrestrial",6,"Myxococcaceae"
"otu_5182","Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae","Archangium","Archangium","Myxococcales",1,"Myxococcaceae","freshwater","terrestrial","freshwater:terrestrial",6,"Myxococcaceae"
"otu_8812","Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae","Archangium","Archangium","Myxococcales",1,"Myxococcaceae","freshwater","freshwater","freshwater",7,"Myxococcaceae"
"otu_3592","Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae","Archangium","Archangium","Myxococcales",1,"Myxococcaceae","freshwater","terrestrial","freshwater:terrestrial",12,"Myxococcaceae"
"otu_5900","Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae","Archangium","Archangium","Myxococcales",1,"Myxococcaceae","freshwater","terrestrial","freshwater:terrestrial",8,"Myxococcaceae"
"otu_281","Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae","Archangium","Archangium","Myxococcales",1,"Myxococcaceae","terrestrial","terrestrial","terrestrial",15,"Myxococcaceae"
"otu_10619","Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae","Archangium","Archangium","Myxococcales",1,"Myxococcaceae","freshwater","terrestrial","freshwater:terrestrial",5,"Myxococcaceae"
"otu_4073","Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae","Archangium","Archangium","Myxococcales",1,"Myxococcaceae","freshwater","freshwater","freshwater",9,"Myxococcaceae"
"otu_4958","Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae","Archangium","Archangium","Myxococcales",1,"Myxococcaceae","freshwater","freshwater","freshwater",9,"Myxococcaceae"
"otu_1880","Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae","Archangium","Archangium","Myxococcales",1,"Myxococcaceae","freshwater","freshwater","freshwater",14,"Myxococcaceae"
"otu_2031","Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae","Archangium","Archangium","Myxococcales",1,"Myxococcaceae","freshwater","mud_and_shore","freshwater:mud_and_shore",10,"Myxococcaceae"
"otu_1477","Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae","Archangium","Archangium","Myxococcales",1,"Myxococcaceae","freshwater","freshwater","freshwater",5,"Myxococcaceae"
"otu_11448","Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae","Archangium","Archangium","Myxococcales",1,"Myxococcaceae","freshwater","freshwater","freshwater",6,"Myxococcaceae"
"otu_22054","Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae","Archangium","Archangium","Myxococcales",1,"Myxococcaceae","mud_and_shore","terrestrial","mud_and_shore:terrestrial",5,"Myxococcaceae"
"otu_692","Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae","Archangium","Archangium","Myxococcales",1,"Myxococcaceae","freshwater","freshwater","freshwater",12,"Myxococcaceae"
