"","boot_num","habitat_preference","estimated_d","prob_random","prob_brownian","similarity"
"1",1,"freshwater",0.305734110310523,0,0.056,"94"
"2",1,"marine_mud",-0.253688043927951,0,0.898,"94"
"3",1,"terrestrial",0.214866102092695,0,0.143,"94"
"4",2,"freshwater",0.398512925846173,0,0.016,"94"
"5",2,"marine_mud",-0.158275861474391,0,0.782,"94"
"6",2,"terrestrial",0.224385699897232,0,0.123,"94"
"7",3,"freshwater",0.388638263343929,0,0.016,"94"
"8",3,"marine_mud",-0.100271825201319,0,0.7,"94"
"9",3,"terrestrial",0.22067658844903,0,0.119,"94"
"10",4,"freshwater",0.2848184662703,0,0.067,"94"
"11",4,"marine_mud",-0.124327174895772,0,0.732,"94"
"12",4,"terrestrial",0.233496533478702,0,0.12,"94"
"13",5,"freshwater",0.294867862951838,0,0.041,"94"
"14",5,"marine_mud",-0.118140831159374,0,0.758,"94"
"15",5,"terrestrial",0.200999392431934,0,0.142,"94"
"16",6,"freshwater",0.273458921322654,0,0.066,"94"
"17",6,"marine_mud",-0.169106618103949,0,0.8,"94"
"18",6,"terrestrial",0.141288577821027,0,0.221,"94"
"19",7,"freshwater",0.322297390707265,0,0.035,"94"
"20",7,"marine_mud",-0.104498045854427,0,0.721,"94"
"21",7,"terrestrial",0.127558007862925,0,0.267,"94"
"22",8,"freshwater",0.14848065545713,0,0.217,"94"
"23",8,"marine_mud",-0.286831482710696,0,0.936,"94"
"24",8,"terrestrial",0.282646004410276,0,0.056,"94"
"25",9,"freshwater",0.265314750983188,0,0.08,"94"
"26",9,"marine_mud",-0.108941576015701,0,0.721,"94"
"27",9,"terrestrial",0.157899752022444,0,0.218,"94"
"28",10,"freshwater",0.305209483876289,0,0.049,"94"
"29",10,"marine_mud",0.0354577478740499,0,0.465,"94"
"30",10,"terrestrial",0.374479870123865,0,0.031,"94"
"31",11,"freshwater",0.296201984335243,0,0.051,"94"
"32",11,"marine_mud",-0.198673793756151,0,0.853,"94"
"33",11,"terrestrial",0.117306281440952,0,0.264,"94"
"34",12,"freshwater",0.166999217266928,0,0.195,"94"
"35",12,"marine_mud",-0.198968131136531,0,0.848,"94"
"36",12,"terrestrial",0.240185997283937,0,0.124,"94"
"37",13,"freshwater",0.273787990354471,0,0.064,"94"
"38",13,"marine_mud",-0.211566608932806,0,0.876,"94"
"39",13,"terrestrial",0.18760022572222,0,0.161,"94"
"40",14,"freshwater",0.229085336901481,0,0.097,"94"
"41",14,"marine_mud",-0.13501038131909,0,0.771,"94"
"42",14,"terrestrial",0.342455953206958,0,0.021,"94"
"43",15,"freshwater",0.231868017938598,0,0.099,"94"
"44",15,"marine_mud",-0.315852699460312,0,0.942,"94"
"45",15,"terrestrial",0.21880034259529,0,0.133,"94"
"46",16,"freshwater",0.298182697173437,0,0.049,"94"
"47",16,"marine_mud",-0.266227948330242,0,0.917,"94"
"48",16,"terrestrial",0.0512314574137164,0,0.401,"94"
"49",17,"freshwater",0.448871302516485,0,0.003,"94"
"50",17,"marine_mud",0.0626600994517139,0,0.383,"94"
"51",17,"terrestrial",0.298213869859303,0,0.052,"94"
"52",18,"freshwater",0.268826375497388,0,0.092,"94"
"53",18,"marine_mud",-0.179427226796111,0,0.821,"94"
"54",18,"terrestrial",0.156125577284618,0,0.211,"94"
"55",19,"freshwater",0.320010734865858,0,0.037,"94"
"56",19,"marine_mud",-0.215880963480381,0,0.876,"94"
"57",19,"terrestrial",0.217069004236263,0,0.112,"94"
"58",20,"freshwater",0.200113813982512,0,0.152,"94"
"59",20,"marine_mud",-0.176358164708805,0,0.827,"94"
"60",20,"terrestrial",0.284580764169171,0,0.073,"94"
"61",21,"freshwater",0.270684980851879,0,0.071,"94"
"62",21,"marine_mud",-0.115037141935265,0,0.728,"94"
"63",21,"terrestrial",0.372604996277566,0,0.019,"94"
"64",22,"freshwater",0.213996375750495,0,0.107,"94"
"65",22,"marine_mud",-0.0976995699731852,0,0.715,"94"
"66",22,"terrestrial",0.279357195937612,0,0.074,"94"
"67",23,"freshwater",0.357170201021022,0,0.011,"94"
"68",23,"marine_mud",-0.253110454897728,0,0.907,"94"
"69",23,"terrestrial",0.104505825143893,0,0.304,"94"
"70",24,"freshwater",0.37482343058859,0,0.022,"94"
"71",24,"marine_mud",-0.17740824067479,0,0.825,"94"
"72",24,"terrestrial",0.252670404239813,0,0.093,"94"
"73",25,"freshwater",0.232550362309516,0,0.097,"94"
"74",25,"marine_mud",-0.100180426267851,0,0.714,"94"
"75",25,"terrestrial",0.324482478004809,0,0.027,"94"
"76",26,"freshwater",0.362036601545993,0,0.022,"94"
"77",26,"marine_mud",-0.217337804389345,0,0.881,"94"
"78",26,"terrestrial",0.206343895274224,0,0.144,"94"
"79",27,"freshwater",0.218132332369482,0,0.124,"94"
"80",27,"marine_mud",-0.124224158992824,0,0.764,"94"
"81",27,"terrestrial",0.280797731334243,0,0.056,"94"
"82",28,"freshwater",0.349398291966814,0,0.026,"94"
"83",28,"marine_mud",-0.0786419390284583,0,0.669,"94"
"84",28,"terrestrial",0.3726582054968,0,0.017,"94"
"85",29,"freshwater",0.312458574983188,0,0.044,"94"
"86",29,"marine_mud",-0.134114003085817,0,0.756,"94"
"87",29,"terrestrial",0.200095762563768,0,0.134,"94"
"88",30,"freshwater",0.194383722062948,0,0.159,"94"
"89",30,"marine_mud",-0.309471889887154,0,0.932,"94"
"90",30,"terrestrial",0.286830864043213,0,0.063,"94"
"91",31,"freshwater",0.342672009378867,0,0.024,"94"
"92",31,"marine_mud",-0.22113968004995,0,0.867,"94"
"93",31,"terrestrial",0.141396101570715,0,0.239,"94"
"94",32,"freshwater",0.357519342186605,0,0.036,"94"
"95",32,"marine_mud",-0.145733296399746,0,0.767,"94"
"96",32,"terrestrial",0.0642038985338766,0,0.416,"94"
"97",33,"freshwater",0.220447538648982,0,0.107,"94"
"98",33,"marine_mud",-0.297844415419863,0,0.934,"94"
"99",33,"terrestrial",0.229429910719386,0,0.119,"94"
"100",34,"freshwater",0.0995199273380934,0,0.317,"94"
"101",34,"marine_mud",-0.201880674162974,0,0.846,"94"
"102",34,"terrestrial",0.186525038860669,0,0.171,"94"
"103",35,"freshwater",0.296543741079995,0,0.051,"94"
"104",35,"marine_mud",-0.0356196285726775,0,0.59,"94"
"105",35,"terrestrial",0.415684527257756,0,0.011,"94"
"106",36,"freshwater",0.431175633702947,0,0.005,"94"
"107",36,"marine_mud",-0.013867521880545,0,0.542,"94"
"108",36,"terrestrial",0.345653021205145,0,0.014,"94"
"109",37,"freshwater",0.259516959598888,0,0.077,"94"
"110",37,"marine_mud",-0.168916247005874,0,0.815,"94"
"111",37,"terrestrial",0.20166760741847,0,0.129,"94"
"112",38,"freshwater",0.363915722953239,0,0.014,"94"
"113",38,"marine_mud",-0.200770124777506,0,0.85,"94"
"114",38,"terrestrial",0.236765776591636,0,0.11,"94"
"115",39,"freshwater",0.277806148507661,0,0.057,"94"
"116",39,"marine_mud",-0.0637315530185842,0,0.636,"94"
"117",39,"terrestrial",0.0829612538252757,0,0.344,"94"
"118",40,"freshwater",0.361087488619735,0,0.028,"94"
"119",40,"marine_mud",-0.179272897220603,0,0.815,"94"
"120",40,"terrestrial",0.183738899899072,0,0.173,"94"
"121",41,"freshwater",0.2977323208507,0,0.054,"94"
"122",41,"marine_mud",-0.22058348004917,0,0.865,"94"
"123",41,"terrestrial",0.257636854340481,0,0.084,"94"
"124",42,"freshwater",0.210592949211697,0,0.138,"94"
"125",42,"marine_mud",-0.271498264092514,0,0.917,"94"
"126",42,"terrestrial",0.146420861268883,0,0.236,"94"
"127",43,"freshwater",0.411198857623409,0,0.013,"94"
"128",43,"marine_mud",-0.0813166375879276,0,0.667,"94"
"129",43,"terrestrial",0.209329051959081,0,0.16,"94"
"130",44,"freshwater",0.384555574653151,0,0.012,"94"
"131",44,"marine_mud",-0.0594949621604072,0,0.624,"94"
"132",44,"terrestrial",0.183410308691701,0,0.171,"94"
"133",45,"freshwater",0.15064887203902,0,0.212,"94"
"134",45,"marine_mud",-0.0508097833051942,0,0.612,"94"
"135",45,"terrestrial",0.187657254952675,0,0.16,"94"
"136",46,"freshwater",0.229342018126892,0,0.092,"94"
"137",46,"marine_mud",-0.249825056907128,0,0.914,"94"
"138",46,"terrestrial",0.168465207429992,0,0.189,"94"
"139",47,"freshwater",0.408841468765186,0,0.012,"94"
"140",47,"marine_mud",0.0180716766954399,0,0.47,"94"
"141",47,"terrestrial",0.289677579367585,0,0.056,"94"
"142",48,"freshwater",0.239395722369539,0,0.093,"94"
"143",48,"marine_mud",-0.116359450408389,0,0.739,"94"
"144",48,"terrestrial",0.288877498068281,0,0.069,"94"
"145",49,"freshwater",0.256208404081667,0,0.078,"94"
"146",49,"marine_mud",-0.180556282656008,0,0.828,"94"
"147",49,"terrestrial",0.185125684082648,0,0.173,"94"
"148",50,"freshwater",0.240592429331377,0,0.087,"94"
"149",50,"marine_mud",-0.0596634570131849,0,0.641,"94"
"150",50,"terrestrial",0.24560280218552,0,0.096,"94"
"151",51,"freshwater",0.367680965700478,0,0.023,"94"
"152",51,"marine_mud",-0.133564850198248,0,0.766,"94"
"153",51,"terrestrial",0.0846856468614198,0,0.355,"94"
"154",52,"freshwater",0.214723471100436,0,0.124,"94"
"155",52,"marine_mud",-0.129740571702189,0,0.77,"94"
"156",52,"terrestrial",0.195954138082233,0,0.142,"94"
"157",53,"freshwater",0.408118849167964,0,0.007,"94"
"158",53,"marine_mud",-0.114976388203114,0,0.735,"94"
"159",53,"terrestrial",0.204816333098125,0,0.149,"94"
"160",54,"freshwater",0.107072448124536,0,0.299,"94"
"161",54,"marine_mud",-0.0938891488231163,0,0.693,"94"
"162",54,"terrestrial",0.126619935546685,0,0.265,"94"
"163",55,"freshwater",0.164794490596116,0,0.2,"94"
"164",55,"marine_mud",-0.186533764397041,0,0.824,"94"
"165",55,"terrestrial",0.350404430699223,0,0.028,"94"
"166",56,"freshwater",0.251925571237167,0,0.081,"94"
"167",56,"marine_mud",-0.154550400234537,0,0.787,"94"
"168",56,"terrestrial",0.170622504650894,0,0.191,"94"
"169",57,"freshwater",0.300074481622876,0,0.047,"94"
"170",57,"marine_mud",-0.181033955955113,0,0.837,"94"
