"","boot_num","habitat_preference","estimated_d","prob_random","prob_brownian","similarity"
"1",1,"freshwater",0.405728594947693,0,0.012,"97.7"
"2",1,"marine_mud",0.120974674916746,0,0.296,"97.7"
"3",1,"terrestrial",0.321959956695809,0,0.041,"97.7"
"4",2,"freshwater",0.381947598279316,0,0.029,"97.7"
"5",2,"marine_mud",-0.265607909600208,0,0.867,"97.7"
"6",2,"terrestrial",0.152318752066881,0,0.234,"97.7"
"7",3,"freshwater",0.263104757759759,0,0.098,"97.7"
"8",3,"marine_mud",-0.472303914014031,0,0.955,"97.7"
"9",3,"terrestrial",0.278982571294952,0,0.094,"97.7"
"10",4,"freshwater",0.326291628577679,0,0.039,"97.7"
"11",4,"marine_mud",-0.203173673589853,0,0.82,"97.7"
"12",4,"terrestrial",0.265933050430271,0,0.09,"97.7"
"13",5,"freshwater",0.372004124003519,0,0.024,"97.7"
"14",5,"marine_mud",-0.388972861866613,0,0.942,"97.7"
"15",5,"terrestrial",0.222708515251693,0,0.158,"97.7"
"16",6,"freshwater",0.308851974808186,0,0.057,"97.7"
"17",6,"marine_mud",-0.19596297751228,0,0.808,"97.7"
"18",6,"terrestrial",0.17849604097871,0,0.203,"97.7"
"19",7,"freshwater",0.381895412250795,0,0.025,"97.7"
"20",7,"marine_mud",-0.168108910757841,0,0.775,"97.7"
"21",7,"terrestrial",0.2153732752864,0,0.138,"97.7"
"22",8,"freshwater",0.502193992041171,0,0.001,"97.7"
"23",8,"marine_mud",-0.139486762814497,0,0.737,"97.7"
"24",8,"terrestrial",0.462159258905579,0,0.004,"97.7"
"25",9,"freshwater",0.316308430761128,0,0.059,"97.7"
"26",9,"marine_mud",-0.0753881282731719,0,0.644,"97.7"
"27",9,"terrestrial",0.383766502472117,0,0.024,"97.7"
"28",10,"freshwater",0.437738864822768,0,0.019,"97.7"
"29",10,"marine_mud",-0.221611854299258,0,0.827,"97.7"
"30",10,"terrestrial",0.290090847649883,0,0.08,"97.7"
"31",11,"freshwater",0.493495275426621,0,0.003,"97.7"
"32",11,"marine_mud",-0.109633457351645,0,0.717,"97.7"
"33",11,"terrestrial",0.187227662557145,0,0.195,"97.7"
