"","boot_num","habitat_preference","estimated_d","prob_random","prob_brownian","similarity"
"1",1,"freshwater",0.322201315385638,0,0.076,"asv"
"2",1,"marine_mud",-0.0883558246884741,0,0.677,"asv"
"3",1,"terrestrial",0.219944688870971,0,0.176,"asv"
"4",2,"freshwater",0.337195250204931,0,0.053,"asv"
"5",2,"marine_mud",0.00760058965086928,0,0.515,"asv"
"6",2,"terrestrial",0.271304113051506,0,0.085,"asv"
"7",3,"freshwater",0.474334522586974,0,0.007,"asv"
"8",3,"marine_mud",-0.321963394004584,0,0.914,"asv"
"9",3,"terrestrial",0.0666216417759139,0,0.372,"asv"
"10",4,"freshwater",0.361158913063173,0,0.043,"asv"
"11",4,"marine_mud",-0.255561043756664,0,0.843,"asv"
"12",4,"terrestrial",0.270142850688736,0,0.104,"asv"
"13",5,"freshwater",0.103532710432117,0,0.33,"asv"
"14",5,"marine_mud",-0.283191297645355,0,0.871,"asv"
"15",5,"terrestrial",0.00804033367689029,0,0.489,"asv"
"16",6,"freshwater",0.225667692026615,0,0.144,"asv"
"17",6,"marine_mud",-0.419017890194412,0,0.958,"asv"
"18",6,"terrestrial",0.171943286057612,0,0.21,"asv"
"19",7,"freshwater",0.201415484973195,0,0.178,"asv"
"20",7,"marine_mud",-0.341811851832557,0,0.914,"asv"
"21",7,"terrestrial",0.23776507324464,0,0.133,"asv"
"22",8,"freshwater",0.215698096874795,0,0.15,"asv"
"23",8,"marine_mud",-0.31291586439293,0,0.895,"asv"
"24",8,"terrestrial",0.0851445284733625,0,0.391,"asv"
"25",9,"freshwater",0.233796902110971,0,0.125,"asv"
"26",9,"marine_mud",-0.270112726996991,0,0.878,"asv"
"27",9,"terrestrial",0.425990110769964,0,0.011,"asv"
"28",10,"freshwater",0.208789608158688,0,0.152,"asv"
"29",10,"marine_mud",-0.237461693891121,0,0.839,"asv"
"30",10,"terrestrial",0.282842104863913,0,0.072,"asv"
"31",11,"freshwater",0.237985509399657,0,0.129,"asv"
"32",11,"marine_mud",-0.342916717431827,0,0.909,"asv"
"33",11,"terrestrial",0.184239829029266,0,0.188,"asv"
"34",12,"freshwater",0.235223576842016,0,0.139,"asv"
"35",12,"marine_mud",-0.322655023645997,0,0.918,"asv"
"36",12,"terrestrial",0.160358529058489,0,0.229,"asv"
"37",13,"freshwater",0.48222311391169,0,0.005,"asv"
"38",13,"marine_mud",0.0204564190843567,0,0.496,"asv"
"39",13,"terrestrial",0.336899275326791,0,0.046,"asv"
"40",14,"freshwater",0.281868777516129,0,0.073,"asv"
"41",14,"marine_mud",-0.138819989034424,0,0.736,"asv"
"42",14,"terrestrial",0.155599312095259,0,0.254,"asv"
"43",15,"freshwater",0.261650501857752,0,0.102,"asv"
"44",15,"marine_mud",-0.452983615787704,0,0.96,"asv"
"45",15,"terrestrial",0.314469431932781,0,0.056,"asv"
"46",16,"freshwater",0.207878024404143,0,0.179,"asv"
"47",16,"marine_mud",-0.257861874381512,0,0.861,"asv"
"48",16,"terrestrial",0.184817565679734,0,0.212,"asv"
"49",17,"freshwater",0.523664781688067,0,0.003,"asv"
"50",17,"marine_mud",-0.627536697328174,0,0.989,"asv"
"51",17,"terrestrial",0.0893183067798563,0,0.366,"asv"
"52",18,"freshwater",0.0247671949263676,0,0.469,"asv"
"53",18,"marine_mud",-0.58423362288247,0,0.981,"asv"
