"","boot_num","habitat_preference","model","similarity","estimated_lambda"
"1",1,"all","er","94",0.988201487210446
"2",1,"freshwater","ard","94",0.78765303104531
"3",1,"marine_mud","ard","94",0.999999998981861
"4",1,"terrestrial","ard","94",0.743290256640699
"5",2,"all","er","94",0.870916609319051
"6",2,"freshwater","ard","94",0.477631918200583
"7",2,"marine_mud","ard","94",0.819556059251701
"8",2,"terrestrial","ard","94",0.631265861808578
"9",3,"all","er","94",0.886180742756059
"10",3,"freshwater","ard","94",0.742004096380259
"11",3,"marine_mud","ard","94",0.818803685087108
"12",3,"terrestrial","ard","94",0.767070339906826
"13",4,"all","er","94",0.935603046823953
"14",4,"freshwater","ard","94",0.618239647423409
"15",4,"marine_mud","ard","94",0.782976747251594
"16",4,"terrestrial","ard","94",0.726451589721463
"17",5,"all","er","94",0.891012702641053
"18",5,"freshwater","ard","94",0.632285649989817
"19",5,"marine_mud","ard","94",0.771613342498575
"20",5,"terrestrial","ard","94",0.560446875138658
"21",6,"all","er","94",0.878730358938355
"22",6,"freshwater","ard","94",0.82501928706613
"23",6,"marine_mud","ard","94",0.828025713704207
"24",6,"terrestrial","ard","94",0.893616644969696
"25",7,"all","er","94",0.928117701002693
"26",7,"freshwater","ard","94",0.664343431749082
"27",7,"marine_mud","ard","94",0.806874821890508
"28",7,"terrestrial","ard","94",0.738471964788108
"29",8,"all","er","94",0.895322476526638
"30",8,"freshwater","ard","94",0.666940869473125
"31",8,"marine_mud","ard","94",0.902176168865263
"32",8,"terrestrial","ard","94",0.728888984396564
"33",9,"all","er","94",0.848340929206147
"34",9,"freshwater","ard","94",0.52445152623165
"35",9,"marine_mud","ard","94",0.887694348071572
"36",9,"terrestrial","ard","94",0.864464480947777
"37",10,"all","er","94",0.899959548559661
"38",10,"freshwater","ard","94",0.668795310921712
"39",10,"marine_mud","ard","94",0.504658308726079
"40",10,"terrestrial","ard","94",0.519317492923387
"41",11,"all","er","94",0.94962760461844
"42",11,"freshwater","ard","94",0.608282416036138
"43",11,"marine_mud","ard","94",0.907937405526796
"44",11,"terrestrial","ard","94",0.935043523726921
"45",12,"all","er","94",0.898730192893715
"46",12,"freshwater","ard","94",0.749679718401306
"47",12,"marine_mud","ard","94",0.855512474698008
"48",12,"terrestrial","ard","94",0.741169933889647
"49",13,"all","er","94",0.83799299707568
"50",13,"freshwater","ard","94",0.692839917415127
"51",13,"marine_mud","ard","94",0.780422913512364
"52",13,"terrestrial","ard","94",0.772618527673013
"53",14,"all","er","94",0.917991900462856
"54",14,"freshwater","ard","94",0.84107806603264
"55",14,"marine_mud","ard","94",0.893978161048814
"56",14,"terrestrial","ard","94",0.672167658258019
"57",15,"all","er","94",0.933469130261207
"58",15,"freshwater","ard","94",0.748198825276221
"59",15,"marine_mud","ard","94",0.96274646074594
"60",15,"terrestrial","ard","94",0.821046296336771
"61",16,"all","er","94",0.928022383949681
"62",16,"freshwater","ard","94",0.671903449936782
"63",16,"marine_mud","ard","94",0.897535660309489
"64",16,"terrestrial","ard","94",1
"65",17,"all","er","94",0.871299080383346
"66",17,"freshwater","ard","94",0.453169286575956
"67",17,"marine_mud","ard","94",0.763689750698378
"68",17,"terrestrial","ard","94",0.633724924232581
"69",18,"all","er","94",0.856890718155021
"70",18,"freshwater","ard","94",0.603920960739277
"71",18,"marine_mud","ard","94",0.817456090496979
"72",18,"terrestrial","ard","94",0.814714330668442
"73",19,"all","er","94",0.87757295096203
"74",19,"freshwater","ard","94",0.76744161116691
"75",19,"marine_mud","ard","94",0.850739493393737
"76",19,"terrestrial","ard","94",0.613250533700677
"77",20,"all","er","94",0.951188922462605
"78",20,"freshwater","ard","94",0.805912304365931
"79",20,"marine_mud","ard","94",0.789815024956971
"80",20,"terrestrial","ard","94",0.639469600289554
"81",21,"all","er","94",0.848063668204344
"82",21,"freshwater","ard","94",0.780996534505705
"83",21,"marine_mud","ard","94",0.870129334872738
"84",21,"terrestrial","ard","94",0.536619625431392
"85",22,"all","er","94",0.883613252201949
"86",22,"freshwater","ard","94",0.786290709750583
"87",22,"marine_mud","ard","94",0.746853122381462
"88",22,"terrestrial","ard","94",0.77303907378722
"89",23,"all","er","94",1.07643200255436e-71
"90",23,"freshwater","ard","94",0.750867481025036
"91",23,"marine_mud","ard","94",0.898795673904677
"92",23,"terrestrial","ard","94",0.852942791746552
"93",24,"all","er","94",0.941764424685186
"94",24,"freshwater","ard","94",0.5254354510955
"95",24,"marine_mud","ard","94",0.93638204033132
"96",24,"terrestrial","ard","94",0.721704157398897
"97",25,"all","er","94",0.860010004579418
"98",25,"freshwater","ard","94",0.786460400155523
"99",25,"marine_mud","ard","94",0.806135693062888
"100",25,"terrestrial","ard","94",0.596692377091888
"101",26,"all","er","94",0.917306914815388
"102",26,"freshwater","ard","94",0.53620469825353
