"","boot_num","habitat_preference","model","similarity","estimated_lambda"
"1",1,"all","ard",97.7,3.95674891889662e-115
"2",1,"all","er",97.7,0.618190938699718
"3",1,"freshwater","ard",97.7,0.906654130542659
"4",1,"freshwater","er",97.7,0.839308887186443
"5",1,"marine_mud","ard",97.7,3.95674891889662e-115
"6",1,"marine_mud","er",97.7,0.618190938699718
"7",1,"terrestrial","ard",97.7,0.906654130542659
"8",1,"terrestrial","er",97.7,0.839308887186443
"9",2,"all","ard",97.7,3.98285227923928e-121
"10",2,"all","er",97.7,0.566001193169731
"11",2,"freshwater","ard",97.7,0.651494092975724
"12",2,"freshwater","er",97.7,0.530505320402624
"13",2,"marine_mud","ard",97.7,3.98285227923928e-121
"14",2,"marine_mud","er",97.7,0.566001193169731
"15",2,"terrestrial","ard",97.7,0.651494092975724
"16",2,"terrestrial","er",97.7,0.530505320402624
"17",3,"all","ard",97.7,0.871548203398367
"18",3,"all","er",97.7,0.717827341285166
"19",3,"freshwater","ard",97.7,0.863175350634769
"20",3,"freshwater","er",97.7,0.9533424697477
"21",3,"marine_mud","ard",97.7,0.871548203398367
"22",3,"marine_mud","er",97.7,0.717827341285166
"23",3,"terrestrial","ard",97.7,0.863175350634769
"24",3,"terrestrial","er",97.7,0.9533424697477
"25",4,"all","ard",97.7,0.77168694322328
"26",4,"all","er",97.7,0.487105059146194
"27",4,"freshwater","ard",97.7,0.943502606970207
"28",4,"freshwater","er",97.7,0.819429818839827
"29",4,"marine_mud","ard",97.7,0.77168694322328
"30",4,"marine_mud","er",97.7,0.487105059146194
"31",4,"terrestrial","ard",97.7,0.943502606970207
"32",4,"terrestrial","er",97.7,0.819429818839827
"33",5,"all","ard",97.7,0.804896955276279
"34",5,"all","er",97.7,0.633524953477296
"35",5,"freshwater","ard",97.7,0.841788117082798
"36",5,"freshwater","er",97.7,0.831415536633398
"37",5,"marine_mud","ard",97.7,0.804896955276279
"38",5,"marine_mud","er",97.7,0.633524953477296
"39",5,"terrestrial","ard",97.7,0.841788117082798
"40",5,"terrestrial","er",97.7,0.831415536633398
"41",6,"all","ard",97.7,0.806626462108329
