"","boot_num","habitat_preference","model","similarity","estimated_lambda"
"1",1,"all","er","asv",0.773531925810795
"2",1,"freshwater","ard","asv",0.404385428287024
"3",1,"marine_mud","ard","asv",0.731585926151337
"4",1,"terrestrial","ard","asv",0.652614131706277
"5",2,"all","er","asv",0.706344671385097
"6",2,"freshwater","ard","asv",0.44222840557024
"7",2,"marine_mud","ard","asv",0.445922533006897
"8",2,"terrestrial","ard","asv",0.628240456923755
"9",3,"all","er","asv",7.25238528945388e-98
"10",3,"freshwater","ard","asv",0.511875963976274
"11",3,"marine_mud","ard","asv",0.9625599339242
"12",3,"terrestrial","ard","asv",0.824468913937552
"13",4,"all","er","asv",0.800052928739697
"14",4,"freshwater","ard","asv",0.618346984568273
"15",4,"marine_mud","ard","asv",0.892899913465697
"16",4,"terrestrial","ard","asv",0.779395886379844
"17",5,"all","er","asv",0.847701550554699
"18",5,"freshwater","ard","asv",0.789906295739732
"19",5,"marine_mud","ard","asv",0.795861959375424
"20",5,"terrestrial","ard","asv",0.897209311019934
"21",6,"all","er","asv",0.876095287214834
"22",6,"freshwater","ard","asv",0.691373137597642
"23",6,"marine_mud","ard","asv",0.7857286985177
"24",6,"terrestrial","ard","asv",0.933562212892828
"25",7,"all","er","asv",0.922625121754725
"26",7,"freshwater","ard","asv",0.788449668670313
"27",7,"marine_mud","ard","asv",0.761186504780519
"28",7,"terrestrial","ard","asv",0.701764123593951
"29",8,"all","er","asv",0.883932867770542
"30",8,"freshwater","ard","asv",0.713266483822849
"31",8,"marine_mud","ard","asv",0.827442897373815
"32",8,"terrestrial","ard","asv",0.930061513537662
"33",9,"all","er","asv",0.854396011741138
"34",9,"freshwater","ard","asv",0.852159340916128
"35",9,"marine_mud","ard","asv",0.89744407914285
"36",9,"terrestrial","ard","asv",0.794475345509752
"37",10,"all","er","asv",0.823071564412476
"38",10,"freshwater","ard","asv",0.74943765838288
"39",10,"marine_mud","ard","asv",0.848564562668395
"40",10,"terrestrial","ard","asv",0.756847832530642
"41",11,"all","er","asv",0.867205298131905
"42",11,"freshwater","ard","asv",0.738031396482203
"43",11,"marine_mud","ard","asv",0.861428636069679
"44",11,"terrestrial","ard","asv",0.819499854977435
"45",12,"all","er","asv",0.924962508552842
"46",12,"freshwater","ard","asv",0.651053749306234
"47",12,"marine_mud","ard","asv",0.954500029392172
"48",12,"terrestrial","ard","asv",0.930241890031281
"49",13,"all","er","asv",0.77827322050517
"50",13,"freshwater","ard","asv",0.422920151258877
"51",13,"marine_mud","ard","asv",0.58604041204708
"52",13,"terrestrial","ard","asv",0.775432589401822
"53",14,"all","er","asv",0.895947979430557
"54",14,"freshwater","ard","asv",0.83953288891719
"55",14,"marine_mud","ard","asv",0.822901982787512
"56",14,"terrestrial","ard","asv",0.64703572744073
"57",15,"all","er","asv",0.797069148702085
"58",15,"freshwater","ard","asv",0.628538733952737
"59",15,"marine_mud","ard","asv",0.765028926450853
"60",15,"terrestrial","ard","asv",0.665076398946303
"61",16,"all","er","asv",8.96559172017941e-64
"62",16,"freshwater","ard","asv",0.796684904868929
"63",16,"marine_mud","ard","asv",0.710001711584344
"64",16,"terrestrial","ard","asv",0.822217487360202
"65",17,"all","er","asv",0.815674476719207
"66",17,"freshwater","ard","asv",0.526889483243041
"67",17,"marine_mud","ard","asv",1
"68",17,"terrestrial","ard","asv",0.913347694065199
