"tip_label","kingdom","phylum","class","family","genus","species","habitat_preference","num_present"
"otu_8025","Bacteria","Myxococcota","Polyangia","Haliangiaceae","WYBA01","WYBA01 sp011526095","freshwater",5
"otu_8247","Bacteria","Myxococcota","Polyangia","Haliangiaceae","WYBA01","WYBA01 sp011526095","freshwater:terrestrial",10
"otu_19904","Bacteria","Myxococcota","Polyangia","Polyangiaceae","Minicystis","Minicystis rosea","freshwater:terrestrial",8
"otu_16137","Bacteria","Myxococcota","Polyangia","Haliangiaceae",NA,NA,"freshwater",4
"otu_12855","Bacteria","Myxococcota","Polyangia","Haliangiaceae","WYBA01","WYBA01 sp011526095","terrestrial",5
"otu_3373","Bacteria","Myxococcota","Polyangia","Haliangiaceae","WYBA01","WYBA01 sp011526095","freshwater:terrestrial",5
"otu_4612","Bacteria","Myxococcota","Polyangia","Haliangiaceae",NA,NA,"freshwater:terrestrial",8
"otu_17105","Bacteria","Myxococcota","Polyangia","Haliangiaceae","WYBA01","WYBA01 sp011526095","freshwater:terrestrial",5
"otu_6558","Bacteria","Myxococcota","Myxococcia","Anaeromyxobacteraceae","R267","R267 sp013340205","freshwater:terrestrial",7
"otu_1617","Bacteria","Myxococcota","Myxococcia","Anaeromyxobacteraceae","Anaeromyxobacter","Anaeromyxobacter sp000017505","freshwater",8
"otu_9389","Bacteria","Myxococcota","Myxococcia","Anaeromyxobacteraceae","Anaeromyxobacter","Anaeromyxobacter sp000017505","freshwater",4
"otu_9086","Bacteria","Myxococcota","Polyangia","Haliangiaceae","WYBA01","WYBA01 sp011526095","freshwater",9
"otu_3028","Bacteria","Myxococcota","Polyangia","Haliangiaceae","WYBA01","WYBA01 sp011526095","freshwater:terrestrial",8
"otu_1510","Bacteria","Myxococcota","Polyangia","J016","J016","J016 sp003696105","terrestrial",14
"otu_10968","Bacteria","Myxococcota","Polyangia","Haliangiaceae","WYBA01","WYBA01 sp011526095","terrestrial",5
"otu_10890","Bacteria","Myxococcota","Polyangia","Haliangiaceae","WYBA01","WYBA01 sp011526095","terrestrial",4
"otu_6540","Bacteria","Myxococcota","Polyangia","Haliangiaceae","WYBA01","WYBA01 sp011526095","freshwater:mud_and_shore",8
"otu_2590","Bacteria","Myxococcota","Polyangia","Polyangiaceae","Byssovorax","Byssovorax cruenta","freshwater:terrestrial",5
"otu_323","Bacteria","Myxococcota","Polyangia","Haliangiaceae","WYBA01","WYBA01 sp011526095","freshwater:terrestrial",6
"otu_2141","Bacteria","Myxococcota","Polyangia","Haliangiaceae","SLNH01","SLNH01 sp007133195","freshwater:terrestrial",23
"otu_6478","Bacteria","Myxococcota","Polyangia","Haliangiaceae","WYBA01","WYBA01 sp011526095","freshwater:terrestrial",4
"otu_1973","Bacteria","Myxococcota","Polyangia","Haliangiaceae","WYBA01","WYBA01 sp011526095","freshwater",6
"otu_8833","Bacteria","Myxococcota","Polyangia","Polyangiaceae","Labilithrix","Labilithrix sp001899635","terrestrial",15
"otu_8244","Bacteria","Myxococcota","Polyangia","Polyangiaceae",NA,NA,"freshwater",5
"otu_2593","Bacteria","Myxococcota","Polyangia","Polyangiaceae","Minicystis","Minicystis rosea","freshwater:mud_and_shore",6
"otu_1009","Bacteria","Myxococcota","Polyangia","Haliangiaceae",NA,NA,"freshwater:terrestrial",11
"otu_2834","Bacteria","Myxococcota","Polyangia","Haliangiaceae","Haliangium","Haliangium ochraceum","freshwater:terrestrial",16
"otu_459","Bacteria","Myxococcota","Polyangia","Haliangiaceae","Haliangium","Haliangium ochraceum","terrestrial",9
"otu_4570","Bacteria","Myxococcota","Polyangia","Haliangiaceae","Haliangium","Haliangium ochraceum","terrestrial",5
"otu_2125","Bacteria","Myxococcota","Polyangia","Haliangiaceae","Haliangium","Haliangium ochraceum","freshwater:terrestrial",11
"otu_2220","Bacteria","Myxococcota","Polyangia","J016","J016","J016 sp003696105","freshwater:terrestrial",20
"otu_9611","Bacteria","Myxococcota","Polyangia","Haliangiaceae","Haliangium","Haliangium ochraceum","freshwater:terrestrial",4
"otu_624","Bacteria","Myxococcota","Polyangia","J016","J016","J016 sp003696105","freshwater:terrestrial",12
"otu_2563","Bacteria","Myxococcota","Polyangia","Haliangiaceae","Haliangium","Haliangium ochraceum","freshwater:terrestrial",14
"otu_8015","Bacteria","Myxococcota","Polyangia","J016","J016","J016 sp003696105","generalist",6
"otu_5248","Bacteria","Myxococcota","Polyangia","Haliangiaceae","WYBA01","WYBA01 sp011526095","mud_and_shore",4
"otu_6822","Bacteria","Myxococcota","Polyangia","Haliangiaceae","WYBA01","WYBA01 sp011526095","freshwater",5
"otu_2626","Bacteria","Myxococcota","Polyangia","Haliangiaceae","WYBA01","WYBA01 sp011526095","freshwater",4
"otu_14529","Bacteria","Myxococcota","Polyangia","J016","J016","J016 sp003696105","mud_and_shore",5
"otu_14948","Bacteria","Myxococcota",NA,NA,NA,NA,"freshwater",4
"otu_4273","Bacteria","Myxococcota","Polyangia","Haliangiaceae","WYBA01","WYBA01 sp011526095","freshwater",9
"otu_121","Bacteria","Myxococcota","Polyangia",NA,NA,NA,"terrestrial",7
"otu_315","Bacteria","Myxococcota","Polyangia","Haliangiaceae",NA,NA,"freshwater:terrestrial",24
"otu_1810","Bacteria","Myxococcota","Polyangia","Haliangiaceae","WYBA01","WYBA01 sp011526095","freshwater:terrestrial",10
"otu_4369","Bacteria","Myxococcota","Polyangia","Haliangiaceae","WYBA01","WYBA01 sp011526095","freshwater",7
"otu_10031","Bacteria","Myxococcota","Polyangia","Haliangiaceae","WYBA01","WYBA01 sp011526095","freshwater:terrestrial",8
"otu_1532","Bacteria","Myxococcota","Polyangia","Haliangiaceae","WYBA01","WYBA01 sp011526095","terrestrial",5
"otu_1567","Bacteria","Myxococcota","Polyangia","Haliangiaceae","SLNH01","SLNH01 sp007133195","terrestrial",5
